code,yoy,mom
2211,25.02,8.43
3004,56.16,11.86
5007,6.42,2.67
9958,28.97,-3.28
2101,158.74,4.5
2102,-20.42,24.88
2103,32.96,3.93
2104,-30.82,-31.63
2105,1.22,-9.48
2106,-2.2,-10.35
2107,6.6,1.35
2108,15.92,-17.2
2109,3.88,6.18
2114,7.23,0.54
6582,-34.63,45.1
1319,2.53,-8.03
1339,14.65,3.97
1512,-5.94,9.0
1521,23.04,-6.29
1522,39.56,-4.17
1524,18.84,-14.47
1525,29.38,11.23
1533,54.89,1.25
1536,12.16,-2.58
1563,18.73,6.69
1568,5.26,-14.28
1587,4.42,8.29
2201,-2.95,-1.77
2204,5.91,-1.41
2206,-6.23,-0.23
2207,13.34,-7.77
2227,-11.64,-11.69
2228,2.03,-1.52
2231,-24.07,-20.27
2233,0.95,0.84
2241,40.21,-34.89
2247,-24.4,9.89
2254,-95.87,-95.15
2258,58.02,10.54
2497,36.17,-5.94
3346,-2.51,6.63
3717,,-5.13
4551,26.74,-1.53
6605,-8.75,-6.23
6988,4.19,-5.87
7732,-21.09,15.95
7736,24.54,81.87
7821,61.38,12.47
2302,22.31,-12.24
2303,17.78,1.23
2329,3.69,3.43
2330,30.09,1.52
2337,175.79,5.8
2338,-7.54,6.27
2340,5.66,27.77
2342,-3.46,1.37
2344,181.96,3.93
2351,36.8,-1.62
2363,88.8,1.22
2369,38.72,12.83
2379,21.86,-1.53
2388,88.06,-0.33
2401,28.67,5.79
2408,730.13,8.54
2434,-9.28,-11.68
2436,26.11,1.67
2441,20.91,4.78
2449,36.61,0.9
2451,469.83,-15.45
2454,4.98,1.49
2458,3.58,-12.0
2481,13.66,-2.16
3006,296.8,-3.61
3014,-8.24,-5.67
3016,37.28,1.66
3034,9.35,2.03
3035,-45.06,-3.85
3041,97.94,45.28
3094,16.49,1.07
3135,234.46,-52.19
3150,-4.83,-8.39
3189,33.02,3.13
3257,-43.1,19.59
3413,16.74,5.53
3443,132.13,8.84
3450,49.91,9.39
3530,26.61,-13.5
3532,24.42,4.2
3545,-14.77,-5.49
3583,1.48,-1.82
3588,21.71,0.1
3592,17.82,-2.0
3686,27.88,338.08
3711,28.56,1.26
4919,2.08,7.74
4952,20.38,-5.61
4961,0.12,-0.75
4967,112.58,26.84
4968,6.81,0.0
5222,-12.44,-34.27
5269,-19.4,-6.47
5285,18.5,-10.29
5471,27.33,-8.31
6202,6.62,-1.9
6239,30.23,4.51
6243,-58.2,-6.86
6257,23.7,1.57
6271,7.62,0.29
6515,119.79,8.48
6526,12.89,1.14
6531,89.34,-6.91
6533,2.28,-18.36
6552,-15.01,-2.75
6695,-25.47,0.61
6719,-9.58,-4.17
6756,20.99,8.28
6770,58.86,14.35
6789,16.13,5.22
6799,2.88,-8.89
6909,51.31,11.27
6921,-34.99,666.61
6937,19.91,24.52
7730,-68.95,-64.78
7768,18.9,15.96
7769,83.64,-5.34
7822,79.8,1.67
8016,39.84,1.88
8028,46.03,2.92
8081,-3.28,0.41
8110,19.98,0.89
8131,49.61,5.43
8150,17.72,-3.09
8162,-3.91,9.79
8261,1.15,4.54
8271,224.43,-19.17
2301,29.55,3.94
2305,97.83,-3.09
2324,22.27,-2.1
2331,-16.78,-19.24
2352,-1.72,2.56
2353,36.5,-16.43
2356,35.3,-2.33
2357,9.29,-15.65
2362,9.59,27.11
2364,2.74,-8.17
2365,25.62,-10.1
2376,4.97,-6.14
2377,-23.73,-3.42
2380,32.56,6.04
2382,94.38,-8.36
2387,-12.56,0.85
2395,32.1,-6.47
2397,27.02,-3.86
2399,48.24,7.66
2405,8.4,-10.28
2417,3.1,-7.77
2425,95.17,4.89
2432,94.03,11.09
2465,135.34,-18.41
2495,87.19,1.68
3002,49.16,7.69
3005,15.06,3.73
3013,1.71,-23.86
3017,60.64,1.53
3022,92.4,39.28
3046,3.53,15.09
3057,-24.87,-25.68
3060,27.79,6.69
3231,39.23,2.38
3416,52.42,-5.04
3494,-1.25,3.69
3515,-16.48,33.67
3652,42.38,-3.16
3701,-32.01,-17.93
3706,49.3,17.23
3712,11.03,-21.33
4916,104.34,6.05
4938,11.99,10.06
5258,35.65,4.66
6117,-6.89,-11.37
6128,-4.68,1.78
6166,79.45,-4.65
6206,45.24,-1.59
6230,21.94,5.12
6235,-1.55,1.07
6277,9.2,-5.49
6414,35.27,6.97
6579,48.84,28.45
6669,18.16,1.59
6831,-10.75,54.96
6928,1.76,-7.49
7711,17.11,60.65
