code,yoy,mom
1101,-3.69,-1.6
1102,-9.26,6.45
1103,-23.55,-14.45
1104,-8.97,9.5
1108,-21.38,-6.92
1109,-21.61,8.33
1110,-10.21,5.79
1201,-3.41,6.46
1203,-12.21,-5.83
1210,4.31,-1.21
1213,0.96,8.92
1215,-2.91,-7.75
1216,2.26,0.17
1217,5.27,3.15
1218,6.36,-3.2
1219,1.2,-6.29
1220,12.31,21.08
1225,8.99,2.91
1227,-4.84,-8.1
1229,-45.4,-35.17
1231,1.0,3.51
1232,3.11,-6.41
1233,2.59,-1.37
1234,-14.24,-5.87
1235,3.01,-22.83
1236,-2.43,18.38
1702,-3.17,-4.77
1737,2.82,-11.51
3054,2134.02,33.04
7780,40.46,-9.44
7791,-7.47,23.44
1301,13.31,5.6
1303,19.43,1.89
1304,13.41,2.13
1305,43.34,10.17
1307,8.54,-2.95
1308,16.24,7.42
1309,-8.24,-8.28
1310,5.28,4.31
1312,-5.45,-19.97
1313,5.52,-9.4
1314,-10.37,10.82
1315,-14.17,3.46
1321,10.96,-5.51
1323,5.09,-8.1
1324,-24.22,-29.75
1325,-13.38,35.3
1326,28.23,-4.82
4306,24.03,3.4
1402,14.34,7.02
1409,25.05,3.39
1410,12.77,-0.37
1413,-0.57,19.52
1414,-2.64,16.29
1417,1.81,8.23
1418,59.19,3158.82
1419,39.73,-28.64
1423,-33.97,-47.9
1434,-5.11,-3.65
1440,-16.29,-26.87
1441,1.86,14.92
1444,9.2,-34.4
1445,-64.14,-53.41
1446,-83.62,-35.66
1447,27.78,-15.82
1449,75.48,34.69
1451,-4.07,-0.97
1452,12.04,-8.45
1454,-20.88,11.76
1455,-3.06,12.37
1457,-0.11,8.4
1459,-3.66,-5.56
1460,-27.61,-27.21
1463,34.51,-17.1
1464,6.48,-0.19
1465,-12.06,5.24
1466,-17.5,-3.05
1467,27.48,-10.62
1468,-46.06,67.16
1470,-20.52,-26.29
1473,-13.6,-31.81
1474,-6.0,-16.74
1475,-4.62,-4.44
1476,-3.74,-9.32
1477,10.22,-16.76
4414,0.01,22.13
4426,26.83,3.19
4438,38.31,56.77
4440,34.33,-8.77
4441,37.33,32.97
1503,32.52,-19.52
1504,13.55,9.75
1506,2.38,4.75
1513,5.86,-6.86
1514,40.11,7.88
1515,-19.27,4.41
1517,-15.62,8.14
1519,6.38,10.43
1526,-22.19,-21.79
1527,-2.66,-2.84
1528,1.23,-12.98
1529,-71.99,7.68
1530,68.97,23.54
1531,-2.87,-1.78
1532,5.47,-11.22
1535,-26.07,-24.45
1537,-8.96,4.94
1538,7.74,130.59
1539,-16.63,59.87
1540,-24.12,25.23
1541,-43.66,25.94
1558,11.19,0.3
1560,18.81,5.21
1583,40.73,6.27
1597,70.96,27.72
2049,20.68,4.96
2371,-3.5,-2.86
3167,114.23,11.53
4526,-10.23,-3.86
4532,3.83,1.57
4540,33.34,-26.7
4555,9.68,20.68
4562,10.02,-11.84
4564,-33.64,38.88
4566,5.52,3.04
4572,-9.61,-18.19
4576,40.27,6.39
4583,35.04,9.74
4590,-35.05,-31.81
6606,21.42,18.77
7750,94.87,30.0
8222,26.01,10.59
8374,62.72,6.72
8996,86.03,-25.47
1603,17.88,7.1
1604,2.93,4.34
1605,-12.04,-1.22
1608,8.03,-19.12
1609,16.23,1.16
1611,-9.29,-6.54
1612,1.56,-5.87
1614,2.3,27.93
1615,13.43,-27.87
1616,8.52,6.84
1617,23.66,-3.38
1618,-76.95,-47.96
1623,-8.68,-26.14
4930,21.98,7.98
5283,0.63,39.44
1708,42.0,22.67
1709,3.28,-17.43
1710,12.9,8.71
1711,-1.36,-13.8
1712,9.4,2.07
1713,29.56,-23.68
1714,71.71,13.71
1717,12.99,8.07
1718,4.22,40.6
1721,7.65,10.13
1722,8.34,-11.03
1723,40.89,38.38
1725,45.18,9.79
1726,16.22,-8.36
1727,12.07,-19.36
1730,8.66,9.59
1732,9.61,6.96
1735,29.21,1.28
1773,31.8,5.64
1776,9.0,-23.1
4720,18.38,-5.3
4722,3.25,21.19
4739,96.23,26.03
4755,-12.94,1.02
4764,20.92,0.52
4766,14.97,-4.49
4770,44.41,0.03
1707,-6.01,-5.98
1720,3.8,18.77
1731,6.7,-3.08
1733,-19.34,6.83
1734,7.55,-8.1
1752,10.15,21.61
1760,6.98,-3.47
1762,75.98,-0.34
1783,15.83,-12.39
1786,0.12,-15.49
1789,12.51,-21.59
1795,19.91,-29.13
3164,-5.41,-1.26
3705,-1.53,11.86
3716,-6.24,-7.15
4104,14.66,-6.05
4106,17.45,6.64
4108,-0.77,-1.03
4119,-46.49,-30.49
4133,-4.6,-15.38
4142,474.36,-65.26
4155,-9.38,-13.0
4164,21.8,-47.25
4169,15.4,-4.27
4195,-14.5,-35.52
4736,-6.18,-17.09
4737,-8.42,-15.62
4746,-25.71,-27.5
4771,47.25,20.7
