族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
通信網路設備,3669,圓展,通信網路業,42.55,4.5,是,16.5,07-27,2026-07-27,明日開盤,36.17,
通信網路設備,6416,瑞祺電通,通信網路業,102.0,-1.4,,3.6,07-22,2026-07-08,94.0,79.9,
邊緣運算/工業電腦,2395,研華,電腦及週邊設備業,577.0,-0.7,,3.2,07-22,2026-07-08,535.48,455.16,
邊緣運算/工業電腦,3088,艾訊,電腦及週邊設備業,141.5,-6.0,,4.8,07-23,2026-07-23,149.0,126.65,
邊緣運算/工業電腦,6579,研揚,電腦及週邊設備業,169.5,-6.1,,3.1,07-23,2026-07-23,181.5,154.28,
邊緣運算/工業電腦,6414,樺漢,電腦及週邊設備業,469.0,-6.2,,2.9,07-21 07-22,2026-07-07,404.0,377.25,
邊緣運算/工業電腦,6166,凌華,電腦及週邊設備業,150.0,-9.9,,9.3,07-23 07-24,2026-07-23,160.5,136.42,
基礎化學與塑化原料,1709,和益,化學工業,25.95,-1.1,,5.1,07-14,2026-07-01,22.65,21.08,
基礎化學與塑化原料,1303,南亞,塑膠工業,174.0,-2.0,,2.1,07-14 07-15,2026-07-14,217.0,184.45,出場
基礎化學與塑化原料,1326,台化,塑膠工業,65.0,-3.7,,2.2,07-15,2026-07-03,72.8,61.88,
基礎化學與塑化原料,2103,台橡,橡膠工業,22.2,-4.7,,2.4,07-14,2026-07-03,25.5,21.68,
基礎化學與塑化原料,6505,台塑化,油電燃氣業,77.9,-9.2,,2.3,07-14 07-15 07-16 07-23,2026-07-02,57.9,69.9,
化合物半導體/第三代半導體,5483,中美晶,半導體業,204.0,0.2,,2.3,07-14 07-15,2026-06-17,185.0,206.27,出場
化合物半導體/第三代半導體,3532,台勝科,半導體業,379.5,0.0,,4.9,07-14,2026-07-14,535.0,454.75,出場
化合物半導體/第三代半導體,8150,南茂,半導體業,89.9,-1.0,,3.0,07-16,2026-07-16,116.0,98.6,出場
化合物半導體/第三代半導體,3374,精材,半導體業,345.0,-5.5,,2.0,07-22,2026-07-22,411.0,349.35,出場
航運,2615,萬海,航運業,84.0,-3.4,,3.2,07-21,2026-07-21,85.2,72.42,
航運,2630,亞航,航運業,51.2,-5.0,,5.5,07-14,2026-07-01,50.8,46.72,
電子元件通路,5434,崇越,電子通路業,543.0,-1.6,,2.2,07-16,2026-07-16,579.0,492.15,
電子元件通路,3033,威健,電子通路業,48.95,-2.1,,5.4,07-15,2026-07-15,56.0,47.6,
軍工/航太,2634,漢翔,航運業,61.8,-5.5,,2.2,07-14 07-21,2026-06-29,51.5,53.62,
其他,1229,聯華,食品工業,41.7,0.1,,2.7,07-23,2026-07-23,42.35,36.0,
其他,6949,沛爾生醫-創,生技醫療業,989.0,-0.3,,2.9,07-15 07-16,2026-07-15,1020.0,867.0,
其他,9914,美利達,運動休閒,78.0,-1.1,,6.9,07-16,2026-07-16,82.2,69.87,
其他,1434,福懋,紡織纖維,18.5,-3.4,,2.5,07-15,2026-07-02,17.05,14.62,
其他,3402,漢科,其他電子業,130.0,-4.8,,2.3,07-15,2026-07-15,148.06,125.85,
其他,3685,元創精密,電機機械,39.0,-4.9,,2.6,07-14 07-15 07-24,2026-07-14,37.6,31.96,
其他,6577,勁豐,電腦及週邊設備業,89.5,-5.2,,24.0,07-23 07-24,2026-07-23,89.0,75.65,
其他,4534,慶騰,電機機械,36.75,-9.9,,2.6,07-15 07-16,2026-07-15,38.6,32.81,
