族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
AI晶片/IP/設計,2454,聯發科,半導體業,4760.0,7.8,是,2.3,09-07,2026-09-07,明日開盤,4046.0,
AI晶片/IP/設計,6224,聚鼎,電子零組件業,88.8,4.7,是,3.2,09-07,2026-09-07,明日開盤,75.48,
AI晶片/IP/設計,5274,信驊,半導體業,19215.0,10.0,,2.7,09-02,2026-09-02,17735.0,15074.75,
AI晶片/IP/設計,3693,營邦,電腦及週邊設備業,682.0,2.9,,2.0,08-28,2026-08-28,580.0,511.5,
AI晶片/IP/設計,6533,晶心科,半導體業,257.0,-2.7,,2.1,08-26,2026-08-26,268.5,228.22,
AI伺服器/邊緣運算,6218,豪勉,通信網路業,44.55,5.4,是,2.1,08-25 09-02 09-07,2026-08-25,40.25,34.21,
AI伺服器/邊緣運算,6933,AMAX-KY,電腦及週邊設備業,313.0,-1.3,,4.3,08-26 08-28 08-31 09-01,2026-08-26,236.5,248.25,
AI伺服器/邊緣運算,8431,匯鑽科,其他電子業,67.3,-2.2,,12.9,09-02 09-03 09-04,2026-09-02,59.1,51.6,
光電/顯示技術,6588,東典光電,通信網路業,118.0,8.8,是,2.3,09-07,2026-09-07,明日開盤,100.3,
光電/顯示技術,2491,吉祥全,光電業,43.0,2.4,,3.2,08-26 08-27 08-28,2026-08-26,45.75,42.3,
光電/顯示技術,3504,揚明光,光電業,84.5,-5.8,,2.7,08-27 09-02,2026-08-27,92.5,78.62,
特用化學品/樹脂,4770,上品,化學工業,239.0,5.5,是,3.4,09-07,2026-09-07,明日開盤,203.15,
特用化學品/樹脂,1709,和益,化學工業,34.2,0.6,,2.7,08-26 08-28 09-01,2026-08-13,29.02,27.3,
特用化學品/樹脂,1312,國喬,塑膠工業,14.1,-3.4,,7.2,08-31,2026-08-31,15.8,13.43,
電子零組件/連接器,4939,亞電,電子零組件業,93.6,6.5,,5.1,08-26 08-28,2026-08-26,82.1,70.2,
電子零組件/連接器,7744,崴寶,電子零組件業,561.0,2.9,,2.1,09-02,2026-09-02,538.0,457.3,
電子零組件/連接器,8103,瀚荃,電子零組件業,123.5,0.8,,4.8,08-26 09-01,2026-08-26,115.0,97.75,
電子零組件/連接器,4912,聯德控股-KY,電子零組件業,102.0,0.0,,2.4,09-02,2026-09-02,103.0,87.55,
電子零組件/連接器,6141,柏承,電子零組件業,51.9,-1.1,,2.3,08-26 08-27 08-28,2026-08-26,53.5,45.48,
電子零組件/連接器,6913,鴻呈,電子零組件業,136.5,-9.6,,3.6,08-27 08-31,2026-08-27,162.5,138.12,出場
電子零組件/精密加工,1815,富喬,電子零組件業,130.0,9.7,,2.9,08-26 08-28,2026-08-21,113.0,98.25,
電子零組件/精密加工,6805,富世達,電子零組件業,2265.0,3.0,,2.2,08-27,2026-08-27,2265.0,1925.25,
電子零組件/精密加工,3605,宏致,電子零組件業,120.5,2.1,,2.9,08-31,2026-08-31,128.5,109.22,
電子零組件/精密加工,6538,倉和,電子零組件業,305.0,1.7,,3.8,09-04,2026-09-04,295.5,251.17,
電子零組件/精密加工,7788,松川精密,電子零組件業,316.5,-5.5,,2.0,08-27 08-28,2026-08-27,310.0,263.5,
光通訊/CPO,6426,統新,通信網路業,296.0,9.8,,2.6,08-26,2026-08-26,269.5,229.07,
