代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,7月YoY%,7月MoM%,8月YoY%,8月MoM%
3081,聯亞,上櫃,通信網路業,2805.0,20.8,88.7,3600.0,26.4,176.53,19.19,180.9,3.84
4979,華星光,上櫃,通信網路業,547.0,11.1,36.7,658.0,23.9,31.01,11.79,37.44,7.28
3406,玉晶光,上市,光電業,1005.0,45.2,91.4,1140.0,20.5,1.62,39.27,0.72,12.25
2489,瑞軒,上市,光電業,41.25,14.5,39.6,45.0,19.6,32.24,7.21,23.58,1.29
6213,聯茂,上市,電子零組件業,550.0,31.0,144.4,599.0,19.5,96.87,12.7,97.92,6.2
1727,中華化,上市,化學工業,95.6,11.4,54.2,106.0,18.7,32.45,4.82,62.67,9.09
2408,南亞科,上市,半導體業,492.5,6.7,74.0,569.0,18.2,719.61,49.26,560.85,1.87
2609,陽明,上市,航運業,60.2,12.5,16.1,67.3,17.1,34.56,25.58,56.17,3.72
8103,瀚荃,上市,電子零組件業,120.0,28.1,33.5,128.0,15.2,34.29,5.28,51.59,1.93
8996,高力,上市,電機機械,1300.0,9.5,45.6,1410.0,14.9,57.63,27.3,112.83,30.48
6209,今國光,上市,光電業,80.0,7.4,25.7,88.5,14.9,93.15,21.17,106.76,6.19
6617,共信-KY,上櫃,生技醫療業,138.0,34.2,63.0,146.0,14.0,63.52,1.82,7.84,1.32
5274,信驊,上櫃,半導體業,18250.0,16.1,66.2,19795.0,13.3,97.59,16.31,118.41,6.68
6291,沛亨,上櫃,半導體業,490.5,15.2,50.3,506.0,13.0,39.44,0.37,33.42,10.45
2603,長榮,上市,航運業,239.0,11.7,25.7,256.5,12.1,43.07,22.83,48.63,1.88
2399,映泰,上市,電腦及週邊設備業,47.3,7.2,39.7,49.5,10.6,10.72,21.48,40.0,2.94
6672,騰輝電子-KY,上市,電子零組件業,304.0,14.2,87.9,317.5,10.2,90.82,16.01,133.24,21.12
2376,技嘉,上市,電腦及週邊設備業,350.0,3.1,24.8,371.0,8.1,59.67,3.07,98.42,7.21
2303,聯電,上市,半導體業,142.0,4.5,67.2,145.5,7.2,18.98,3.1,30.71,5.03
