族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
生技醫療,6949,沛爾生醫-創,生技醫療業,1235.0,6.9,是,2.5,08-24,2026-08-24,明日開盤,1049.75,
生技醫療,6547,高端疫苗,生技醫療業,55.5,-0.4,,2.0,08-21,2026-08-21,55.5,47.17,
航運業,2609,陽明,航運業,64.5,0.8,,5.6,08-17 08-19 08-21,2026-08-17,55.1,48.38,
航運業,2612,中航,航運業,60.3,0.2,,5.4,08-19,2026-08-19,58.7,49.9,
航運業,2615,萬海,航運業,124.5,0.0,,4.2,08-14 08-17 08-18 08-20 08-21,2026-08-14,91.3,93.38,
航運業,2617,台航,航運業,31.75,-0.2,,5.9,08-19,2026-08-19,30.95,26.31,
航運業,2603,長榮,航運業,250.5,-0.4,,4.3,08-17,2026-08-17,232.0,197.2,
航運業,2605,新興,航運業,36.6,-3.2,,3.5,08-18 08-19 08-21,2026-08-18,35.9,30.52,
航運業,2611,志信,航運業,16.55,-3.8,,9.8,08-21,2026-08-21,18.45,15.68,
航運業,5608,四維航,航運業,18.0,-4.0,,9.9,08-18 08-19 08-21,2026-08-18,16.2,14.06,
航運業,2637,慧洋-KY,航運業,97.1,-4.8,,5.6,08-21,2026-08-21,103.0,87.55,
被動元件,2392,正崴,電子零組件業,44.25,6.4,,8.6,08-14,2026-08-14,43.25,36.76,
被動元件,6538,倉和,電子零組件業,193.0,-1.8,,2.5,08-14,2026-08-05,152.5,147.38,
被動元件,3229,晟鈦,電子零組件業,59.7,-3.4,,2.5,08-12 08-20 08-21,2026-08-12,55.9,47.52,
被動元件,6108,競國,電子零組件業,23.4,-9.8,,5.8,08-13 08-17 08-19 08-20,2026-08-13,21.7,19.5,
潤泰集團,9945,潤泰新,其他,29.0,-1.4,,6.0,08-14,2026-08-14,30.1,25.59,
潤泰集團,2915,潤泰全,貿易百貨,59.7,-2.3,,5.7,08-14,2026-08-14,59.5,50.57,
潤泰集團,1808,潤隆,建材營造,35.7,-3.5,,4.8,08-21,2026-08-21,37.05,31.49,
電腦週邊與系統,2465,麗臺,電腦及週邊設備業,91.7,6.8,,5.4,08-12 08-13,2026-08-10,94.6,80.41,
電腦週邊與系統,6922,宸曜,電腦及週邊設備業,205.0,1.2,,5.2,08-11,2026-08-11,213.0,181.05,
電腦週邊與系統,3005,神基,電腦及週邊設備業,116.0,-0.9,,3.6,08-17,2026-08-17,122.0,103.7,
其他,2723,美食-KY,觀光餐旅,77.5,5.9,是,4.8,08-21 08-24,2026-08-21,73.0,62.05,
其他,4303,信立,塑膠工業,53.2,3.9,是,4.8,08-24,2026-08-24,明日開盤,45.22,
其他,2103,台橡,橡膠工業,28.3,-0.4,,5.0,08-11,2026-08-10,27.8,23.63,
其他,3617,碩天,其他電子業,257.5,-0.8,,3.6,08-14 08-17,2026-08-14,250.0,212.5,
其他,5292,華懋,綠能環保,210.5,-3.4,,5.4,08-19,2026-08-19,211.0,179.35,
其他,3498,陽程,其他電子業,185.0,-3.6,,3.0,08-18,2026-08-18,170.0,144.5,
其他,9914,美利達,運動休閒,84.5,-3.8,,2.6,08-11,2026-08-11,94.6,80.41,
其他,3490,單井,光電業,49.7,-7.8,,3.4,08-18 08-19,2026-08-18,43.7,40.43,
其他,6716,應廣,半導體業,122.5,-7.9,,5.2,08-13 08-14,2026-08-13,117.5,103.12,
