代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,7月YoY%,7月MoM%,8月YoY%,8月MoM%
4979,華星光,上櫃,通信網路業,611.0,23.1,51.6,658.0,23.9,31.01,11.79,37.44,7.28
2464,盟立,上市,其他電子業,197.0,13.9,83.1,224.0,22.8,62.1,6.19,73.7,7.56
5351,鈺創,上櫃,半導體業,113.5,10.5,61.3,128.0,19.9,590.83,11.69,525.31,6.36
6510,精測,上櫃,半導體業,3520.0,20.7,24.0,3935.0,19.6,49.87,7.09,54.27,3.85
2408,南亞科,上市,半導體業,525.0,13.4,83.2,569.0,18.2,719.61,49.26,560.85,1.87
3006,晶豪科,上市,半導體業,291.0,18.5,69.6,319.0,17.6,491.06,40.02,605.24,16.5
6805,富世達,上市,電子零組件業,2295.0,31.1,40.1,2435.0,17.5,17.06,12.74,29.13,12.37
7828,創新服務,上櫃,半導體業,2125.0,17.2,87.0,2230.0,17.3,397.15,10.97,192.13,21.16
2360,致茂,上市,其他電子業,2290.0,11.1,50.2,2490.0,16.9,175.25,32.08,156.29,3.64
6526,達發,上市,半導體業,691.0,12.3,28.4,710.0,14.5,17.43,3.58,26.11,2.2
3017,奇鋐,上市,電腦及週邊設備業,3430.0,22.8,67.5,3595.0,13.8,57.39,5.51,54.34,4.79
4576,大銀微系統,上市,電機機械,240.0,11.9,46.6,258.0,13.4,60.13,6.63,98.04,16.35
5274,信驊,上櫃,半導體業,19290.0,21.7,73.8,19795.0,13.3,97.59,16.31,118.41,6.68
3023,信邦,上市,電子零組件業,327.5,5.2,27.6,348.0,9.1,28.97,2.4,32.47,3.58
3029,零壹,上市,資訊服務業,125.0,15.8,17.9,126.0,8.3,59.17,27.79,44.44,7.57
