代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,6月YoY%,6月MoM%,7月YoY%,7月MoM%
6226,光鼎,上市,光電業,23.3,20.6,100.1,24.5,23.7,22.5,0.86,21.5,7.58
3605,宏致,上市,電子零組件業,115.5,30.1,59.5,137.5,22.5,29.8,0.83,29.8,3.28
2465,麗臺,上市,電腦及週邊設備業,91.7,12.7,37.2,106.5,20.8,543.88,33.16,280.87,14.14
6265,方土昶,上櫃,電子通路業,62.2,16.0,75.1,68.7,20.7,1209.5,15.06,712.42,2.4
3022,威強電,上市,電腦及週邊設備業,93.8,10.0,35.2,112.27,20.6,79.97,8.33,73.91,4.88
3006,晶豪科,上市,半導體業,282.0,23.1,82.9,285.5,17.3,328.35,8.48,491.06,40.02
2464,盟立,上市,其他電子業,187.5,13.8,90.6,208.0,17.3,43.05,15.8,62.1,6.19
8112,至上,上市,電子通路業,95.4,7.5,30.2,101.5,13.0,231.16,14.29,333.48,24.73
3034,聯詠,上市,半導體業,542.0,7.7,30.1,572.0,12.8,18.95,6.48,26.79,2.73
3693,營邦,上櫃,電腦及週邊設備業,533.0,5.3,27.0,573.0,12.7,74.98,74.81,148.92,5.56
2059,川湖,上市,電子零組件業,14410.0,68.1,195.5,15085.0,11.8,220.52,17.17,355.52,44.22
