代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,5月YoY%,5月MoM%,6月YoY%,6月MoM%
2478,大毅,上市,電子零組件業,173.0,21.6,121.4,253.67,41.7,16.47,0.34,35.76,14.71
8454,富邦媒,上市,數位雲端,266.0,5.5,18.3,380.0,33.3,4.1,8.52,6.49,9.32
2344,華邦電,上市,半導體業,180.5,19.1,107.8,233.5,33.2,181.96,3.93,189.87,2.97
6770,力積電,上市,半導體業,76.1,11.0,64.7,89.3,29.0,58.86,14.35,68.75,12.19
3189,景碩,上市,半導體業,845.0,29.3,181.0,937.4,26.7,33.02,3.13,32.26,0.57
8021,尖點,上市,其他電子業,532.0,12.0,123.5,620.48,26.1,86.29,18.18,90.1,9.69
5347,世界,上櫃,半導體業,186.5,11.6,56.3,217.84,24.9,19.47,5.34,33.57,40.89
5536,聖暉*,上櫃,其他電子業,1250.0,16.1,55.1,1474.89,24.7,27.79,10.53,24.9,5.65
8028,昇陽半導體,上市,半導體業,318.5,10.7,60.8,364.0,24.2,46.03,2.92,33.62,0.83
2408,南亞科,上市,半導體業,481.0,37.3,135.8,503.38,23.5,730.13,8.54,621.33,6.21
2303,聯電,上市,半導體業,166.0,32.5,141.7,182.38,23.2,17.78,1.23,22.85,0.78
3360,尚立,上櫃,電子通路業,22.85,40.7,60.0,23.85,22.6,125.62,48.63,95.15,11.89
8131,福懋科,上市,半導體業,81.2,18.1,55.8,85.94,19.4,49.61,5.43,60.86,5.09
6691,洋基工程,上市,其他電子業,753.0,10.7,33.7,834.0,17.9,82.35,34.16,115.18,15.74
2476,鉅祥,上市,電子零組件業,129.5,5.5,30.5,140.0,16.4,48.67,3.12,53.76,9.09
6944,兆聯實業,上市,綠能環保,1035.0,8.2,44.9,1115.0,15.7,48.22,10.15,29.97,13.16
3711,日月光投控,上市,半導體業,683.0,18.0,109.1,722.4,15.6,28.56,1.26,32.86,4.36
2610,華航,上市,航運業,21.2,10.0,8.9,23.81,15.6,27.73,1.79,28.81,2.5
8027,鈦昇,上櫃,電機機械,244.0,5.8,84.4,261.0,15.1,140.17,41.86,58.47,10.7
6196,帆宣,上市,其他電子業,585.0,21.8,87.0,598.0,14.7,64.89,5.18,120.99,8.92
3402,漢科,上櫃,其他電子業,158.0,11.4,22.6,162.0,14.5,17.57,2.23,29.9,7.65
5351,鈺創,上櫃,半導體業,104.5,24.0,87.2,105.0,14.3,605.48,24.75,657.47,14.39
2347,聯強,上市,電子通路業,87.2,4.6,30.0,93.63,14.2,129.27,18.28,135.45,12.67
6414,樺漢,上市,電腦及週邊設備業,394.5,11.8,31.7,418.0,12.4,35.27,6.97,56.96,13.36
1513,中興電,上市,電機機械,171.0,7.0,11.4,179.01,11.2,3.61,3.65,8.3,18.44
2618,長榮航,上市,航運業,42.15,16.0,19.0,43.5,10.9,22.1,1.63,26.58,5.12
6669,緯穎,上市,電腦及週邊設備業,5095.0,3.4,29.4,5325.0,10.7,18.16,1.59,29.79,32.5
3479,安勤,上櫃,電腦及週邊設備業,147.5,24.4,45.3,148.5,8.4,10.81,1.36,27.84,13.26
2330,台積電,上市,半導體業,2440.0,5.4,42.4,2535.0,8.3,30.09,1.52,67.86,6.16
3706,神達,上市,電腦及週邊設備業,90.9,4.9,6.9,94.2,8.1,49.3,17.23,80.93,14.98
