族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
網路通訊設備,6863,永道-KY,通信網路業,133.5,7.2,是,3.5,07-24 07-27 07-31,2026-07-24,117.5,100.12,
網路通訊設備,3088,艾訊,電腦及週邊設備業,118.0,-2.1,,4.8,07-23,2026-07-23,149.0,126.65,出場
邊緣運算/工業PC,6579,研揚,電腦及週邊設備業,154.0,3.4,,3.1,07-23,2026-07-23,181.5,154.28,出場
邊緣運算/工業PC,2395,研華,電腦及週邊設備業,563.0,2.9,,3.2,07-22,2026-07-08,535.48,455.16,
邊緣運算/工業PC,6414,樺漢,電腦及週邊設備業,405.0,0.5,,2.9,07-21 07-22,2026-07-07,404.0,377.25,
邊緣運算/工業PC,6166,凌華,電腦及週邊設備業,113.0,-10.0,,9.3,07-23 07-24,2026-07-23,160.5,136.42,出場
台塑集團,1301,台塑,塑膠工業,55.0,1.9,,2.1,07-23,2026-06-25,56.96,49.65,
台塑集團,6505,台塑化,油電燃氣業,70.8,-1.1,,2.3,07-23,2026-07-02,57.9,69.9,
航運,2634,漢翔,航運業,61.9,5.6,,2.2,07-21,2026-06-29,51.5,53.62,
航運,2615,萬海,航運業,84.7,0.4,,3.2,07-21,2026-07-21,85.2,72.42,
其他,4442,竣邦-KY,紡織纖維,72.6,9.5,是,10.6,07-23 07-24 07-28 07-30 07-31,2026-07-23,56.1,54.45,
其他,6214,精誠,資訊服務業,154.0,7.3,是,5.5,07-31,2026-07-31,明日開盤,130.9,
其他,2540,愛山林,建材營造,61.0,3.6,是,4.8,07-31,2026-07-31,明日開盤,51.85,
其他,6243,迅杰,半導體業,50.7,10.0,,2.9,07-24,2026-07-16,48.0,40.8,
其他,3374,精材,半導體業,277.0,9.9,,2.0,07-22,2026-07-22,411.0,349.35,出場
其他,8039,台虹,電子零組件業,173.5,9.8,,2.7,07-23,2026-07-14,186.0,192.0,出場
其他,6944,兆聯實業,綠能環保,721.0,9.4,,2.3,07-23,2026-07-23,809.0,687.65,
其他,4939,亞電,電子零組件業,50.8,9.1,,4.0,07-21,2026-07-21,76.9,65.37,出場
其他,3577,泓格,電腦及週邊設備業,117.0,4.5,,3.3,07-23,2026-07-23,157.0,133.45,出場
其他,2377,微星,電腦及週邊設備業,142.0,4.4,,2.5,07-22,2026-07-22,157.5,133.88,
其他,2207,和泰車,汽車工業,558.0,1.3,,4.2,07-29 07-30,2026-07-29,523.0,444.55,
其他,2027,大成鋼,鋼鐵工業,43.2,-1.1,,3.7,07-22,2026-07-22,44.7,38.0,
其他,1476,儒鴻,紡織纖維,346.0,-1.7,,2.7,07-30,2026-07-30,347.5,295.38,
其他,1526,日馳,電機機械,18.15,-2.2,,3.1,07-29,2026-07-17,17.25,14.66,
