代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,6月YoY%,6月MoM%,7月YoY%,7月MoM%
8046,南電,上市,電子零組件業,1180.0,9.8,98.8,1380.0,22.5,50.02,5.49,50.24,16.12
2465,麗臺,上市,電腦及週邊設備業,93.6,14.9,39.6,106.5,20.8,543.88,33.16,280.87,14.14
3450,聯鈞,上市,半導體業,574.0,16.0,70.2,600.0,19.5,88.17,18.58,98.0,7.01
2383,台光電,上市,電子零組件業,5895.0,12.1,94.2,6470.0,18.8,120.69,13.53,129.4,8.31
3189,景碩,上市,半導體業,881.0,15.3,128.9,937.0,18.2,32.26,0.57,35.85,7.68
6187,萬潤,上櫃,半導體業,1300.0,20.2,84.0,1400.0,17.9,87.06,38.9,73.44,4.17
2049,上銀,上市,電機機械,353.0,4.6,33.8,404.5,17.8,31.62,2.97,33.93,4.99
3017,奇鋐,上市,電腦及週邊設備業,3155.0,24.1,67.7,3300.42,17.0,66.11,11.0,57.39,5.51
7795,長廣,上市,電子零組件業,580.0,22.7,69.5,610.0,14.8,62.55,29.27,61.0,4.55
2455,全新,上市,通信網路業,428.0,19.6,74.0,437.5,14.4,23.55,1.62,45.11,29.48
1590,亞德客-KY,上市,電機機械,1470.0,7.2,33.0,1615.0,14.2,44.88,0.07,50.77,2.08
3037,欣興,上市,電子零組件業,1160.0,22.9,120.7,1200.0,14.2,36.31,5.95,43.69,9.1
7788,松川精密,上市,電子零組件業,273.5,12.5,59.9,283.5,13.6,65.65,13.35,99.38,19.09
6672,騰輝電子-KY,上市,電子零組件業,276.5,9.8,83.6,295.0,13.6,68.12,8.12,90.82,16.01
2408,南亞科,上市,半導體業,517.0,19.0,102.9,553.0,13.2,621.33,6.21,719.61,49.26
6409,旭隼,上市,其他電子業,1030.0,5.5,12.7,1105.0,12.0,5.72,4.84,25.8,3.82
8464,億豐,上市,居家生活,373.5,3.2,1.2,404.5,11.1,11.72,5.17,16.43,10.52
2421,建準,上市,電子零組件業,151.5,6.3,6.0,157.5,10.8,18.65,9.63,31.65,14.24
5434,崇越,上市,電子通路業,536.0,5.7,43.5,567.0,10.8,32.85,14.75,42.61,8.87
2354,鴻準,上市,其他電子業,61.5,7.3,3.9,65.2,9.8,10.65,71.9,37.45,42.29
2395,研華,上市,電腦及週邊設備業,688.0,24.5,79.5,709.0,9.3,73.39,30.89,87.57,11.35
