族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
鋼鐵工業,2006,東和鋼鐵,鋼鐵工業,86.2,9.9,是,3.2,08-03 08-06,2026-08-03,78.8,66.98,
鋼鐵工業,2027,大成鋼,鋼鐵工業,46.1,3.9,是,2.2,08-06,2026-08-06,明日開盤,39.18,
邊緣運算與工業電腦,2362,藍天,電腦及週邊設備業,51.1,8.4,是,12.8,08-06,2026-08-06,明日開盤,43.43,
邊緣運算與工業電腦,6166,凌華,電腦及週邊設備業,145.0,4.3,,9.3,07-24,2026-07-23,160.5,136.42,
邊緣運算與工業電腦,3022,威強電,電腦及週邊設備業,100.5,3.0,,2.6,08-05,2026-08-05,98.1,83.38,
AI 伺服器散熱,3017,奇鋐,電腦及週邊設備業,2940.0,7.7,是,2.5,08-06,2026-08-06,明日開盤,2499.0,
AI 伺服器散熱,3653,健策,電子零組件業,4450.0,2.5,,2.2,08-05,2026-08-05,4295.0,3650.75,
紡織成衣供應鏈,9939,宏全,其他,142.5,6.3,是,3.3,08-06,2026-08-06,明日開盤,121.12,
紡織成衣供應鏈,1476,儒鴻,紡織纖維,364.5,2.7,,2.7,07-30,2026-07-30,347.5,295.38,
生技醫療,6782,視陽,生技醫療業,206.0,3.5,是,2.9,08-06,2026-08-06,明日開盤,175.1,
生技醫療,6547,高端疫苗,生技醫療業,48.9,-6.1,,4.3,08-05,2026-08-05,52.2,44.37,
其他,3605,宏致,電子零組件業,108.0,6.4,是,2.6,08-05 08-06,2026-08-05,102.5,87.12,
其他,1736,喬山,運動休閒,142.5,5.9,是,3.8,08-06,2026-08-06,明日開盤,121.12,
其他,2301,光寶科,電腦及週邊設備業,252.5,1.4,,3.5,08-04,2026-08-04,260.0,221.0,
其他,2207,和泰車,汽車工業,516.0,1.4,,4.2,07-29 07-30,2026-07-29,523.0,444.55,
其他,2425,承啟,電腦及週邊設備業,48.15,-1.9,,3.8,08-04,2026-08-04,51.0,43.35,
其他,6206,飛捷,電腦及週邊設備業,144.5,-2.4,,3.2,08-04 08-05,2026-08-04,142.5,121.12,
其他,6538,倉和,電子零組件業,150.0,-4.2,,3.5,08-05,2026-08-05,152.5,129.62,
其他,6214,精誠,資訊服務業,145.5,-4.9,,5.5,07-31,2026-07-31,151.0,128.35,
其他,2540,愛山林,建材營造,54.7,-5.4,,4.7,07-31,2026-07-31,60.9,51.77,
其他,6243,迅杰,半導體業,45.3,-8.5,,2.9,07-24,2026-07-16,48.0,40.8,
