代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,5月YoY%,5月MoM%,6月YoY%,6月MoM%
6693,廣閎科,上櫃,半導體業,193.5,5.8,82.7,279.33,38.4,115.16,4.6,106.97,9.57
2493,揚博,上市,電子零組件業,262.0,31.9,98.2,332.01,37.0,24.9,23.77,32.05,9.27
3189,景碩,上市,半導體業,796.0,18.2,153.6,937.4,30.3,33.02,3.13,32.26,0.57
6197,佳必琪,上市,電子零組件業,315.0,6.8,66.2,405.0,30.1,41.77,0.1,45.21,10.73
5536,聖暉*,上櫃,其他電子業,1200.0,9.2,46.3,1474.89,27.1,27.79,10.53,24.9,5.65
6213,聯茂,上市,電子零組件業,367.0,23.5,117.5,424.5,26.7,29.3,8.23,47.94,10.8
3033,威健,上市,電子通路業,50.2,4.1,43.1,59.4,23.4,27.8,2.54,54.44,24.21
2408,南亞科,上市,半導體業,445.5,21.4,110.4,496.4,23.3,730.13,8.54,621.33,6.21
3711,日月光投控,上市,半導體業,656.0,10.8,94.9,722.4,20.1,28.56,1.26,32.86,4.36
3022,威強電,上市,電腦及週邊設備業,90.9,15.1,30.3,95.7,19.3,92.4,39.28,79.97,8.33
6196,帆宣,上市,其他電子業,548.0,10.9,71.3,607.0,18.1,64.89,5.18,120.99,8.92
6691,洋基工程,上市,其他電子業,726.0,6.1,27.5,834.0,17.9,82.35,34.16,115.18,15.74
2059,川湖,上市,電子零組件業,8125.0,29.6,97.3,8900.0,17.1,172.05,46.05,220.52,17.17
3413,京鼎,上市,半導體業,363.0,13.3,21.2,383.5,14.7,16.74,5.53,39.75,24.22
2347,聯強,上市,電子通路業,88.2,5.1,30.6,93.63,14.2,129.27,18.28,135.45,12.67
2637,慧洋-KY,上市,航運業,83.6,11.6,26.5,88.0,11.8,45.86,10.4,57.91,3.33
