族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
台塑集團與塑化化纖,6505,台塑化,油電燃氣業,80.0,9.9,是,5.6,07-13 07-14 07-15 07-16,2026-07-02,57.9,60.0,
台塑集團與塑化化纖,4707,磐亞,化學工業,45.0,7.3,,2.3,07-03,2026-06-25,26.0,33.75,
台塑集團與塑化化纖,1312,國喬,塑膠工業,13.45,2.3,,4.3,07-03,2026-07-03,15.0,12.75,
台塑集團與塑化化纖,1466,聚隆,紡織纖維,18.7,2.2,,9.6,07-07,2026-07-02,17.65,15.0,
台塑集團與塑化化纖,1301,台塑,塑膠工業,65.6,-0.2,,2.1,07-03 07-14,2026-06-25,56.96,49.27,
台塑集團與塑化化纖,1717,長興,化學工業,70.8,-1.0,,6.8,07-06,2026-07-06,86.8,73.78,出場
台塑集團與塑化化纖,1708,東鹼,化學工業,55.9,-1.4,,2.2,07-03,2026-07-03,64.2,54.57,
台塑集團與塑化化纖,1718,中纖,化學工業,14.65,-1.7,,2.6,07-03,2026-06-25,10.35,11.4,
台塑集團與塑化化纖,1326,台化,塑膠工業,68.9,-2.7,,2.2,07-03 07-15,2026-07-03,72.8,61.88,
台塑集團與塑化化纖,1303,南亞,塑膠工業,221.0,-2.9,,2.1,07-14 07-15,2026-07-14,217.0,184.45,
台塑集團與塑化化纖,2103,台橡,橡膠工業,24.55,-4.1,,2.4,07-03 07-14,2026-07-03,25.5,21.68,
精密機械與金屬加工,4534,慶騰,電機機械,42.35,10.0,是,2.7,07-15 07-16,2026-07-15,38.6,32.81,
精密機械與金屬加工,3685,元創精密,電機機械,39.6,-1.0,,5.9,07-14 07-15,2026-07-14,37.6,31.96,
精密機械與金屬加工,4513,福裕,電機機械,21.6,-3.4,,6.3,07-07 07-13 07-14 07-15,2026-07-07,18.0,16.76,
精密機械與金屬加工,3004,豐達科,鋼鐵工業,149.0,-4.2,,6.1,07-03 07-06,2026-07-03,157.0,133.45,
AI 伺服器/雲端基礎設施,6870,騰雲,數位雲端,330.0,8.4,是,4.1,07-16,2026-07-16,明日開盤,280.5,
AI 伺服器/雲端基礎設施,8050,廣積,電腦及週邊設備業,61.1,0.0,,4.5,07-13,2026-07-13,65.0,55.25,
AI 伺服器/雲端基礎設施,3416,融程電,電腦及週邊設備業,172.0,-1.1,,2.3,07-03,2026-07-03,190.5,161.92,
AI 伺服器/雲端基礎設施,3594,磐儀,電腦及週邊設備業,52.1,-1.5,,4.3,07-03,2026-07-03,58.7,49.9,
生技醫療與藥物開發,6949,沛爾生醫-創,生技醫療業,1105.0,7.8,是,2.9,07-15 07-16,2026-07-15,1020.0,867.0,
生技醫療與藥物開發,7799,禾榮科,生技醫療業,437.0,4.4,,5.0,07-07,2026-06-23,430.0,365.5,
生技醫療與藥物開發,6712,長聖,生技醫療業,154.5,-5.5,,5.6,07-07,2026-06-24,152.5,137.25,
功率元件/類比IC,8150,南茂,半導體業,122.5,7.5,是,3.0,07-16,2026-07-16,明日開盤,104.12,
功率元件/類比IC,6257,矽格,半導體業,238.0,0.2,,2.0,07-06,2026-07-06,270.0,229.5,
電子通路/分銷,5434,崇越,電子通路業,596.0,9.8,是,2.3,07-16,2026-07-16,明日開盤,506.6,
電子通路/分銷,3033,威健,電子通路業,54.2,-2.5,,5.4,07-15,2026-07-15,56.0,47.6,
矽晶圓/外延片,5483,中美晶,半導體業,259.0,-6.8,,2.3,07-14 07-15,2026-06-17,187.0,208.5,
矽晶圓/外延片,6488,環球晶,半導體業,1370.0,-7.1,,5.1,07-06,2026-07-06,1314.92,1131.87,
矽晶圓/外延片,3532,台勝科,半導體業,471.0,-9.9,,4.9,07-14,2026-07-14,535.0,454.75,
軍工/航太,2645,長榮航太,航運業,231.5,-4.3,,2.1,07-03 07-06 07-13,2026-06-30,184.08,188.62,
軍工/航太,2634,漢翔,航運業,64.5,-5.6,,5.5,07-03 07-13 07-14,2026-06-29,51.5,51.23,
軍工/航太,2630,亞航,航運業,56.9,-6.0,,5.5,07-03 07-13 07-14,2026-07-01,50.8,46.72,
半導體材料/元件,3264,欣銓,半導體業,237.5,5.8,,2.3,07-06,2026-07-06,259.5,220.57,
半導體材料/元件,3042,晶技,電子零組件業,186.5,-1.6,,2.5,07-03,2026-07-03,250.0,212.5,出場
半導體材料/元件,8383,千附,半導體業,87.1,-3.0,,5.5,07-13 07-14 07-15,2026-07-13,80.54,68.46,
半導體設備與零組件,6732,昇佳電子,半導體業,214.0,6.5,,9.2,07-03 07-06,2026-07-03,202.0,171.7,
半導體設備與零組件,3402,漢科,其他電子業,156.5,-0.9,,2.3,07-15,2026-07-15,154.5,131.32,
半導體設備與零組件,3303,岱稜,其他電子業,57.4,-8.5,,3.1,07-15,2026-07-15,62.4,53.04,
網路通訊/資安,6143,振曜,通信網路業,103.5,0.0,,7.6,07-03,2026-07-03,107.0,90.95,
網路通訊/資安,2427,三商電,資訊服務業,24.85,-3.7,,12.3,07-03,2026-07-03,26.85,22.82,
網路通訊/資安,6416,瑞祺電通,通信網路業,94.9,-6.5,,17.2,07-08,2026-07-08,94.0,79.9,
邊緣運算與工業控制,6414,樺漢,電腦及週邊設備業,400.0,1.4,,2.3,07-07,2026-07-07,404.0,343.4,
邊緣運算與工業控制,3005,神基,電腦及週邊設備業,113.5,-1.7,,2.1,07-09,2026-07-09,112.0,95.2,
半導體設計與IC設計,8016,矽創,半導體業,295.0,-2.3,,2.7,07-07,2026-07-07,346.0,294.1,
半導體設計與IC設計,5471,松翰,半導體業,60.1,-4.8,,2.6,07-09,2026-07-09,66.77,56.75,
機能性纖維與紡織,1434,福懋,紡織纖維,19.45,2.1,,2.5,07-03 07-15,2026-07-02,17.05,14.59,
機能性纖維與紡織,1409,新纖,紡織纖維,26.0,0.4,,5.9,07-03 07-07,2026-07-03,34.1,28.98,出場
電網設備與電纜,1609,大亞,電器電纜,38.6,-1.7,,3.3,07-06,2026-07-06,43.9,37.32,
電網設備與電纜,2061,風青,電器電纜,63.0,-7.4,,2.9,07-08,2026-07-08,83.7,71.14,出場
其他,9914,美利達,運動休閒,84.2,9.9,是,7.0,07-16,2026-07-16,明日開盤,71.57,
其他,3413,京鼎,半導體業,382.0,9.8,是,3.1,07-07 07-16,2026-07-07,348.5,296.22,
其他,9921,巨大,運動休閒,88.0,10.0,,2.3,07-13,2026-07-13,79.2,67.32,
其他,8039,台虹,電子零組件業,199.5,9.9,,6.3,07-14,2026-07-14,186.0,158.1,
其他,2484,希華,電子零組件業,89.6,9.9,,2.5,07-03,2026-07-03,98.1,83.38,
其他,8182,加高,電子零組件業,47.05,5.0,,2.6,07-03,2026-07-03,58.68,49.87,出場
其他,2466,冠西電,光電業,121.0,4.8,,3.2,07-03,2026-07-01,72.3,90.75,
其他,6907,雅特力-KY,半導體業,239.0,2.8,,2.2,07-06 07-14,2026-07-06,190.0,179.25,
其他,6525,捷敏-KY,半導體業,191.5,1.6,,2.7,07-03,2026-06-15,130.5,165.75,
其他,4147,中裕,生技醫療業,66.0,1.1,,2.3,07-03,2026-07-03,70.0,59.5,
其他,2395,研華,電腦及週邊設備業,530.0,-0.6,,3.1,07-08,2026-07-08,547.0,464.95,
其他,6491,晶碩,生技醫療業,359.5,-1.5,,8.7,07-03,2026-06-30,348.5,296.22,
其他,2515,中工,建材營造,13.0,-1.8,,2.0,07-03,2026-07-03,13.81,11.74,
其他,4541,晟田,其他,71.3,-2.2,,7.4,07-03 07-06 07-14,2026-07-01,55.3,54.68,
其他,6538,倉和,電子零組件業,148.0,-2.3,,3.2,07-14,2026-06-23,133.5,117.0,
其他,8096,擎亞,電子通路業,142.0,-2.7,,2.1,07-08,2026-07-08,169.5,144.07,出場
