代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,5月YoY%,5月MoM%,6月YoY%,6月MoM%
6770,力積電,上市,半導體業,76.5,11.0,64.6,89.3,29.0,58.86,14.35,68.75,12.19
3094,聯傑,上市,半導體業,40.95,18.6,51.6,46.15,24.2,16.49,1.07,74.09,23.69
8028,昇陽半導體,上市,半導體業,350.0,20.7,75.9,364.0,24.2,46.03,2.92,33.62,0.83
6175,立敦,上櫃,電子零組件業,110.0,20.2,92.0,123.0,21.1,25.02,3.14,43.96,2.75
2441,超豐,上市,半導體業,139.0,15.4,58.9,156.0,20.5,20.91,4.78,33.15,7.46
2476,鉅祥,上市,電子零組件業,131.5,7.0,32.2,140.0,16.4,48.67,3.12,53.76,9.09
8091,翔名,上櫃,半導體業,288.0,18.8,90.7,303.5,16.3,82.23,10.11,71.69,5.65
6414,樺漢,上市,電腦及週邊設備業,400.0,12.8,33.4,418.0,12.4,35.27,6.97,56.96,13.36
2330,台積電,上市,半導體業,2470.0,6.4,43.7,2535.0,8.3,30.09,1.52,67.86,6.16
