族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
生技醫療,6617,共信-KY,生技醫療業,117.5,5.4,是,3.9,07-02 07-07 07-08,2026-07-02,92.6,88.12,
生技醫療,4169,泰宗,生技醫療業,279.0,4.1,是,3.4,06-29 06-30 07-07 07-08,2026-06-22,195.5,209.25,
生技醫療,6712,長聖,生技醫療業,183.0,3.1,,5.6,06-29 07-07,2026-06-24,152.5,137.25,
生技醫療,4128,中天,生技醫療業,18.0,2.0,,6.2,07-06,2026-07-06,17.9,15.21,
生技醫療,6491,晶碩,生技醫療業,375.0,-0.8,,8.7,06-30 07-03,2026-06-30,348.5,296.22,
生技醫療,4743,合一,生技醫療業,55.7,-1.8,,6.3,07-03 07-06,2026-07-03,60.9,51.77,
工業電腦與邊緣運算,2395,研華,電腦及週邊設備業,546.0,10.0,是,3.2,07-08,2026-07-08,明日開盤,464.1,
工業電腦與邊緣運算,8932,智通*,數位雲端,119.5,3.9,,3.1,06-25,2026-06-12,105.0,89.62,
工業電腦與邊緣運算,6414,樺漢,電腦及週邊設備業,404.0,1.0,,2.3,07-07,2026-07-07,404.0,343.4,
工業電腦與邊緣運算,6579,研揚,電腦及週邊設備業,172.5,-3.6,,9.2,07-07,2026-07-07,181.5,154.28,
網通設備,2332,友訊,通信網路業,21.9,9.8,是,2.1,07-08,2026-07-08,明日開盤,18.61,
網通設備,8071,能率網通,電子零組件業,30.8,-7.6,,2.4,06-25,2026-05-14,18.15,25.35,
半導體封裝材料與元件,3026,禾伸堂,電子零組件業,953.0,9.9,,4.3,07-03,2026-07-03,1015.0,862.75,
半導體封裝材料與元件,3189,景碩,半導體業,755.0,9.9,,2.6,06-25,2026-06-25,826.58,702.6,
半導體封裝材料與元件,8261,富鼎,半導體業,348.0,1.8,,2.5,07-02,2026-06-23,249.5,264.0,
半導體封裝材料與元件,2458,義隆,半導體業,186.0,-1.1,,2.3,06-25 06-30,2026-06-18,177.0,150.45,
半導體封裝材料與元件,3413,京鼎,半導體業,339.0,-1.5,,4.4,07-07,2026-07-07,348.5,296.22,
