族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
金融,2884,玉山金,金融保險業,43.2,6.7,是,2.5,09-03,2026-09-03,明日開盤,36.72,
金融,2845,遠東銀,金融保險業,13.65,5.0,是,3.2,09-03,2026-09-03,明日開盤,11.6,
金融,2801,彰銀,金融保險業,26.6,3.5,是,2.6,09-03,2026-09-03,明日開盤,22.61,
金融,2881,富邦金,金融保險業,147.0,2.4,,2.4,08-21 08-25,2026-08-21,135.0,114.75,
光學元件,3406,玉晶光,光電業,991.0,-5.6,,2.5,08-27 08-28 08-31,2026-08-27,840.0,787.5,
光學元件,8111,立碁,光電業,72.0,-5.8,,4.5,09-01,2026-09-01,75.0,63.75,
光學元件,3441,聯一光,光電業,130.0,-6.8,,2.5,08-21,2026-08-21,113.5,104.62,
光學元件,3504,揚明光,光電業,87.8,-6.9,,2.7,08-27 09-02,2026-08-27,92.5,78.62,
光學元件,3543,州巧,光電業,44.9,-7.7,,2.4,08-26,2026-08-17,42.05,40.88,
光學元件,2426,鼎元,光電業,95.0,-9.1,,3.9,08-26,2026-08-26,101.5,86.27,
光學元件,2491,吉祥全,光電業,45.0,-10.0,,3.2,08-26 08-27 08-28,2026-08-26,45.75,42.3,
電子零組件/通訊,6426,統新,通信網路業,265.5,3.3,,2.6,08-26,2026-08-26,269.5,229.07,
電子零組件/通訊,7788,松川精密,電子零組件業,315.0,-0.3,,2.0,08-27 08-28,2026-08-27,310.0,263.5,
電子零組件/通訊,8103,瀚荃,電子零組件業,121.0,-0.8,,4.8,08-26 09-01,2026-08-26,115.0,97.75,
電子零組件/通訊,6486,互動,通信網路業,83.1,-1.3,,9.4,09-02,2026-09-02,92.6,78.71,
電子零組件/通訊,4912,聯德控股-KY,電子零組件業,101.5,-1.5,,2.4,09-02,2026-09-02,103.0,87.55,
電子零組件/通訊,6141,柏承,電子零組件業,51.7,-5.7,,2.3,08-26 08-27 08-28,2026-08-26,53.5,45.48,
電子零組件/通訊,4939,亞電,電子零組件業,81.5,-8.3,,5.1,08-26 08-28,2026-08-26,82.1,69.78,
航運,2606,裕民,航運業,78.2,4.1,,10.4,08-25,2026-08-25,76.0,64.6,
航運,2637,慧洋-KY,航運業,99.8,3.6,,5.6,08-21,2026-08-21,103.0,87.55,
航運,2615,萬海,航運業,115.5,3.1,,4.2,08-21,2026-08-14,91.3,94.88,
航運,2605,新興,航運業,35.5,1.3,,3.5,08-21,2026-08-18,35.9,30.52,
航運,2609,陽明,航運業,57.8,0.5,,5.6,08-21,2026-08-17,55.1,48.38,
生技醫療/藥品,6547,高端疫苗,生技醫療業,61.8,0.5,,2.8,08-21 08-26,2026-08-21,55.5,48.75,
生技醫療/藥品,6782,視陽,生技醫療業,235.0,-1.7,,2.7,08-25 08-26 08-31,2026-08-25,225.0,191.25,
生技醫療/藥品,6472,保瑞,生技醫療業,411.5,-2.6,,3.3,08-25,2026-08-20,438.5,372.72,
生技醫療/藥品,6491,晶碩,生技醫療業,380.5,-3.4,,2.8,08-31,2026-08-31,392.0,333.2,
生技醫療/藥品,6617,共信-KY,生技醫療業,113.5,-5.8,,2.0,08-26,2026-08-26,128.0,108.8,
化合物半導體/砷化鎵,3374,精材,半導體業,400.0,-4.6,,2.7,08-31,2026-08-31,422.5,359.12,
化合物半導體/砷化鎵,3081,聯亞,通信網路業,3120.0,-8.1,,2.1,08-26 08-27,2026-08-26,3385.0,2877.25,
化合物半導體/砷化鎵,1815,富喬,電子零組件業,120.0,-8.4,,2.9,08-21 08-26 08-28,2026-08-21,113.0,98.25,
化合物半導體/砷化鎵,3189,景碩,半導體業,775.0,-8.5,,2.1,08-27,2026-08-17,917.0,779.45,出場
AI 伺服器散熱,2421,建準,電子零組件業,164.5,-2.1,,5.8,08-31,2026-08-31,182.0,154.7,
AI 伺服器散熱,2354,鴻準,其他電子業,63.7,-3.9,,2.5,08-27,2026-08-27,65.3,55.51,
AI 伺服器散熱,3324,雙鴻,其他電子業,1350.0,-5.9,,3.0,08-31 09-01 09-02,2026-08-31,1300.0,1105.0,
伺服器管理/硬體,3693,營邦,電腦及週邊設備業,648.0,0.9,,2.0,08-28,2026-08-28,580.0,493.0,
伺服器管理/硬體,5274,信驊,半導體業,17850.0,0.7,,2.7,09-02,2026-09-02,17735.0,15074.75,
伺服器管理/硬體,7711,永擎,電腦及週邊設備業,575.0,-5.7,,2.2,08-24,2026-08-10,445.5,457.5,
化學/塑化供應鏈,1402,遠東新,紡織纖維,29.1,0.0,,2.2,08-21,2026-08-20,29.25,24.86,
化學/塑化供應鏈,1312,國喬,塑膠工業,14.9,-2.3,,7.2,08-31,2026-08-31,15.8,13.43,
化學/塑化供應鏈,1709,和益,化學工業,33.45,-4.4,,2.7,08-21 08-24 08-26 08-28 09-01,2026-08-13,29.02,27.3,
半導體/IC設計,6532,瑞耘,半導體業,99.8,2.9,,2.6,08-31,2026-08-31,99.6,84.66,
半導體/IC設計,6533,晶心科,半導體業,264.0,0.2,,2.1,08-26,2026-08-26,268.5,228.22,
其他,2221,大甲,其他,91.5,10.0,是,4.1,08-24 08-25 08-26 08-27 08-28 09-02 09-03,2026-08-24,64.0,68.62,
其他,6122,擎邦,電機機械,51.9,6.6,是,11.0,09-03,2026-09-03,明日開盤,44.12,
其他,3141,晶宏,半導體業,100.0,0.5,,11.9,09-01 09-02,2026-09-01,93.5,79.47,
其他,00708L,期元大S&P黃金正2,,82.05,0.0,,2.1,08-24,2026-08-24,92.2,78.37,
其他,6805,富世達,電子零組件業,2095.0,-0.7,,2.2,08-27,2026-08-27,2265.0,1925.25,
其他,1101,台泥,水泥工業,24.45,-1.4,,2.2,09-01,2026-09-01,25.3,21.5,
其他,2201,裕隆,汽車工業,31.4,-1.7,,6.4,08-31 09-01,2026-08-31,30.05,25.54,
