代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,4月YoY%,4月MoM%,5月YoY%,5月MoM%
5351,鈺創,上櫃,半導體業,89.9,11.1,67.2,103.0,24.7,417.06,20.91,605.48,24.75
3167,大量,上市,電機機械,905.0,15.7,148.2,1015.0,24.6,114.23,11.53,120.27,10.76
4739,康普,上市,化學工業,115.5,12.3,52.7,133.41,22.8,96.23,26.03,140.95,12.91
6548,長科*,上櫃,半導體業,94.2,39.2,99.9,104.0,22.4,24.51,4.27,36.65,3.28
4931,新盛力,上櫃,電腦及週邊設備業,261.0,28.4,63.9,283.96,20.2,97.38,6.99,178.64,37.31
6239,力成,上市,半導體業,344.5,22.4,72.4,377.5,19.6,32.49,2.76,30.23,4.51
2301,光寶科,上市,電腦及週邊設備業,224.0,10.0,35.6,249.0,19.3,24.51,1.27,29.55,3.94
6411,晶焱,上櫃,半導體業,103.5,14.1,29.1,117.0,18.4,14.39,10.41,17.6,3.99
2399,映泰,上市,電腦及週邊設備業,55.0,20.8,92.5,57.5,17.2,21.89,34.67,48.24,7.66
2317,鴻海,上市,其他電子業,242.0,0.3,11.4,284.04,16.9,29.73,3.52,39.57,3.28
7712,博盛半導體,上櫃,半導體業,213.5,40.0,77.7,218.0,12.8,2.92,14.02,2.67,3.54
8926,台汽電,上市,油電燃氣業,81.0,35.1,69.9,81.89,12.6,532.8,28.77,768.16,7.26
2880,華南金,上市,金融保險業,38.25,10.7,20.9,39.2,7.9,59.58,13.55,72.52,0.54
2885,元大金,上市,金融保險業,68.4,17.2,60.0,69.7,7.3,324.89,38.9,928.42,23.22
