族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
記憶體模組與儲存,3006,晶豪科,半導體業,275.5,7.4,是,2.0,08-10,2026-08-10,明日開盤,234.17,
記憶體模組與儲存,2359,所羅門,其他電子業,153.5,7.0,是,2.2,08-10,2026-08-10,明日開盤,130.47,
AI伺服器組裝與周邊,7711,永擎,電腦及週邊設備業,405.0,8.0,是,4.7,08-10,2026-08-10,明日開盤,344.25,
AI伺服器組裝與周邊,2301,光寶科,電腦及週邊設備業,271.5,9.9,,3.5,08-04,2026-08-04,260.0,221.0,
AI伺服器組裝與周邊,8050,廣積,電腦及週邊設備業,68.4,-0.9,,4.0,08-07,2026-08-07,67.3,57.21,
AI伺服器組裝與周邊,2425,承啟,電腦及週邊設備業,49.55,-6.3,,2.5,08-04 08-07,2026-08-04,51.0,43.35,
AI伺服器組裝與周邊,2362,藍天,電腦及週邊設備業,46.8,-7.3,,12.7,08-06,2026-08-06,50.7,43.1,
電子連接器,2465,麗臺,電腦及週邊設備業,93.6,10.0,是,3.4,08-10,2026-08-10,明日開盤,79.56,
電子連接器,6279,胡連,電子零組件業,130.0,2.8,,8.5,08-07,2026-08-07,127.5,108.38,
電子連接器,2397,友通,電腦及週邊設備業,68.0,2.7,,3.5,08-07,2026-08-07,67.0,56.95,
電子連接器,3605,宏致,電子零組件業,109.0,1.4,,2.5,08-05 08-06,2026-08-05,102.5,87.12,
電子連接器,6538,倉和,電子零組件業,145.5,0.3,,3.5,08-05,2026-08-05,152.5,129.62,
鋼鐵工業,2033,佳大,鋼鐵工業,18.7,10.0,是,12.6,08-07 08-10,2026-08-07,17.0,14.45,
鋼鐵工業,2031,新光鋼,鋼鐵工業,46.5,3.3,,11.9,08-07,2026-08-07,45.7,38.85,
鋼鐵工業,2010,春源,鋼鐵工業,23.4,2.0,,6.1,08-07,2026-08-07,23.15,19.68,
鋼鐵工業,2027,大成鋼,鋼鐵工業,47.3,1.5,,2.2,08-06,2026-08-06,45.95,39.06,
鋼鐵工業,2006,東和鋼鐵,鋼鐵工業,85.9,-2.9,,3.2,08-03 08-06,2026-08-03,78.8,66.98,
運動休閒與機能服飾,9921,巨大,運動休閒,101.5,9.8,是,3.0,08-10,2026-08-10,明日開盤,86.27,
運動休閒與機能服飾,1736,喬山,運動休閒,139.5,1.8,,3.8,08-06,2026-08-06,140.5,119.42,
運動休閒與機能服飾,9939,宏全,其他,144.5,0.0,,3.2,08-06,2026-08-06,142.5,121.12,
運動休閒與機能服飾,1476,儒鴻,紡織纖維,337.0,-2.9,,2.7,07-30,2026-07-30,347.5,295.38,
生技醫療設備,8436,大江,生技醫療業,125.5,7.3,是,4.1,08-10,2026-08-10,明日開盤,106.67,
生技醫療設備,6547,高端疫苗,生技醫療業,51.9,0.6,,4.3,08-05,2026-08-05,52.2,44.37,
生技醫療設備,6782,視陽,生技醫療業,214.0,-1.8,,4.2,08-06 08-07,2026-08-06,205.0,174.25,
系統整合與資訊服務,3022,威強電,電腦及週邊設備業,113.0,9.7,是,2.6,08-05 08-10,2026-08-05,98.1,84.75,
系統整合與資訊服務,3594,磐儀,電腦及週邊設備業,60.0,0.0,,3.8,08-07,2026-08-07,61.1,51.93,
系統整合與資訊服務,6214,精誠,資訊服務業,144.5,-1.4,,5.5,07-31,2026-07-31,151.0,128.35,
AI 伺服器散熱,3017,奇鋐,電腦及週邊設備業,2765.0,-0.7,,2.2,08-06,2026-08-06,2935.0,2494.75,
AI 伺服器散熱,3653,健策,電子零組件業,4135.0,-5.6,,2.2,08-05,2026-08-05,4295.0,3650.75,
半導體IP與設計,6533,晶心科,半導體業,250.0,-2.3,,3.1,08-07,2026-08-07,254.0,215.9,
其他,2103,台橡,橡膠工業,27.5,10.0,是,3.8,08-10,2026-08-10,明日開盤,23.38,
其他,3704,合勤控,通信網路業,50.4,9.9,是,2.4,08-10,2026-08-10,明日開盤,42.84,
其他,6206,飛捷,電腦及週邊設備業,158.0,9.7,是,2.5,08-04 08-05 08-10,2026-08-04,142.5,121.12,
其他,5904,寶雅*,居家生活,79.2,10.0,,2.4,07-29,2026-07-29,72.0,61.2,
其他,2727,王品,觀光餐旅,241.5,2.3,,2.3,08-07,2026-08-07,238.0,202.3,
其他,2207,和泰車,汽車工業,514.0,-0.4,,4.2,07-29 07-30,2026-07-29,523.0,444.55,
其他,4566,時碩工業,電機機械,74.8,-2.0,,3.5,08-07,2026-08-07,79.9,67.92,
