族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
運動休閒與單車,9921,巨大,運動休閒,111.5,9.9,是,2.8,08-10 08-11,2026-08-10,99.9,84.92,
運動休閒與單車,9914,美利達,運動休閒,94.3,9.7,是,2.6,08-11,2026-08-11,明日開盤,80.16,
運動休閒與單車,1736,喬山,運動休閒,145.0,3.9,,3.8,08-06,2026-08-06,140.5,119.42,
AI 伺服器周邊與組組裝,6922,宸曜,電腦及週邊設備業,213.0,4.4,是,5.4,08-11,2026-08-11,明日開盤,181.05,
AI 伺服器周邊與組組裝,3605,宏致,電子零組件業,111.0,1.8,,2.5,08-05 08-06,2026-08-05,102.5,87.12,
AI 伺服器周邊與組組裝,2362,藍天,電腦及週邊設備業,47.3,1.1,,12.7,08-06,2026-08-06,50.7,43.1,
AI 伺服器周邊與組組裝,7711,永擎,電腦及週邊設備業,407.0,0.5,,4.5,08-10,2026-08-10,445.5,378.68,
AI 伺服器周邊與組組裝,2301,光寶科,電腦及週邊設備業,268.5,-1.1,,3.5,08-04,2026-08-04,260.0,221.0,
AI 伺服器周邊與組組裝,2465,麗臺,電腦及週邊設備業,86.9,-7.2,,3.3,08-10,2026-08-10,94.6,80.41,
AI 伺服器周邊與組組裝,2425,承啟,電腦及週邊設備業,45.95,-7.3,,2.5,08-04 08-07,2026-08-04,51.0,43.35,
AI 伺服器周邊與組組裝,2359,所羅門,其他電子業,140.5,-8.5,,2.2,08-10,2026-08-10,150.0,127.5,
AI 伺服器周邊與組組裝,6206,飛捷,電腦及週邊設備業,143.0,-9.5,,2.4,08-04 08-05 08-10,2026-08-04,142.5,121.12,
AI 伺服器周邊與組組裝,8050,廣積,電腦及週邊設備業,61.6,-9.9,,4.0,08-07,2026-08-07,67.3,57.21,
電子通路與系統整合,8112,至上,電子通路業,100.0,8.2,是,4.6,08-11,2026-08-11,明日開盤,85.0,
電子通路與系統整合,6214,精誠,資訊服務業,143.0,-1.0,,5.5,07-31,2026-07-31,151.0,128.35,
電子通路與系統整合,3022,威強電,電腦及週邊設備業,108.0,-4.4,,2.6,08-05 08-10,2026-08-05,98.1,84.75,
鋼鐵工業,2006,東和鋼鐵,鋼鐵工業,85.5,-0.5,,3.2,08-03 08-06,2026-08-03,78.8,66.98,
鋼鐵工業,2031,新光鋼,鋼鐵工業,46.1,-0.9,,11.9,08-07,2026-08-07,45.7,38.85,
鋼鐵工業,2027,大成鋼,鋼鐵工業,46.45,-1.8,,2.2,08-06,2026-08-06,45.95,39.06,
AI 伺服器散熱,3017,奇鋐,電腦及週邊設備業,2760.0,-0.2,,2.2,08-06,2026-08-06,2935.0,2494.75,
AI 伺服器散熱,3653,健策,電子零組件業,4065.0,-1.7,,2.2,08-05,2026-08-05,4295.0,3650.75,
紡織成衣,1476,儒鴻,紡織纖維,332.0,-1.5,,2.7,07-30,2026-07-30,347.5,295.38,
紡織成衣,9939,宏全,其他,135.5,-6.2,,3.2,08-06,2026-08-06,142.5,121.12,
半導體 IP 與設計,6533,晶心科,半導體業,250.0,0.0,,3.1,08-07,2026-08-07,254.0,215.9,
其他,5904,寶雅*,居家生活,87.1,10.0,是,4.9,07-29 08-11,2026-07-29,72.0,65.32,
其他,2103,台橡,橡膠工業,28.65,4.2,是,5.0,08-10 08-11,2026-08-10,27.8,23.63,
其他,8436,大江,生技醫療業,126.0,0.4,,4.0,08-10,2026-08-10,122.5,104.12,
其他,2727,王品,觀光餐旅,236.5,-2.1,,2.3,08-07,2026-08-07,238.0,202.3,
其他,4566,時碩工業,電機機械,70.4,-5.9,,3.5,08-07,2026-08-07,79.9,67.92,
其他,3704,合勤控,通信網路業,45.4,-9.9,,2.4,08-10,2026-08-10,47.2,40.12,
