代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,5月YoY%,5月MoM%,6月YoY%,6月MoM%
3189,景碩,上市,半導體業,819.0,28.0,177.9,937.4,26.7,33.02,3.13,32.26,0.57
7788,松川精密,上市,電子零組件業,259.0,20.7,62.8,305.5,25.4,43.08,4.57,65.65,13.35
2464,盟立,上市,,166.0,14.9,93.5,206.5,24.5,30.83,7.24,43.05,15.8
3016,嘉晶,上市,,133.5,18.4,99.6,152.39,24.5,37.28,1.66,41.16,3.33
5347,世界,上櫃,半導體業,178.5,7.9,50.6,217.84,22.9,19.47,5.34,33.57,40.89
6156,松上,上櫃,電子零組件業,28.35,28.6,28.5,34.5,22.8,34.53,14.4,55.51,6.58
6548,長科*,上櫃,半導體業,84.7,20.2,75.5,104.0,22.8,36.65,3.28,37.63,5.02
3707,漢磊,上櫃,,85.5,10.7,45.5,100.5,22.7,27.97,0.99,29.85,5.05
3360,尚立,上櫃,電子通路業,20.15,26.2,41.9,23.85,22.6,125.62,48.63,95.15,11.89
3532,台勝科,上市,半導體業,465.5,58.1,199.5,484.0,22.4,24.42,4.2,23.71,0.53
3450,聯鈞,上市,半導體業,515.0,12.3,71.5,612.0,21.5,49.91,9.39,88.17,18.58
6265,方土昶,上櫃,電子通路業,54.1,8.8,78.8,62.2,21.5,1076.35,8.07,1209.5,15.06
4916,事欣科,上市,,118.0,27.7,78.3,120.5,20.7,104.34,6.05,80.52,11.33
6691,洋基工程,上市,其他電子業,725.0,7.0,29.4,834.0,17.9,82.35,34.16,115.18,15.74
4958,臻鼎-KY,上市,電子零組件業,646.0,31.0,161.2,659.0,17.5,37.39,6.61,32.83,5.13
2301,光寶科,上市,電腦及週邊設備業,222.0,6.5,32.7,241.0,16.6,29.55,3.94,36.97,7.5
8112,至上,上市,電子通路業,87.5,2.3,29.8,99.75,16.5,253.17,53.79,231.16,14.29
6944,兆聯實業,上市,綠能環保,1045.0,9.6,47.3,1115.0,15.7,48.22,10.15,29.97,13.16
4541,晟田,上櫃,其他,67.1,39.7,48.8,67.4,15.0,10.16,10.0,58.67,8.82
8131,福懋科,上市,半導體業,77.2,11.7,47.4,87.1,14.7,49.61,5.43,60.86,5.09
6526,達發,上市,半導體業,682.0,5.7,30.0,711.71,14.0,12.89,1.14,14.4,7.72
3402,漢科,上櫃,其他電子業,148.0,4.8,15.3,162.0,12.7,17.57,2.23,29.9,7.65
1609,大亞,上市,電器電纜,40.1,11.4,6.6,44.25,12.1,21.98,0.33,22.66,7.46
3004,豐達科,上市,鋼鐵工業,154.5,20.4,31.9,163.0,12.0,56.16,11.86,46.55,6.05
2618,長榮航,上市,航運業,40.75,12.9,15.2,43.5,10.9,22.1,1.63,26.58,5.12
6199,天品,上櫃,,106.0,8.0,5.7,109.0,8.8,724.1,9.17,476.98,12.95
2330,台積電,上市,,2440.0,6.0,43.3,2535.0,8.3,30.09,1.52,67.86,6.16
3706,神達,上市,電腦及週邊設備業,90.8,5.1,7.1,94.2,8.1,49.3,17.23,80.93,14.98
