族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
工業電腦/邊緣運算,6414,樺漢,電腦及週邊設備業,445.5,10.0,是,3.2,07-21,2026-07-07,404.0,343.4,
工業電腦/邊緣運算,2395,研華,電腦及週邊設備業,567.0,9.9,,3.1,07-08,2026-07-08,535.48,455.16,
工業電腦/邊緣運算,3005,神基,電腦及週邊設備業,116.5,6.4,,2.1,07-09,2026-07-09,112.0,95.2,
航太軍工,2634,漢翔,航運業,71.5,10.0,是,2.2,07-13 07-14 07-21,2026-06-29,51.5,53.62,
航太軍工,2645,長榮航太,航運業,215.0,3.4,,2.1,07-13,2026-06-30,184.08,188.62,
航運/海運,2615,萬海,航運業,85.2,5.8,是,3.2,07-21,2026-07-21,明日開盤,72.42,
航運/海運,2630,亞航,航運業,58.9,9.9,,5.5,07-13 07-14,2026-07-01,50.8,46.72,
台塑集團,6505,台塑化,油電燃氣業,85.4,9.9,,5.6,07-13 07-14 07-15 07-16,2026-07-02,57.9,64.05,
台塑集團,1326,台化,塑膠工業,68.6,6.9,,2.2,07-15,2026-07-03,72.8,61.88,
台塑集團,1303,南亞,塑膠工業,195.5,4.8,,2.1,07-14 07-15,2026-07-14,217.0,184.45,
台塑集團,1301,台塑,塑膠工業,63.0,4.0,,2.1,07-14,2026-06-25,56.96,49.27,
電子通路,8096,擎亞,電子通路業,140.0,9.4,,2.1,07-08,2026-07-08,169.5,144.07,出場
電子通路,8050,廣積,電腦及週邊設備業,60.5,8.8,,4.5,07-13,2026-07-13,65.0,55.25,
電子通路,3033,威健,電子通路業,49.3,2.9,,5.4,07-15,2026-07-15,56.0,47.6,
電子通路,5434,崇越,電子通路業,547.0,0.6,,2.2,07-16,2026-07-16,579.0,492.15,
半導體設備與材料,6243,迅杰,半導體業,51.0,9.8,,9.0,07-16 07-17,2026-07-16,48.0,40.8,
半導體設備與材料,8383,千附,半導體業,84.5,5.4,,5.5,07-13 07-14 07-15,2026-07-13,80.54,68.46,
半導體設備與材料,6907,雅特力-KY,半導體業,222.0,4.5,,2.2,07-14,2026-07-06,190.0,179.25,
半導體設備與材料,3402,漢科,其他電子業,144.0,2.9,,2.3,07-15,2026-07-15,154.5,131.32,
化合物半導體/矽晶圓,5483,中美晶,半導體業,220.5,-3.1,,2.3,07-14 07-15,2026-06-17,187.0,208.5,
化合物半導體/矽晶圓,6182,合晶,半導體業,130.0,-3.7,,2.2,07-09,2026-06-17,119.5,142.12,出場
化合物半導體/矽晶圓,3532,台勝科,半導體業,433.5,-7.0,,4.9,07-14,2026-07-14,535.0,454.75,出場
自行車,9921,巨大,運動休閒,84.6,0.8,,2.3,07-13,2026-07-13,79.2,67.32,
自行車,9914,美利達,運動休閒,80.4,0.8,,6.9,07-16,2026-07-16,82.2,69.87,
IC 設計與驅動 IC,5471,松翰,半導體業,56.4,5.8,,2.6,07-09,2026-07-09,66.77,56.75,出場
IC 設計與驅動 IC,3617,碩天,其他電子業,211.5,3.2,,4.0,07-08,2026-06-25,224.0,190.4,
化學與基礎材料,1709,和益,化學工業,28.1,7.3,,5.1,07-13 07-14,2026-07-01,22.65,21.08,
化學與基礎材料,2103,台橡,橡膠工業,23.65,2.6,,2.4,07-14,2026-07-03,25.5,21.68,
其他,4939,亞電,電子零組件業,72.8,10.0,是,4.0,07-21,2026-07-21,明日開盤,61.88,
其他,1736,喬山,運動休閒,141.5,4.8,是,2.5,07-20 07-21,2026-07-20,132.5,112.62,
其他,6277,宏正,電腦及週邊設備業,79.3,4.3,是,2.1,07-21,2026-07-21,明日開盤,67.41,
其他,1810,和成,玻璃陶瓷,31.05,9.9,,5.9,07-13 07-14 07-15,2026-07-03,24.6,23.33,
其他,4764,雙鍵,化學工業,293.0,9.9,,2.9,07-15,2026-07-15,355.0,301.75,出場
其他,4541,晟田,其他,75.7,9.9,,7.4,07-14,2026-07-01,55.3,56.77,
其他,8039,台虹,電子零組件業,212.0,9.8,,6.3,07-14,2026-07-14,186.0,159.0,
其他,3026,禾伸堂,電子零組件業,682.0,9.8,,2.9,07-09,2026-07-03,1015.0,862.75,出場
其他,2332,友訊,通信網路業,22.3,8.0,,7.7,07-08 07-13,2026-07-08,24.05,20.44,
其他,3704,合勤控,通信網路業,47.35,5.6,,3.9,07-13,2026-07-13,50.3,42.75,
其他,4564,元翎,電機機械,20.25,5.2,,5.2,07-13,2026-07-13,21.7,18.45,
其他,6477,安集,光電業,42.35,3.3,,3.6,07-09,2026-07-03,37.17,31.76,
其他,1232,大統益,食品工業,163.0,2.2,,9.1,07-13 07-16 07-17,2026-07-13,151.0,128.35,
其他,8150,南茂,半導體業,104.0,1.0,,3.0,07-16,2026-07-16,116.0,98.6,
其他,6949,沛爾生醫-創,生技醫療業,994.0,0.3,,2.9,07-15 07-16,2026-07-15,1020.0,867.0,
其他,2527,宏璟,建材營造,50.5,0.2,,2.1,07-13 07-16 07-20,2026-07-13,45.65,38.8,
其他,2061,風青,電器電纜,51.1,0.0,,2.9,07-08,2026-07-08,83.7,71.14,出場
其他,6538,倉和,電子零組件業,137.5,-2.8,,3.2,07-14,2026-06-23,133.5,117.0,
其他,4534,慶騰,電機機械,36.5,-2.8,,2.6,07-15 07-16,2026-07-15,38.6,32.81,
其他,5450,南良,其他,17.95,-4.3,,14.6,07-17 07-20,2026-07-17,17.75,15.09,
其他,3413,京鼎,半導體業,335.0,-6.7,,3.0,07-16,2026-07-07,348.5,296.22,
