族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
航運,2615,萬海,航運業,99.6,9.9,是,4.1,08-14 08-17,2026-08-14,91.3,77.61,
航運,2609,陽明,航運業,54.7,6.0,是,5.8,08-17,2026-08-17,明日開盤,46.5,
航運,2603,長榮,航運業,231.5,5.7,是,4.4,08-17,2026-08-17,明日開盤,196.78,
ABF載板/封裝材料,3037,欣興,電子零組件業,1120.0,9.8,是,2.5,08-17,2026-08-17,明日開盤,952.0,
ABF載板/封裝材料,3189,景碩,半導體業,905.0,5.0,是,3.0,08-17,2026-08-17,明日開盤,769.25,
AI 伺服器/邊緣運算,3005,神基,電腦及週邊設備業,121.5,4.3,是,3.7,08-17,2026-08-17,明日開盤,103.27,
AI 伺服器/邊緣運算,6277,宏正,電腦及週邊設備業,87.5,4.2,,2.0,08-13,2026-08-13,84.8,72.08,
AI 伺服器/邊緣運算,6206,飛捷,電腦及週邊設備業,147.0,2.8,,2.4,08-04 08-05 08-10,2026-08-04,142.5,121.12,
AI 伺服器/邊緣運算,3022,威強電,電腦及週邊設備業,96.5,2.4,,2.6,08-05 08-10,2026-08-05,98.1,84.75,
AI 伺服器/邊緣運算,6933,AMAX-KY,電腦及週邊設備業,192.0,1.9,,2.7,08-11,2026-08-11,189.5,161.07,
AI 伺服器/邊緣運算,7711,永擎,電腦及週邊設備業,475.0,0.6,,3.7,08-10 08-12 08-13,2026-08-10,445.5,378.68,
AI 伺服器/邊緣運算,8050,廣積,電腦及週邊設備業,57.3,-1.2,,4.0,08-07,2026-08-07,67.3,57.21,
AI 伺服器/邊緣運算,2362,藍天,電腦及週邊設備業,48.5,-2.8,,12.7,08-06,2026-08-06,50.7,43.1,
AI 伺服器/邊緣運算,4938,和碩,電腦及週邊設備業,90.3,-4.7,,5.2,08-13,2026-08-13,95.3,81.01,
AI 伺服器/邊緣運算,2465,麗臺,電腦及週邊設備業,90.6,-5.5,,5.4,08-10 08-12 08-13,2026-08-10,94.6,80.41,
AI 伺服器/邊緣運算,2357,華碩,電腦及週邊設備業,938.0,-5.8,,3.6,08-14,2026-08-14,985.0,837.25,
AI 伺服器/邊緣運算,2377,微星,電腦及週邊設備業,149.5,-6.0,,3.1,08-12,2026-08-12,171.0,145.35,
AI 伺服器/邊緣運算,2376,技嘉,電腦及週邊設備業,358.0,-9.9,,2.3,08-13,2026-08-13,390.0,331.5,
基礎化學/塑化,1709,和益,化學工業,32.75,7.9,是,2.3,08-13 08-17,2026-08-13,29.9,25.41,
基礎化學/塑化,2103,台橡,橡膠工業,27.5,2.4,,5.0,08-10 08-11,2026-08-10,27.8,23.63,
光電/顯示技術,6419,京晨科,光電業,180.0,7.1,是,4.6,08-13 08-17,2026-08-13,169.0,143.65,
光電/顯示技術,3356,奇偶,光電業,65.1,-0.6,,7.4,08-13 08-14,2026-08-13,64.9,55.17,
基礎建材/鋼鐵,2031,新光鋼,鋼鐵工業,44.15,1.4,,11.9,08-07,2026-08-07,45.7,38.85,
基礎建材/鋼鐵,2542,興富發,建材營造,46.8,1.3,,2.0,08-13,2026-08-13,46.2,39.27,
基礎建材/鋼鐵,2006,東和鋼鐵,鋼鐵工業,80.0,-1.1,,3.2,08-06,2026-08-03,78.8,66.98,
半導體製程設備/零件,3653,健策,電子零組件業,5340.0,10.0,,2.2,08-05,2026-08-05,4295.0,4005.0,
半導體製程設備/零件,6187,萬潤,半導體業,1385.0,8.6,,2.0,08-13,2026-08-13,1275.0,1083.75,
自行車,9914,美利達,運動休閒,81.5,-2.2,,2.6,08-11,2026-08-11,94.6,80.41,
自行車,9921,巨大,運動休閒,97.4,-3.6,,2.7,08-10 08-11,2026-08-10,99.9,84.92,
潤泰集團,2915,潤泰全,貿易百貨,60.6,1.8,,5.7,08-14,2026-08-14,59.5,50.57,
潤泰集團,9945,潤泰新,其他,30.2,1.3,,6.0,08-14,2026-08-14,30.1,25.59,
AI 散熱,3017,奇鋐,電腦及週邊設備業,3150.0,-2.6,,2.2,08-06 08-13,2026-08-06,2935.0,2494.75,
半導體設計/IP,6533,晶心科,半導體業,243.5,-1.2,,3.1,08-07,2026-08-07,254.0,215.9,
其他,3234,光環,通信網路業,150.0,9.9,是,2.9,08-17,2026-08-17,明日開盤,127.5,
其他,6603,富強鑫,電機機械,29.95,7.0,是,2.3,08-13 08-17,2026-08-13,29.5,25.07,
其他,3617,碩天,其他電子業,260.0,4.0,是,3.6,08-14 08-17,2026-08-14,250.0,212.5,
其他,2359,所羅門,其他電子業,175.0,9.7,,2.2,08-10,2026-08-10,150.0,131.25,
其他,2027,大成鋼,鋼鐵工業,50.0,5.0,,3.0,08-06 08-13,2026-08-06,45.95,39.06,
其他,6538,倉和,電子零組件業,190.5,3.5,,2.5,08-05 08-14,2026-08-05,152.5,142.88,
其他,8436,大江,生技醫療業,123.0,2.5,,4.0,08-10,2026-08-10,122.5,104.12,
其他,2392,正崴,電子零組件業,43.3,0.6,,8.6,08-14,2026-08-14,43.25,36.76,
其他,3605,宏致,電子零組件業,131.5,0.0,,2.5,08-05 08-06,2026-08-05,101.05,99.0,
其他,9939,宏全,其他,131.5,-0.4,,3.2,08-06,2026-08-06,142.5,121.12,
其他,2301,光寶科,電腦及週邊設備業,263.5,-1.3,,3.5,08-04,2026-08-04,260.0,221.0,
其他,4566,時碩工業,電機機械,74.6,-1.3,,3.5,08-07,2026-08-07,79.9,67.92,
其他,3704,合勤控,通信網路業,43.3,-1.3,,2.4,08-10,2026-08-10,47.2,40.12,
其他,1608,華榮,電器電纜,36.35,-1.8,,3.9,08-12,2026-08-12,37.95,32.26,
其他,8112,至上,電子通路業,93.5,-2.4,,4.6,08-11,2026-08-11,100.0,85.0,
其他,5904,寶雅*,居家生活,76.5,-3.2,,4.9,08-11,2026-07-29,72.0,65.32,
其他,1736,喬山,運動休閒,131.5,-3.3,,3.8,08-06,2026-08-06,140.5,119.42,
其他,2425,承啟,電腦及週邊設備業,38.05,-7.4,,2.5,08-04 08-07,2026-08-04,51.0,43.35,出場
