族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
基礎化學與塑橡膠,4764,雙鍵,化學工業,364.5,10.0,是,3.0,07-15,2026-07-15,明日開盤,309.82,
基礎化學與塑橡膠,1303,南亞,塑膠工業,227.5,8.3,是,2.2,07-14 07-15,2026-07-14,217.0,184.45,
基礎化學與塑橡膠,1718,中纖,化學工業,14.9,7.2,,2.6,07-03,2026-06-25,10.35,11.4,
基礎化學與塑橡膠,1301,台塑,塑膠工業,65.7,3.3,,2.1,07-02 07-03 07-14,2026-06-25,56.96,49.27,
基礎化學與塑橡膠,4763,材料*-KY,化學工業,46.95,2.6,,2.3,07-03,2026-07-03,51.4,43.69,
基礎化學與塑橡膠,2103,台橡,橡膠工業,25.6,2.4,,2.4,07-03 07-14,2026-07-03,25.5,21.68,
基礎化學與塑橡膠,1717,長興,化學工業,71.5,2.1,,6.8,07-06,2026-07-06,86.8,73.78,出場
基礎化學與塑橡膠,1312,國喬,塑膠工業,13.15,0.4,,4.3,07-03,2026-07-03,15.0,12.75,
基礎化學與塑橡膠,1708,東鹼,化學工業,56.7,0.2,,2.2,07-03,2026-07-03,64.2,54.57,
精密機械與工業設備,4513,福裕,電機機械,22.35,9.8,是,6.3,07-07 07-13 07-14 07-15,2026-07-07,18.0,16.76,
精密機械與工業設備,3685,元創精密,電機機械,40.0,8.5,是,6.0,07-14 07-15,2026-07-14,37.6,31.96,
精密機械與工業設備,8222,寶一,電機機械,41.95,1.6,,5.7,07-03,2026-06-30,41.6,35.36,
半導體材料與化學品,3402,漢科,其他電子業,158.0,8.6,是,2.4,07-15,2026-07-15,明日開盤,134.3,
半導體材料與化學品,8131,福懋科,半導體業,81.2,9.9,,3.2,07-06,2026-07-06,85.94,73.05,
半導體材料與化學品,6525,捷敏-KY,半導體業,188.5,3.9,,2.7,07-03,2026-06-15,130.5,165.75,
半導體材料與化學品,3042,晶技,電子零組件業,189.5,2.4,,2.5,07-03,2026-07-03,250.0,212.5,出場
半導體材料與化學品,6138,茂達,半導體業,333.5,0.2,,2.8,07-02,2026-07-02,428.0,363.8,出場
矽晶圓/化合物半導體,5483,中美晶,半導體業,278.0,9.9,是,2.3,07-14 07-15,2026-06-17,187.0,208.5,
矽晶圓/化合物半導體,3532,台勝科,半導體業,523.0,2.5,,4.9,07-14,2026-07-14,535.0,454.75,
矽晶圓/化合物半導體,6488,環球晶,半導體業,1480.0,-2.3,,5.1,07-06,2026-07-06,1320.0,1136.25,
矽晶圓/化合物半導體,6182,合晶,半導體業,179.5,-3.8,,2.2,07-03 07-09,2026-06-17,119.5,142.12,
電網與電力設備,4534,慶騰,電機機械,38.5,10.0,是,3.7,07-15,2026-07-15,明日開盤,32.73,
電網與電力設備,1609,大亞,電器電纜,39.25,1.6,,3.3,07-06,2026-07-06,43.9,37.32,
電網與電力設備,2061,風青,電器電纜,68.0,0.6,,2.9,07-08,2026-07-08,83.7,71.14,出場
電網與電力設備,4564,元翎,電機機械,21.2,-1.9,,5.2,07-13,2026-07-13,21.7,18.45,
生技醫療與精準醫療,6949,沛爾生醫-創,生技醫療業,1025.0,9.6,是,3.2,07-15,2026-07-15,明日開盤,871.25,
生技醫療與精準醫療,7799,禾榮科,生技醫療業,418.5,5.7,,5.0,07-07,2026-06-23,430.0,365.5,
生技醫療與精準醫療,6491,晶碩,生技醫療業,365.0,2.1,,8.7,07-03,2026-06-30,348.5,296.22,
