族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
航運物流,2615,萬海,航運業,113.5,6.6,是,4.4,08-14 08-17 08-18 08-20,2026-08-14,91.3,85.12,
航運物流,2603,長榮,航運業,246.0,2.3,,4.3,08-17,2026-08-17,232.0,197.2,
航運物流,2609,陽明,航運業,60.3,2.2,,4.8,08-17 08-19,2026-08-17,55.1,46.83,
航運物流,2617,台航,航運業,30.95,0.2,,5.9,08-19,2026-08-19,30.95,26.31,
航運物流,2605,新興,航運業,36.4,-1.0,,10.1,08-18 08-19,2026-08-18,35.9,30.52,
航運物流,2612,中航,航運業,58.7,-1.3,,5.4,08-19,2026-08-19,58.7,49.9,
航運物流,5608,四維航,航運業,17.05,-2.6,,18.2,08-18 08-19,2026-08-18,16.2,13.77,
CDMO/生技醫療,6472,保瑞,生技醫療業,445.5,10.0,是,4.4,08-20,2026-08-20,明日開盤,378.68,
CDMO/生技醫療,5292,華懋,綠能環保,214.0,1.9,,5.4,08-19,2026-08-19,211.0,179.35,
CDMO/生技醫療,8436,大江,生技醫療業,125.0,0.8,,4.0,08-10,2026-08-10,122.5,104.12,
電子零組件/連接器,6108,競國,電子零組件業,26.0,5.1,是,5.5,08-13 08-17 08-19 08-20,2026-08-13,21.7,19.5,
電子零組件/連接器,2392,正崴,電子零組件業,40.6,-1.1,,8.6,08-14,2026-08-14,43.25,36.76,
AI PC/伺服器品牌,4938,和碩,電腦及週邊設備業,89.7,0.3,,5.2,08-13,2026-08-13,95.3,81.01,
AI PC/伺服器品牌,2465,麗臺,電腦及週邊設備業,86.0,0.1,,5.4,08-10 08-12 08-13,2026-08-10,94.6,80.41,
AI PC/伺服器品牌,3005,神基,電腦及週邊設備業,117.5,0.0,,3.6,08-17,2026-08-17,122.0,103.7,
AI PC/伺服器品牌,2357,華碩,電腦及週邊設備業,913.0,-1.3,,3.6,08-14,2026-08-14,985.0,837.25,
AI PC/伺服器品牌,2376,技嘉,電腦及週邊設備業,344.0,-1.3,,2.3,08-13,2026-08-13,390.0,331.5,
AI PC/伺服器品牌,2377,微星,電腦及週邊設備業,140.0,-1.6,,3.1,08-12,2026-08-12,166.1,141.18,出場
半導體封裝與載板,3037,欣興,電子零組件業,1140.0,0.9,,2.3,08-17,2026-08-17,1130.0,960.5,
半導體封裝與載板,3189,景碩,半導體業,851.0,0.2,,2.9,08-17,2026-08-17,917.0,779.45,
半導體矽晶圓/材料,3617,碩天,其他電子業,254.0,-1.2,,3.6,08-14 08-17,2026-08-14,250.0,212.5,
半導體矽晶圓/材料,6187,萬潤,半導體業,1265.0,-3.1,,2.0,08-13,2026-08-13,1275.0,1083.75,
自行車出口,9921,巨大,運動休閒,106.0,1.9,,2.7,08-10 08-11,2026-08-10,99.9,84.92,
自行車出口,9914,美利達,運動休閒,87.8,-0.9,,2.6,08-11,2026-08-11,94.6,80.41,
化學工業,2103,台橡,橡膠工業,27.85,2.2,,5.0,08-10 08-11,2026-08-10,27.8,23.63,
化學工業,1709,和益,化學工業,30.3,-6.9,,2.3,08-13 08-17,2026-08-13,29.9,25.41,
AI 散熱方案,3017,奇鋐,電腦及週邊設備業,2985.0,-3.6,,2.2,08-13,2026-08-06,2917.69,2480.04,
IP/矽智財,6533,晶心科,半導體業,245.5,-1.2,,3.1,08-07,2026-08-07,254.0,215.9,
其他,2851,中再保,金融保險業,44.2,10.0,是,2.4,08-20,2026-08-20,明日開盤,37.57,
其他,1402,遠東新,紡織纖維,29.2,4.3,是,2.2,08-20,2026-08-20,明日開盤,24.82,
其他,3490,單井,光電業,49.15,5.0,,3.4,08-18 08-19,2026-08-18,43.7,37.15,
其他,8112,至上,電子通路業,93.7,3.0,,4.6,08-11,2026-08-11,100.0,85.0,
其他,3234,光環,通信網路業,151.0,2.4,,2.8,08-17,2026-08-17,149.0,126.65,
其他,6538,倉和,電子零組件業,194.0,1.3,,2.5,08-14,2026-08-05,152.5,145.5,
其他,2027,大成鋼,鋼鐵工業,50.5,1.0,,3.0,08-13,2026-08-06,45.95,39.06,
其他,3022,威強電,電腦及週邊設備業,92.5,0.7,,2.6,08-10,2026-08-05,94.54,81.68,
其他,2542,興富發,建材營造,48.3,0.3,,2.0,08-13,2026-08-13,46.2,39.27,
其他,9945,潤泰新,其他,29.85,0.2,,6.0,08-14,2026-08-14,30.1,25.59,
其他,2915,潤泰全,貿易百貨,61.6,-0.3,,5.7,08-14,2026-08-14,59.5,50.57,
其他,3543,州巧,光電業,43.25,-0.7,,3.1,08-17,2026-08-17,42.05,35.74,
其他,2059,川湖,電子零組件業,13925.0,-1.2,,2.8,08-18,2026-08-18,13895.0,11810.75,
其他,6206,飛捷,電腦及週邊設備業,142.5,-1.4,,2.4,08-10,2026-08-04,142.5,121.12,
其他,2359,所羅門,其他電子業,158.0,-1.9,,2.2,08-10,2026-08-10,150.0,133.12,
其他,4566,時碩工業,電機機械,68.3,-2.4,,3.5,08-07,2026-08-07,79.9,67.92,
其他,5904,寶雅*,居家生活,75.9,-2.7,,4.9,08-11,2026-07-29,72.0,65.32,
其他,3498,陽程,其他電子業,183.5,-3.7,,3.0,08-18,2026-08-18,170.0,144.5,
其他,7711,永擎,電腦及週邊設備業,454.0,-7.3,,3.7,08-10 08-12 08-13,2026-08-10,445.5,378.68,
