族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
半導體設備與材料,2413,環科,電子零組件業,53.0,10.0,是,2.1,09-16,2026-09-16,明日開盤,45.05,
半導體設備與材料,8227,巨有科技,半導體業,272.0,9.0,,4.1,09-10 09-11,2026-09-10,235.0,204.0,
半導體設備與材料,3094,聯傑,半導體業,44.55,5.4,,5.8,09-04,2026-09-04,49.0,41.65,
半導體設備與材料,3680,家登,半導體業,511.0,4.6,,5.7,09-09,2026-09-09,567.0,481.95,
半導體設備與材料,6224,聚鼎,電子零組件業,88.3,2.7,,3.2,09-07,2026-09-07,89.0,75.65,
半導體設備與材料,2351,順德,半導體業,236.0,-6.2,,2.1,09-14,2026-09-14,252.5,214.62,
AI 伺服器/網路設備,6218,豪勉,通信網路業,54.1,9.8,是,6.8,09-07 09-08 09-16,2026-08-25,40.25,40.57,
AI 伺服器/網路設備,6588,東典光電,通信網路業,110.0,10.0,,2.3,09-07,2026-09-07,118.5,100.72,
AI 伺服器/網路設備,8431,匯鑽科,其他電子業,65.0,8.2,,12.9,09-03 09-04,2026-09-02,59.1,51.6,
AI 伺服器/網路設備,6245,立端,通信網路業,83.4,-0.4,,5.8,09-14,2026-09-14,87.2,74.12,
AI 伺服器/網路設備,6148,驊宏資,資訊服務業,36.65,-2.3,,20.4,09-14 09-15,2026-09-14,37.5,31.88,
雲端服務與資安,6112,邁達特,資訊服務業,49.7,3.2,,30.4,09-14,2026-09-14,51.6,43.86,
雲端服務與資安,7765,中華資安,數位雲端,240.0,2.1,,12.3,09-14,2026-09-14,255.0,216.75,
雲端服務與資安,6690,安碁資訊,數位雲端,181.0,-1.4,,11.3,09-11 09-14,2026-09-11,181.0,153.85,
雲端服務與資安,6689,伊雲谷,數位雲端,67.0,-3.3,,27.0,09-14,2026-09-14,71.0,60.35,
雲端服務與資安,6870,騰雲,數位雲端,316.0,-4.0,,4.4,09-07 09-11 09-15,2026-09-07,305.0,259.25,
金融,2801,彰銀,金融保險業,28.9,3.2,,2.6,09-03,2026-09-03,26.6,22.61,
金融,2884,玉山金,金融保險業,46.45,1.8,,2.5,09-03,2026-09-03,43.25,36.76,
金融,2845,遠東銀,金融保險業,13.6,0.0,,3.2,09-03,2026-09-03,13.7,11.64,
金融,5876,上海商銀,金融保險業,49.75,-0.1,,2.4,09-08,2026-09-08,48.25,41.01,
光通訊與網路設備,6426,統新,通信網路業,330.0,10.0,,2.3,09-08 09-09,2026-08-26,269.5,247.5,
光通訊與網路設備,6226,光鼎,光電業,39.9,9.9,,3.6,09-15,2026-09-15,39.85,33.87,
光通訊與網路設備,3441,聯一光,光電業,186.0,9.7,,2.0,09-15,2026-09-15,170.0,144.5,
光通訊與網路設備,6416,瑞祺電通,通信網路業,118.0,0.0,,3.6,09-08 09-10 09-11,2026-09-08,105.5,89.67,
IC 設計,4961,天鈺,半導體業,181.0,1.4,,2.1,09-08 09-14,2026-09-08,178.0,151.3,
IC 設計,6640,均華,半導體業,1115.0,1.4,,2.6,09-04,2026-09-02,1230.0,1045.5,
其他,2221,大甲,其他,105.5,9.8,是,2.3,09-03 09-10 09-16,2026-08-24,64.0,79.12,
其他,2305,全友,電腦及週邊設備業,49.4,9.9,,3.3,09-14,2026-09-14,45.6,38.76,
其他,6620,漢達,生技醫療業,134.0,9.8,,3.6,09-07 09-08,2026-09-07,121.5,103.27,
其他,6179,亞通,其他,37.7,8.2,,9.0,09-08 09-09 09-10,2026-08-28,30.4,28.65,
其他,3167,大量,電機機械,824.0,4.0,,4.0,09-08,2026-09-08,939.0,798.15,
其他,00715L,期街口布蘭特正2,,71.6,1.6,,2.5,09-11,2026-09-11,71.35,60.65,
其他,3229,晟鈦,電子零組件業,61.1,1.3,,2.9,09-11,2026-09-11,68.6,58.31,
其他,4576,大銀微系統,電機機械,233.0,1.1,,2.1,09-07,2026-09-02,250.0,212.5,
其他,2468,華經,資訊服務業,43.65,0.9,,14.7,09-14 09-15,2026-09-14,40.95,34.81,
其他,1560,中砂,電機機械,741.0,0.8,,3.6,09-11,2026-09-11,775.0,658.75,
其他,6227,茂綸,電子通路業,133.0,0.4,,2.8,09-11 09-15,2026-09-11,130.0,110.5,
其他,6739,竹陞科技,其他電子業,1050.0,-1.4,,2.1,09-10,2026-09-10,1320.0,1122.0,出場
其他,6811,宏碁資訊,數位雲端,246.0,-2.0,,10.0,09-14,2026-09-14,255.5,217.17,
其他,5314,世紀*,其他,30.8,-9.9,,4.7,09-09 09-10,2026-09-09,45.35,38.55,出場
