族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
航運籌航運,2606,裕民,航運業,78.0,7.9,是,10.4,08-25,2026-08-25,明日開盤,66.3,
航運籌航運,2612,中航,航運業,63.8,5.8,是,10.4,08-19 08-25,2026-08-19,58.7,49.9,
航運籌航運,2613,中櫃,航運業,24.5,2.5,,8.6,08-19 08-21,2026-08-19,23.4,19.89,
航運籌航運,2615,萬海,航運業,126.5,1.6,,4.2,08-14 08-17 08-18 08-20 08-21,2026-08-14,91.3,94.88,
航運籌航運,5608,四維航,航運業,18.1,0.6,,9.9,08-18 08-19 08-21,2026-08-18,16.2,14.06,
航運籌航運,2605,新興,航運業,36.7,0.3,,3.5,08-18 08-19 08-21,2026-08-18,35.9,30.52,
航運籌航運,2609,陽明,航運業,63.6,-1.4,,5.6,08-17 08-19 08-21,2026-08-17,55.1,48.38,
航運籌航運,2637,慧洋-KY,航運業,95.5,-1.6,,5.6,08-21,2026-08-21,103.0,87.55,
航運籌航運,2603,長榮,航運業,246.0,-1.8,,4.3,08-17,2026-08-17,232.0,197.2,
生技醫療,6949,沛爾生醫-創,生技醫療業,1355.0,9.7,是,4.2,08-24 08-25,2026-08-24,1250.0,1062.5,
生技醫療,6472,保瑞,生技醫療業,470.0,3.8,是,3.4,08-20 08-25,2026-08-20,438.5,372.72,
光電/顯示面板,3234,光環,通信網路業,182.5,9.9,是,2.8,08-17 08-24 08-25,2026-08-17,149.0,136.88,
光電/顯示面板,3490,單井,光電業,54.6,9.9,,3.4,08-18 08-19,2026-08-18,43.7,40.95,
光電/顯示面板,3498,陽程,其他電子業,200.0,8.1,,3.0,08-18,2026-08-18,170.0,150.0,
光電/顯示面板,1815,富喬,電子零組件業,109.0,1.4,,4.4,08-21,2026-08-21,113.0,96.05,
光電/顯示面板,3441,聯一光,光電業,114.0,1.3,,2.5,08-21,2026-08-21,113.5,96.47,
光電/顯示面板,2059,川湖,電子零組件業,14285.0,-0.9,,2.8,08-18,2026-08-18,13895.0,11810.75,
光電/顯示面板,3543,州巧,光電業,41.0,-1.0,,3.1,08-17,2026-08-17,42.05,35.74,
金融保險,2881,富邦金,金融保險業,141.5,7.2,是,2.4,08-21 08-25,2026-08-21,135.0,114.75,
金融保險,2851,中再保,金融保險業,43.75,2.1,,10.8,08-20 08-21,2026-08-20,48.5,41.23,
AI PC/筆電,2376,技嘉,電腦及週邊設備業,347.5,1.9,,2.3,08-13,2026-08-13,390.0,331.5,
AI PC/筆電,2357,華碩,電腦及週邊設備業,925.0,0.2,,3.6,08-14,2026-08-14,985.0,837.25,
AI PC/筆電,2377,微星,電腦及週邊設備業,144.0,0.0,,3.1,08-12,2026-08-12,166.1,141.18,
AI PC/筆電,4938,和碩,電腦及週邊設備業,88.8,-0.6,,5.2,08-13,2026-08-13,95.3,81.01,
AI PC/筆電,2465,麗臺,電腦及週邊設備業,89.4,-2.5,,5.4,08-12 08-13,2026-08-10,94.6,80.41,
半導體封裝/載板,6187,萬潤,半導體業,1270.0,5.4,,2.0,08-13,2026-08-13,1275.0,1083.75,
半導體封裝/載板,3189,景碩,半導體業,835.0,5.2,,2.9,08-17,2026-08-17,917.0,779.45,
半導體封裝/載板,3037,欣興,電子零組件業,1095.0,1.9,,2.3,08-17,2026-08-17,1130.0,960.5,
電子連接器,6538,倉和,電子零組件業,205.5,6.5,,2.5,08-14,2026-08-05,152.5,154.12,
電子連接器,2392,正崴,電子零組件業,45.1,1.9,,8.6,08-14,2026-08-14,43.25,36.76,
電子連接器,3229,晟鈦,電子零組件業,57.4,-3.9,,2.5,08-12 08-20 08-21,2026-08-12,55.9,47.52,
潤泰集團,9945,潤泰新,其他,28.75,-0.9,,6.0,08-14,2026-08-14,30.1,25.59,
潤泰集團,2915,潤泰全,貿易百貨,59.0,-1.2,,5.7,08-14,2026-08-14,59.5,50.57,
AI 散熱,3017,奇鋐,電腦及週邊設備業,2950.0,3.3,,2.2,08-13,2026-08-06,2917.69,2480.04,
其他,00708L,期元大S&P黃金正2,,90.8,4.7,是,2.1,08-25,2026-08-25,明日開盤,77.18,
其他,6716,應廣,半導體業,127.5,4.1,,5.2,08-13 08-14,2026-08-13,117.5,103.12,
其他,7711,永擎,電腦及週邊設備業,515.0,3.5,,2.2,08-12 08-13 08-24,2026-08-10,445.5,386.25,
其他,1808,潤隆,建材營造,36.35,1.8,,4.8,08-21,2026-08-21,37.05,31.49,
其他,5292,華懋,綠能環保,214.0,1.7,,5.4,08-19,2026-08-19,211.0,179.35,
其他,6547,高端疫苗,生技醫療業,56.3,1.4,,2.0,08-21,2026-08-21,55.5,47.17,
其他,2723,美食-KY,觀光餐旅,77.7,0.3,,4.7,08-21 08-24,2026-08-21,73.0,62.05,
其他,4303,信立,塑膠工業,53.2,0.0,,4.7,08-24,2026-08-24,52.9,44.97,
其他,1608,華榮,電器電纜,36.6,-0.3,,3.9,08-12,2026-08-12,37.95,32.26,
其他,2027,大成鋼,鋼鐵工業,50.6,-0.8,,3.0,08-13,2026-08-06,45.95,39.06,
其他,3005,神基,電腦及週邊設備業,115.0,-0.9,,3.6,08-17,2026-08-17,122.0,103.7,
其他,1402,遠東新,紡織纖維,29.0,-1.5,,2.2,08-20 08-21,2026-08-20,29.25,24.86,
其他,2542,興富發,建材營造,47.5,-1.7,,2.0,08-13,2026-08-13,46.2,39.27,
其他,1709,和益,化學工業,33.75,-2.6,,2.9,08-13 08-17 08-21 08-24,2026-08-13,29.9,25.99,
其他,3617,碩天,其他電子業,247.5,-3.9,,3.6,08-14 08-17,2026-08-14,250.0,212.5,
