代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,6月YoY%,6月MoM%,7月YoY%,7月MoM%
5351,鈺創,上櫃,半導體業,118.5,18.5,75.3,141.0,24.5,657.47,14.39,590.83,11.69
7795,長廣,上市,電子零組件業,536.0,8.8,51.7,610.0,19.8,62.55,29.27,61.0,4.55
2049,上銀,上市,電機機械,364.5,7.3,35.6,404.5,17.8,31.62,2.97,33.93,4.99
2408,南亞科,上市,半導體業,517.0,13.6,91.1,569.0,17.4,621.33,6.21,719.61,49.26
8358,金居,上櫃,電子零組件業,515.0,9.2,50.7,564.0,16.8,43.36,2.16,54.86,4.81
6805,富世達,上市,電子零組件業,2265.0,34.3,42.1,2435.0,16.6,32.66,2.19,17.06,12.74
4939,亞電,上櫃,電子零組件業,93.6,43.4,121.7,95.2,15.8,44.18,6.72,36.75,11.25
3006,晶豪科,上市,半導體業,297.0,25.0,81.8,309.5,14.9,328.35,8.48,491.06,40.02
1326,台化,上市,塑膠工業,71.9,17.0,62.9,78.2,13.8,11.59,1.02,34.17,13.01
6187,萬潤,上櫃,半導體業,1370.0,22.5,85.4,1455.0,12.0,87.06,38.9,73.44,4.17
3034,聯詠,上市,半導體業,540.0,4.8,28.0,567.0,8.5,18.95,6.48,26.79,2.73
