族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
邊緣運算/工業電腦,6166,凌華,電腦及週邊設備業,139.0,1.5,,9.3,07-23 07-24,2026-07-23,160.5,136.42,
邊緣運算/工業電腦,3088,艾訊,電腦及週邊設備業,133.5,0.8,,4.8,07-23,2026-07-23,149.0,126.65,
邊緣運算/工業電腦,6414,樺漢,電腦及週邊設備業,436.5,0.1,,2.9,07-21 07-22,2026-07-07,404.0,377.25,
邊緣運算/工業電腦,6579,研揚,電腦及週邊設備業,158.0,-2.8,,3.1,07-23,2026-07-23,181.5,154.28,
半導體元件/材料,6243,迅杰,半導體業,51.2,3.2,,2.9,07-16 07-17 07-24,2026-07-16,48.0,40.8,
半導體元件/材料,3413,京鼎,半導體業,289.0,-6.2,,3.0,07-16,2026-07-07,348.5,296.22,出場
半導體元件/材料,3374,精材,半導體業,279.5,-10.0,,2.0,07-22,2026-07-22,411.0,349.35,出場
半導體元件/材料,8150,南茂,半導體業,72.9,-10.0,,3.0,07-16,2026-07-16,116.0,98.6,出場
台塑集團,6505,台塑化,油電燃氣業,74.8,0.3,,2.3,07-16 07-23,2026-07-02,57.9,69.9,
台塑集團,1301,台塑,塑膠工業,56.2,-2.3,,2.1,07-23,2026-06-25,56.96,49.65,
航運/物流,2615,萬海,航運業,85.0,1.7,,3.2,07-21,2026-07-21,85.2,72.42,
航運/物流,2634,漢翔,航運業,60.7,-0.3,,2.2,07-21,2026-06-29,51.5,53.62,
其他,1526,日馳,電機機械,18.9,9.9,是,3.1,07-17 07-29,2026-07-17,17.25,14.66,
其他,5904,寶雅,居家生活,720.0,6.0,是,2.6,07-29,2026-07-29,明日開盤,612.0,
其他,2207,和泰車,汽車工業,519.0,3.8,是,3.7,07-29,2026-07-29,明日開盤,441.15,
其他,5490,同亨,電腦及週邊設備業,33.15,2.8,,3.4,07-22,2026-07-22,34.55,29.37,
其他,9914,美利達,運動休閒,79.2,2.6,,6.9,07-16,2026-07-16,82.2,69.87,
其他,2027,大成鋼,鋼鐵工業,43.25,2.5,,3.7,07-22,2026-07-22,44.7,38.0,
其他,1229,聯華,食品工業,40.9,0.0,,2.7,07-23,2026-07-23,42.35,36.0,
其他,2377,微星,電腦及週邊設備業,137.5,-1.1,,2.5,07-22,2026-07-22,157.5,133.88,
其他,6944,兆聯實業,綠能環保,687.0,-3.9,,2.3,07-23,2026-07-23,809.0,687.65,出場
其他,5434,崇越,電子通路業,491.5,-4.9,,2.2,07-16,2026-07-16,579.0,492.15,出場
其他,3577,泓格,電腦及週邊設備業,120.5,-5.9,,3.3,07-23,2026-07-23,157.0,133.45,出場
其他,8039,台虹,電子零組件業,175.5,-9.8,,2.7,07-23,2026-07-14,186.0,192.0,出場
其他,4939,亞電,電子零組件業,49.95,-10.0,,4.0,07-21,2026-07-21,76.9,65.37,出場
其他,6949,沛爾生醫-創,生技醫療業,802.0,-10.0,,2.9,07-16,2026-07-15,1020.0,867.0,出場
