代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,4月YoY%,4月MoM%,5月YoY%,5月MoM%
3167,大量,上市,電機機械,877.0,12.9,142.7,1015.0,24.6,114.23,11.53,120.27,10.76
3707,漢磊,上櫃,半導體業,91.0,22.5,58.1,100.5,22.7,31.0,7.69,27.97,0.99
6548,長科*,上櫃,半導體業,91.6,36.9,95.5,104.0,22.4,24.51,4.27,36.65,3.28
3016,嘉晶,上市,半導體業,135.5,27.6,109.8,152.39,21.9,32.84,12.49,37.28,1.66
6274,台燿,上櫃,電子零組件業,1790.0,30.0,177.8,1920.0,21.6,97.96,21.9,128.48,3.99
3450,聯鈞,上市,半導體業,530.0,20.6,81.1,612.0,21.5,45.49,20.62,49.91,9.39
1609,大亞,上市,電器電纜,39.8,12.9,6.1,43.84,20.9,16.23,1.16,21.98,0.33
6239,力成,上市,半導體業,338.0,21.0,69.9,377.5,19.6,32.49,2.76,30.23,4.51
3044,健鼎,上市,電子零組件業,520.0,7.4,43.6,598.0,16.7,28.89,12.07,46.56,5.52
6175,立敦,上櫃,電子零組件業,115.0,35.9,110.9,123.0,15.0,15.85,8.98,25.02,3.14
2303,聯電,上市,半導體業,170.5,48.6,158.5,185.5,14.8,10.8,8.8,17.78,1.23
8926,台汽電,上市,油電燃氣業,75.0,26.4,57.9,81.89,12.6,532.8,28.77,768.16,7.26
6197,佳必琪,上市,電子零組件業,372.5,42.7,108.3,376.85,10.5,5.25,12.35,41.77,0.1
9939,宏全,上市,其他,122.0,5.1,1.4,129.39,10.3,13.55,8.84,10.8,3.36
2880,華南金,上市,金融保險業,37.65,9.1,19.2,39.2,7.9,59.58,13.55,72.52,0.54
2885,元大金,上市,金融保險業,67.2,15.8,57.7,69.7,7.3,324.89,38.9,928.42,23.22
