族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
航運運價上漲,5608,四維航,航運業,18.75,10.0,是,10.0,08-18 08-19 08-21,2026-08-18,16.2,14.06,
航運運價上漲,2615,萬海,航運業,124.5,9.7,是,4.2,08-14 08-17 08-18 08-20 08-21,2026-08-14,91.3,93.38,
航運運價上漲,2637,慧洋-KY,航運業,102.0,7.7,是,5.6,08-21,2026-08-21,明日開盤,86.7,
航運運價上漲,2609,陽明,航運業,64.0,6.1,是,5.6,08-17 08-19 08-21,2026-08-17,55.1,48.0,
航運運價上漲,2605,新興,航運業,37.8,3.8,是,3.5,08-18 08-19 08-21,2026-08-18,35.9,30.52,
航運運價上漲,2617,台航,航運業,31.8,2.7,,5.9,08-19,2026-08-19,30.95,26.31,
航運運價上漲,2603,長榮,航運業,251.5,2.2,,4.3,08-17,2026-08-17,232.0,197.2,
半導體封裝與載板,1815,富喬,電子零組件業,112.0,4.7,是,4.4,08-21,2026-08-21,明日開盤,95.2,
半導體封裝與載板,3189,景碩,半導體業,811.0,-4.7,,2.9,08-17,2026-08-17,917.0,779.45,
半導體封裝與載板,3037,欣興,電子零組件業,1085.0,-4.8,,2.3,08-17,2026-08-17,1130.0,960.5,
生技醫療,6547,高端疫苗,生技醫療業,55.7,5.3,是,2.0,08-21,2026-08-21,明日開盤,47.35,
生技醫療,8436,大江,生技醫療業,125.5,0.4,,4.0,08-10,2026-08-10,122.5,104.12,
AI 伺服器與品牌,2377,微星,電腦及週邊設備業,141.5,1.1,,3.1,08-12,2026-08-12,166.1,141.18,
AI 伺服器與品牌,2357,華碩,電腦及週邊設備業,921.0,0.9,,3.6,08-14,2026-08-14,985.0,837.25,
AI 伺服器與品牌,2465,麗臺,電腦及週邊設備業,85.9,-0.1,,5.4,08-10 08-12 08-13,2026-08-10,94.6,80.41,
AI 伺服器與品牌,3005,神基,電腦及週邊設備業,117.0,-0.4,,3.6,08-17,2026-08-17,122.0,103.7,
AI 伺服器與品牌,4938,和碩,電腦及週邊設備業,88.6,-1.2,,5.2,08-13,2026-08-13,95.3,81.01,
AI 伺服器與品牌,2376,技嘉,電腦及週邊設備業,339.5,-1.3,,2.3,08-13,2026-08-13,390.0,331.5,
AI 伺服器與品牌,3022,威強電,電腦及週邊設備業,90.2,-2.5,,2.6,08-10,2026-08-05,94.54,81.68,
AI 伺服器與品牌,6206,飛捷,電腦及週邊設備業,138.5,-2.8,,2.4,08-10,2026-08-04,142.5,121.12,
半導體材料/矽晶圓,2059,川湖,電子零組件業,13385.0,-3.9,,2.8,08-18,2026-08-18,13895.0,11810.75,
半導體材料/矽晶圓,6187,萬潤,半導體業,1195.0,-5.5,,2.0,08-13,2026-08-13,1275.0,1083.75,
自行車出口,9921,巨大,運動休閒,107.5,1.4,,2.7,08-10 08-11,2026-08-10,99.9,84.92,
自行車出口,9914,美利達,運動休閒,87.8,0.0,,2.6,08-11,2026-08-11,94.6,80.41,
潤泰集團,2915,潤泰全,貿易百貨,61.1,-0.8,,5.7,08-14,2026-08-14,59.5,50.57,
潤泰集團,9945,潤泰新,其他,29.4,-1.5,,6.0,08-14,2026-08-14,30.1,25.59,
光電/面板元件,3490,單井,光電業,53.9,9.7,,3.4,08-18 08-19,2026-08-18,43.7,40.43,
光電/面板元件,3543,州巧,光電業,44.0,1.7,,3.1,08-17,2026-08-17,42.05,35.74,
AI 散熱方案,3017,奇鋐,電腦及週邊設備業,2865.0,-4.0,,2.2,08-13,2026-08-06,2917.69,2480.04,
其他,3441,聯一光,光電業,107.0,10.0,是,2.5,08-21,2026-08-21,明日開盤,90.95,
其他,1709,和益,化學工業,33.3,9.9,是,2.3,08-13 08-17 08-21,2026-08-13,29.9,25.41,
其他,3229,晟鈦,電子零組件業,61.8,8.6,是,2.5,08-12 08-20 08-21,2026-08-12,55.9,47.52,
其他,2851,中再保,金融保險業,47.1,6.6,是,10.8,08-20 08-21,2026-08-20,48.5,41.23,
其他,2881,富邦金,金融保險業,134.0,4.7,是,2.1,08-21,2026-08-21,明日開盤,113.9,
其他,1402,遠東新,紡織纖維,30.35,3.9,是,2.2,08-20 08-21,2026-08-20,29.25,24.86,
