族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
生技醫療,6712,長聖,生技醫療業,177.5,9.9,是,5.7,06-24 06-29 07-07,2026-06-24,152.5,133.12,
生技醫療,6617,共信-KY,生技醫療業,111.5,9.9,是,8.1,07-02 07-07,2026-07-02,92.6,83.62,
生技醫療,7799,禾榮科,生技醫療業,466.0,8.4,是,5.2,07-07,2026-06-23,430.0,365.5,
生技醫療,6841,長佳智能,生技醫療業,67.7,2.0,,2.5,07-06,2026-07-06,66.1,56.18,
生技醫療,4147,中裕,生技醫療業,72.6,0.6,,2.3,07-03,2026-07-03,70.0,59.5,
生技醫療,4743,合一,生技醫療業,56.7,-5.0,,6.3,07-03 07-06,2026-07-03,60.9,51.77,
塑化/化纖,1409,新纖,紡織纖維,31.7,4.8,是,5.9,07-03 07-07,2026-07-03,34.1,28.98,
塑化/化纖,2103,台橡,橡膠工業,24.65,1.9,,4.0,07-03,2026-07-03,25.5,21.68,
塑化/化纖,1718,中纖,化學工業,14.95,-1.6,,2.6,06-25 06-26 06-30 07-03,2026-06-25,10.35,11.4,
塑化/化纖,1312,國喬,塑膠工業,13.9,-1.8,,4.3,07-03,2026-07-03,15.0,12.75,
塑化/化纖,6505,台塑化,油電燃氣業,58.0,-2.5,,2.4,07-02,2026-07-02,57.9,49.22,
塑化/化纖,1708,東鹼,化學工業,60.0,-2.8,,2.2,07-03,2026-07-03,64.2,54.57,
塑化/化纖,1313,聯成,塑膠工業,13.05,-3.7,,4.9,07-03,2026-07-03,14.5,12.32,
塑化/化纖,1301,台塑,塑膠工業,57.3,-5.1,,3.5,06-25 07-02 07-03,2026-06-25,56.96,48.42,
塑化/化纖,1310,台苯,塑膠工業,11.1,-5.9,,4.4,07-03 07-06,2026-07-03,12.05,10.24,
塑化/化纖,1314,中石化,塑膠工業,9.77,-6.1,,7.4,07-02 07-03 07-06,2026-07-02,9.19,7.81,
塑化/化纖,1326,台化,塑膠工業,63.3,-6.4,,2.6,07-03,2026-07-03,72.8,61.88,
塑化/化纖,1717,長興,化學工業,77.1,-9.7,,6.8,07-06,2026-07-06,86.8,73.78,
工業自動化與邊緣運算,6414,樺漢,電腦及週邊設備業,400.0,4.2,是,2.4,07-07,2026-07-07,明日開盤,340.0,
工業自動化與邊緣運算,8222,寶一,電機機械,41.35,-5.6,,5.7,06-30 07-01 07-03,2026-06-30,41.6,35.36,
半導體材料與設備,6525,捷敏-KY,半導體業,221.0,10.0,,2.7,07-03,2026-06-15,130.5,165.75,
半導體材料與設備,2458,義隆,半導體業,188.0,5.0,,2.3,06-25 06-30,2026-06-18,177.0,150.45,
半導體材料與設備,5285,界霖,半導體業,103.0,-3.3,,2.4,06-24,2026-06-22,99.62,84.68,
半導體材料與設備,8054,安國,半導體業,102.5,-6.4,,7.6,06-24,2026-06-24,138.0,117.3,出場
半導體材料與設備,1710,東聯,化學工業,17.35,-7.0,,4.5,06-30,2026-06-30,18.0,15.3,
半導體材料與設備,3588,通嘉,半導體業,68.4,-7.7,,3.8,06-24,2026-06-23,68.0,57.8,
半導體材料與設備,3094,聯傑,半導體業,39.5,-7.9,,4.0,06-24,2026-06-17,38.75,33.94,
半導體材料與設備,6907,雅特力-KY,半導體業,172.0,-8.3,,2.3,07-06,2026-07-06,190.0,161.5,
半導體材料與設備,3141,晶宏,半導體業,75.1,-9.7,,5.3,07-03,2026-07-03,84.0,71.4,
化合物半導體/矽晶圓,8131,福懋科,半導體業,79.0,-3.9,,3.2,07-06,2026-07-06,87.1,74.03,
化合物半導體/矽晶圓,5483,中美晶,半導體業,198.5,-5.3,,2.7,07-01,2026-06-17,187.0,158.95,
化合物半導體/矽晶圓,5347,世界,半導體業,175.0,-5.4,,2.2,06-24 06-25,2026-06-24,197.33,167.73,
化合物半導體/矽晶圓,6182,合晶,半導體業,145.5,-6.7,,3.7,06-25 07-03,2026-06-17,119.5,122.25,
化合物半導體/矽晶圓,3374,精材,半導體業,295.0,-8.4,,2.4,06-24,2026-06-23,296.5,252.03,
化合物半導體/矽晶圓,6488,環球晶,半導體業,1205.0,-9.7,,5.1,07-06,2026-07-06,1320.0,1122.0,
被動元件/電容,2375,凱美,電子零組件業,197.0,-5.5,,2.1,07-01,2026-07-01,225.5,191.67,
被動元件/電容,5328,華容,電子零組件業,75.9,-5.8,,2.2,07-02,2026-07-02,80.1,68.08,
被動元件/電容,2472,立隆電,電子零組件業,369.0,-8.9,,3.2,06-30,2026-06-30,461.5,392.27,出場
被動元件/電容,2484,希華,電子零組件業,87.1,-9.1,,2.5,07-03,2026-07-03,98.1,83.38,
被動元件/電容,6173,信昌電,電子零組件業,284.0,-10.0,,3.5,07-03,2026-07-03,358.5,304.72,出場
軍工/航太造船,2634,漢翔,航運業,58.4,-3.2,,3.5,06-29 06-30 07-03,2026-06-29,52.2,45.22,
軍工/航太造船,6753,龍德造船,航運業,147.0,-3.9,,3.2,07-03,2026-07-03,160.0,136.0,
軍工/航太造船,2630,亞航,航運業,53.8,-4.4,,6.1,07-01 07-03,2026-07-01,50.8,43.18,
軍工/航太造船,8033,雷虎,其他,207.0,-6.8,,4.7,06-30 07-01,2026-06-30,177.0,166.5,
軍工/航太造船,2645,長榮航太,航運業,214.5,-9.9,,5.0,06-30 07-01 07-03 07-06,2026-06-30,188.0,178.5,
光通訊/CPO,6226,光鼎,光電業,23.6,2.2,,6.1,06-25 06-26 06-29,2026-06-25,17.0,19.99,
光通訊/CPO,6732,昇佳電子,半導體業,204.5,-2.2,,9.2,07-03 07-06,2026-07-03,202.0,171.7,
光通訊/CPO,2466,冠西電,光電業,92.6,-2.3,,3.2,07-01 07-02 07-03,2026-07-01,72.3,71.1,
光通訊/CPO,7402,邑錡,光電業,123.5,-9.2,,5.4,07-03,2026-07-03,141.0,119.85,
光通訊/CPO,6477,安集,光電業,35.2,-9.9,,4.3,07-03 07-06,2026-07-03,37.5,31.88,
半導體封裝測試/載板,6435,大中,半導體業,399.0,-5.0,,3.6,06-30 07-02,2026-06-23,358.5,315.0,
半導體封裝測試/載板,3264,欣銓,半導體業,231.5,-9.9,,2.3,07-06,2026-07-06,259.5,220.57,
半導體封裝測試/載板,3189,景碩,半導體業,687.0,-10.0,,2.6,06-25,2026-06-25,826.58,702.6,出場
半導體封裝測試/載板,6138,茂達,半導體業,396.0,-10.0,,2.8,07-02,2026-07-02,428.0,363.8,
功率元件/類比IC,3511,矽瑪,電子零組件業,28.15,0.4,,7.1,07-06,2026-07-06,29.3,24.9,
功率元件/類比IC,2363,矽統,半導體業,65.7,-3.8,,5.2,06-25,2026-06-25,74.0,62.9,
功率元件/類比IC,6271,同欣電,半導體業,247.0,-9.2,,4.1,06-25 07-01,2026-06-22,268.0,227.8,
功率元件/類比IC,6257,矽格,半導體業,242.0,-10.0,,2.0,07-06,2026-07-06,270.0,229.5,
網路安全/資通訊,8071,能率網通,電子零組件業,33.35,7.8,,2.4,06-25,2026-05-14,18.15,25.35,
網路安全/資通訊,6143,振曜,通信網路業,107.0,-1.4,,7.6,07-03,2026-07-03,107.0,90.95,
網路安全/資通訊,2427,三商電,資訊服務業,24.9,-3.9,,12.3,07-03,2026-07-03,26.85,22.82,
網路安全/資通訊,3479,安勤,電腦及週邊設備業,135.0,-5.6,,3.0,06-25,2026-06-25,138.0,117.3,
光電/顯示元件,5371,中光電,光電業,91.8,-10.0,,4.0,06-30 07-03 07-06,2026-06-30,89.3,76.5,
光電/顯示元件,3026,禾伸堂,電子零組件業,867.0,-10.0,,4.3,07-03,2026-07-03,1015.0,862.75,
車用電子/零組件,2236,百達-KY,汽車工業,184.5,0.3,,4.0,06-29 07-01 07-02 07-03,2026-06-29,149.0,138.38,
車用電子/零組件,2497,怡利電,汽車工業,64.5,-3.4,,5.5,07-06,2026-07-06,68.5,58.23,
化學工業/特化,6509,聚和,化學工業,55.4,-3.7,,2.3,07-03,2026-07-03,58.0,49.3,
化學工業/特化,4722,國精化,化學工業,252.0,-6.0,,2.8,06-24,2026-06-24,299.84,254.86,出場
其他,6259,百徽,電子零組件業,42.6,9.9,是,2.3,07-07,2026-07-07,明日開盤,36.21,
其他,8109,博大,電子零組件業,161.5,4.5,是,19.6,07-03 07-07,2026-07-03,154.5,131.32,
其他,3066,李洲,光電業,30.2,3.6,是,4.9,07-06 07-07,2026-06-23,24.55,22.65,
其他,3055,蔚華科,電子通路業,176.0,9.7,,7.3,07-01 07-02 07-03,2026-07-01,129.0,132.0,
其他,1810,和成,玻璃陶瓷,24.1,1.7,,3.9,07-03,2026-07-03,24.6,20.91,
其他,8464,億豐,居家生活,370.0,0.0,,2.2,07-02,2026-07-02,372.5,316.62,
其他,5434,崇越,電子通路業,516.0,-1.1,,3.4,06-29,2026-06-29,531.0,451.35,
其他,4763,材料*-KY,化學工業,49.2,-1.6,,2.3,07-03,2026-07-03,51.4,43.69,
其他,2515,中工,建材營造,14.0,-1.8,,2.0,07-03,2026-07-03,14.5,12.32,
其他,8261,富鼎,半導體業,342.0,-2.8,,2.5,07-02,2026-06-23,249.5,264.0,
其他,4532,瑞智,電機機械,28.05,-2.8,,10.0,06-29 06-30,2026-06-29,27.35,23.25,
其他,3236,千如,電子零組件業,64.8,-3.0,,2.4,07-01,2026-06-15,72.0,61.2,
其他,8040,九暘,半導體業,95.1,-3.9,,6.2,06-24,2026-06-24,126.0,107.1,出場
其他,1609,大亞,電器電纜,41.95,-4.1,,3.3,07-06,2026-07-06,43.9,37.32,
其他,1434,福懋,紡織纖維,18.15,-4.2,,10.3,07-02 07-03,2026-07-02,17.5,14.88,
其他,6156,松上,電子零組件業,28.4,-5.0,,3.9,06-30,2026-06-15,23.75,24.0,
其他,6658,聯策,其他電子業,194.5,-5.4,,2.7,06-30,2026-06-30,257.0,218.45,出場
其他,2406,國碩,光電業,39.1,-5.7,,2.0,06-30,2026-06-30,45.0,38.25,
其他,6164,華興,光電業,14.8,-5.7,,3.0,07-01 07-02 07-03,2026-07-01,15.85,13.47,
其他,8182,加高,電子零組件業,52.0,-5.8,,2.6,07-03,2026-07-03,59.0,50.15,
其他,3717,聯嘉投控,汽車工業,27.6,-6.0,,6.6,06-29 06-30 07-01,2026-06-29,25.95,22.06,
其他,2302,麗正,半導體業,48.9,-6.3,,2.2,07-02,2026-06-17,45.17,41.55,
其他,6133,金橋,電子零組件業,25.6,-6.9,,3.1,07-02 07-06,2026-07-02,27.35,23.25,
其他,3004,豐達科,鋼鐵工業,146.5,-8.2,,6.1,07-03 07-06,2026-07-03,157.0,133.45,
其他,4541,晟田,其他,61.1,-8.4,,5.4,07-01 07-03 07-06,2026-07-01,55.3,50.02,
其他,1515,力山,電機機械,38.75,-9.4,,4.1,06-25 07-01 07-02 07-03,2026-06-05,23.15,32.06,
其他,7795,長廣,電子零組件業,600.0,-9.9,,3.8,06-26 06-30 07-01,2026-06-22,468.0,499.5,
