族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
航太與國防,2634,漢翔,航運業,63.8,10.0,是,2.9,06-30 07-03 07-13,2026-06-29,51.5,47.85,
航太與國防,2645,長榮航太,,251.5,7.0,是,2.1,06-30 07-01 07-03 07-06 07-13,2026-06-30,184.08,188.62,
航運/造船,6753,龍德造船,航運業,159.5,7.8,是,2.2,07-03 07-13,2026-07-03,160.0,136.0,
航運/造船,2630,亞航,航運業,56.7,5.2,是,2.1,07-01 07-03 07-13,2026-07-01,50.8,43.18,
塑化與基礎化學,6505,台塑化,油電燃氣業,63.1,7.3,是,2.8,07-02 07-13,2026-07-02,57.9,49.22,
塑化與基礎化學,1301,台塑,塑膠工業,60.2,9.9,,3.5,07-02 07-03,2026-06-25,56.96,48.42,
塑化與基礎化學,1326,台化,塑膠工業,65.0,8.3,,2.6,07-03,2026-07-03,72.8,61.88,
塑化與基礎化學,1718,中纖,化學工業,14.35,1.1,,2.6,06-30 07-03,2026-06-25,10.35,11.4,
塑化與基礎化學,2103,台橡,橡膠工業,23.3,1.1,,4.0,07-03,2026-07-03,25.5,21.68,
塑化與基礎化學,4763,材料*-KY,化學工業,47.25,-0.7,,2.3,07-03,2026-07-03,51.4,43.69,
塑化與基礎化學,1312,國喬,塑膠工業,13.35,-1.1,,4.3,07-03,2026-07-03,15.0,12.75,
塑化與基礎化學,1717,長興,化學工業,72.6,-1.6,,6.8,07-06,2026-07-06,86.8,73.78,出場
塑化與基礎化學,1313,聯成,塑膠工業,12.3,-1.6,,4.9,07-03,2026-07-03,14.5,12.32,出場
塑化與基礎化學,1710,東聯,,16.1,-1.8,,4.5,06-30,2026-06-30,18.0,15.3,
塑化與基礎化學,6509,聚和,化學工業,51.2,-1.9,,2.3,07-03,2026-07-03,58.0,49.3,
塑化與基礎化學,1409,新纖,紡織纖維,25.8,-2.8,,5.9,07-03 07-07,2026-07-03,34.1,28.98,出場
塑化與基礎化學,1708,東鹼,化學工業,55.8,-5.1,,2.2,07-03,2026-07-03,64.2,54.57,
半導體材料與化學品,8383,千附,半導體業,76.6,9.9,是,5.0,07-13,2026-07-13,明日開盤,65.11,
半導體材料與化學品,8131,福懋科,半導體業,77.2,1.6,,3.2,07-06,2026-07-06,87.1,74.03,
半導體材料與化學品,3042,晶技,電子零組件業,193.5,-3.2,,2.5,07-03,2026-07-03,250.0,212.5,出場
半導體材料與化學品,6525,捷敏-KY,半導體業,192.5,-3.5,,2.7,07-03,2026-06-15,130.5,165.75,
半導體材料與化學品,2406,國碩,,37.15,-3.5,,2.0,06-30,2026-06-30,45.0,38.25,出場
半導體材料與化學品,6138,茂達,半導體業,348.0,-7.4,,2.8,07-02,2026-07-02,428.0,363.8,出場
半導體材料與化學品,6435,大中,半導體業,342.5,-8.7,,3.6,06-30 07-02,2026-06-23,358.5,315.0,
半導體材料與化學品,8261,富鼎,半導體業,292.5,-10.0,,2.5,07-02,2026-06-23,245.92,260.21,
工業電腦與邊緣運算,8050,廣積,電腦及週邊設備業,60.9,4.6,是,4.6,07-13,2026-07-13,明日開盤,51.77,
工業電腦與邊緣運算,3005,神基,電腦及週邊設備業,115.0,2.7,,2.1,07-09,2026-07-09,112.0,95.2,
工業電腦與邊緣運算,2395,研華,電腦及週邊設備業,536.0,-0.7,,3.1,07-08,2026-07-08,547.0,464.95,
工業電腦與邊緣運算,3022,威強電,電腦及週邊設備業,88.3,-0.8,,2.8,07-08,2026-07-08,94.0,79.9,
工業電腦與邊緣運算,6414,樺漢,電腦及週邊設備業,388.5,-1.4,,2.3,07-07,2026-07-07,404.0,343.4,
工業電腦與邊緣運算,6579,研揚,電腦及週邊設備業,161.0,-4.2,,9.2,07-07,2026-07-07,181.5,154.28,
電子零組件,5488,松普,電子零組件業,17.8,9.9,是,6.2,07-03 07-09 07-13,2026-07-03,15.4,13.35,
電子零組件,6538,倉和,電子零組件業,149.5,9.9,,3.9,07-01,2026-06-23,133.5,113.47,
電子零組件,6156,松上,電子零組件業,28.35,5.2,,3.9,06-30,2026-06-15,23.75,24.0,
電子零組件,8109,博大,電子零組件業,139.0,-7.9,,19.4,07-03 07-07,2026-07-03,154.5,131.32,
PCB/載板,4958,臻鼎-KY,電子零組件業,646.0,9.9,是,2.0,07-13,2026-07-13,明日開盤,549.1,
PCB/載板,2484,希華,電子零組件業,84.3,-7.1,,2.5,07-03,2026-07-03,98.1,83.38,
PCB/載板,3026,禾伸堂,電子零組件業,905.0,-10.0,,2.9,07-03 07-09,2026-07-03,1015.0,862.75,
網路通信設備,2332,友訊,通信網路業,25.95,7.9,是,7.7,07-08 07-13,2026-07-08,24.05,20.44,
網路通信設備,6416,瑞祺電通,通信網路業,96.7,-1.7,,17.2,07-08,2026-07-08,94.0,79.9,
建材與營造,5511,德昌,建材營造,69.6,10.0,是,3.5,07-13,2026-07-13,明日開盤,59.16,
建材與營造,2515,中工,建材營造,13.5,-2.9,,2.0,07-03,2026-07-03,14.5,12.32,
生技醫療與新藥,4162,智擎,生技醫療業,66.0,2.3,,2.7,07-03,2026-07-03,63.4,53.89,
生技醫療與新藥,6712,長聖,生技醫療業,168.0,-4.3,,5.6,07-07,2026-06-24,152.5,137.25,
生技醫療與新藥,4743,合一,生技醫療業,51.0,-5.9,,6.3,07-03 07-06,2026-07-03,60.9,51.77,出場
生技醫療與新藥,4147,中裕,生技醫療業,64.3,-7.5,,2.3,07-03,2026-07-03,70.0,59.5,
生技醫療與新藥,7799,禾榮科,生技醫療業,402.5,-7.6,,5.0,07-07,2026-06-23,430.0,365.5,
生技醫療與新藥,4169,泰宗,生技醫療業,243.0,-10.0,,3.3,06-30 07-07 07-08,2026-06-22,195.5,209.25,
矽晶圓與化合物半導體,5483,中美晶,半導體業,231.5,10.0,,2.7,07-01,2026-06-17,187.0,173.62,
矽晶圓與化合物半導體,6488,環球晶,半導體業,1485.0,10.0,,5.1,07-06,2026-07-06,1320.0,1122.0,
矽晶圓與化合物半導體,6182,合晶,半導體業,189.5,9.9,,2.2,07-03 07-09,2026-06-17,119.5,142.12,
矽晶圓與化合物半導體,6271,同欣電,半導體業,236.0,-6.3,,4.1,07-01,2026-06-22,268.0,227.8,
功率元件與驅動IC,5471,松翰,半導體業,65.0,-3.8,,2.6,07-09,2026-07-09,67.6,57.46,
功率元件與驅動IC,6257,矽格,半導體業,234.5,-4.1,,2.0,07-06,2026-07-06,270.0,229.5,
功率元件與驅動IC,8016,矽創,半導體業,327.0,-9.9,,2.7,07-07,2026-07-07,346.0,294.1,
被動元件,5328,華容,電子零組件業,65.4,-7.2,,2.2,07-02,2026-07-02,80.1,68.08,出場
被動元件,2472,立隆電,電子零組件業,343.0,-8.8,,3.2,06-30,2026-06-30,461.5,392.27,出場
被動元件,6173,信昌電,電子零組件業,247.5,-10.0,,3.5,07-03,2026-07-03,356.14,302.72,出場
封測與測試介面,2458,義隆,半導體業,183.0,-0.3,,2.3,06-30,2026-06-18,177.0,150.45,
封測與測試介面,3264,欣銓,半導體業,225.0,-4.3,,2.3,07-06,2026-07-06,259.5,220.57,
電纜/電力基礎建設,1609,大亞,電器電纜,40.1,2.6,,3.3,07-06,2026-07-06,43.9,37.32,
電纜/電力基礎建設,2061,風青,電器電纜,67.3,-9.9,,2.9,07-08,2026-07-08,83.7,71.14,出場
其他,1810,和成,玻璃陶瓷,26.2,9.9,是,3.4,07-03 07-13,2026-07-03,24.6,20.91,
其他,4564,元翎,電機機械,21.0,8.8,是,5.2,07-13,2026-07-13,明日開盤,17.85,
其他,7714,創泓科技,數位雲端,184.5,7.0,是,12.7,07-03 07-13,2026-07-03,160.0,138.38,
其他,4541,晟田,其他,67.1,10.0,,5.4,07-01 07-03 07-06,2026-07-01,55.3,50.32,
其他,8033,雷虎,其他,249.5,9.9,,4.7,06-30 07-01,2026-06-30,177.0,187.12,
其他,7402,邑錡,光電業,144.0,9.9,,5.4,07-03,2026-07-03,141.0,119.85,
