族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
工業電腦/邊緣運算,6166,凌華,電腦及週邊設備業,159.5,10.0,是,4.4,07-23,2026-07-23,明日開盤,135.57,
工業電腦/邊緣運算,6579,研揚,電腦及週邊設備業,183.5,9.9,是,3.2,07-23,2026-07-23,明日開盤,155.97,
工業電腦/邊緣運算,3088,艾訊,電腦及週邊設備業,154.0,6.5,是,4.8,07-23,2026-07-23,明日開盤,130.9,
工業電腦/邊緣運算,8050,廣積,電腦及週邊設備業,63.0,2.9,,4.5,07-13,2026-07-13,65.0,55.25,
工業電腦/邊緣運算,6414,樺漢,電腦及週邊設備業,503.0,2.7,,2.9,07-21 07-22,2026-07-07,404.0,377.25,
工業電腦/邊緣運算,2395,研華,電腦及週邊設備業,600.0,0.7,,3.2,07-22,2026-07-08,535.48,455.16,
台塑集團,6505,台塑化,油電燃氣業,93.2,9.5,是,2.3,07-13 07-14 07-15 07-16 07-23,2026-07-02,57.9,69.9,
台塑集團,1301,台塑,塑膠工業,66.2,4.3,是,2.1,07-14 07-23,2026-06-25,56.96,49.65,
台塑集團,1326,台化,塑膠工業,71.7,1.6,,2.2,07-15,2026-07-03,72.8,61.88,
台塑集團,1303,南亞,塑膠工業,197.0,-5.3,,2.1,07-14 07-15,2026-07-14,217.0,184.45,
食品工業,1229,聯華,食品工業,42.5,5.7,是,2.7,07-23,2026-07-23,明日開盤,36.12,
食品工業,1232,大統益,食品工業,152.0,-1.0,,9.1,07-13 07-16 07-17,2026-07-13,151.0,128.35,
化合物半導體,3374,精材,半導體業,403.0,-3.6,,2.0,07-22,2026-07-22,411.0,349.35,
化合物半導體,5483,中美晶,半導體業,212.5,-8.2,,2.3,07-14 07-15,2026-06-17,185.0,206.27,
化合物半導體,3532,台勝科,半導體業,421.5,-9.9,,4.9,07-14,2026-07-14,535.0,454.75,出場
海運/造船,2630,亞航,航運業,53.3,0.2,,5.5,07-13 07-14,2026-07-01,50.8,46.72,
海運/造船,2615,萬海,航運業,84.5,-0.7,,3.2,07-21,2026-07-21,85.2,72.42,
海運/造船,6753,龍德造船,航運業,138.5,-4.2,,2.2,07-13,2026-07-03,160.0,136.0,
自行車/運動休閒,9921,巨大,運動休閒,85.5,1.1,,2.3,07-13,2026-07-13,79.2,67.32,
自行車/運動休閒,9914,美利達,運動休閒,78.1,-1.5,,6.9,07-16,2026-07-16,82.2,69.87,
自行車/運動休閒,1736,喬山,運動休閒,131.5,-3.7,,2.4,07-20 07-21,2026-07-20,132.5,112.62,
基礎化學/碳材料,1723,中碳,化學工業,89.4,4.3,,3.3,07-16,2026-07-16,88.8,75.48,
基礎化學/碳材料,2103,台橡,橡膠工業,23.85,-1.2,,2.4,07-14,2026-07-03,25.5,21.68,
基礎化學/碳材料,1709,和益,化學工業,27.2,-2.5,,5.1,07-13 07-14,2026-07-01,22.65,21.08,
航太與國防,2645,長榮航太,航運業,198.0,1.5,,2.1,07-13,2026-06-30,184.08,188.62,
航太與國防,2634,漢翔,航運業,61.9,-3.9,,2.2,07-13 07-14 07-21,2026-06-29,51.5,53.62,
電子通路,3033,威健,電子通路業,50.5,0.6,,5.4,07-15,2026-07-15,56.0,47.6,
電子通路,5434,崇越,電子通路業,559.0,-1.1,,2.2,07-16,2026-07-16,579.0,492.15,
半導體材料/特種化學品,8383,千附,半導體業,88.0,5.1,,5.5,07-13 07-14 07-15,2026-07-13,80.54,68.46,
半導體材料/特種化學品,6907,雅特力-KY,半導體業,217.0,3.3,,2.2,07-14,2026-07-06,190.0,179.25,
網路通訊設備,6416,瑞祺電通,通信網路業,106.5,0.5,,3.6,07-22,2026-07-08,94.0,79.9,
網路通訊設備,3704,合勤控,通信網路業,46.55,-1.3,,3.9,07-13,2026-07-13,50.3,42.75,
其他,8039,台虹,電子零組件業,256.0,9.9,是,2.7,07-14 07-23,2026-07-14,186.0,192.0,
其他,6944,兆聯實業,綠能環保,829.0,6.9,是,2.5,07-23,2026-07-23,明日開盤,704.65,
其他,3577,泓格,電腦及週邊設備業,160.0,5.3,是,3.3,07-23,2026-07-23,明日開盤,136.0,
其他,5227,立凱-KY,電子零組件業,40.4,3.9,是,9.0,07-23,2026-07-23,明日開盤,34.34,
其他,4764,雙鍵,化學工業,309.5,6.5,,2.9,07-15,2026-07-15,355.0,301.75,
其他,6538,倉和,電子零組件業,145.0,4.3,,3.2,07-14,2026-06-23,133.5,117.0,
其他,1434,福懋,紡織纖維,19.5,1.6,,2.5,07-15,2026-07-02,17.05,14.62,
其他,2027,大成鋼,鋼鐵工業,44.4,1.5,,3.7,07-22,2026-07-22,44.7,38.0,
其他,6811,宏碁資訊,數位雲端,245.5,0.4,,8.1,07-17,2026-07-17,245.0,208.25,
其他,4534,慶騰,電機機械,40.1,-0.1,,2.6,07-15 07-16,2026-07-15,38.6,32.81,
其他,6949,沛爾生醫-創,生技醫療業,1005.0,-0.5,,2.9,07-15 07-16,2026-07-15,1020.0,867.0,
其他,2527,宏璟,建材營造,48.7,-0.7,,2.1,07-13 07-16 07-20,2026-07-13,45.65,38.8,
其他,8150,南茂,半導體業,98.2,-1.8,,3.0,07-16,2026-07-16,116.0,98.6,出場
其他,4939,亞電,電子零組件業,69.6,-1.8,,4.0,07-21,2026-07-21,76.9,65.37,
其他,2377,微星,電腦及週邊設備業,152.0,-1.9,,2.5,07-22,2026-07-22,157.5,133.88,
其他,4541,晟田,其他,68.8,-2.5,,7.4,07-14,2026-07-01,55.3,56.77,
其他,6243,迅杰,半導體業,47.5,-5.2,,9.0,07-16 07-17,2026-07-16,48.0,40.8,
其他,3413,京鼎,半導體業,341.0,-6.1,,3.0,07-16,2026-07-07,348.5,296.22,
其他,2332,友訊,通信網路業,22.4,-6.3,,7.7,07-13,2026-07-08,24.05,20.44,
其他,1810,和成,玻璃陶瓷,30.75,-10.0,,5.9,07-13 07-14 07-15,2026-07-03,24.6,25.61,
