族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
台塑集團,1326,台化,塑膠工業,64.2,-2.9,,2.2,07-15,2026-07-03,72.8,61.88,
台塑集團,1301,台塑,塑膠工業,60.6,-3.5,,2.1,07-14,2026-06-25,56.96,49.27,
台塑集團,6505,台塑化,油電燃氣業,77.7,-4.4,,5.6,07-13 07-14 07-15 07-16,2026-07-02,57.9,60.98,
台塑集團,1303,南亞,塑膠工業,186.5,-6.3,,2.1,07-14 07-15,2026-07-14,217.0,184.45,
航太與國防,2634,漢翔,航運業,65.0,6.2,,5.5,07-13 07-14,2026-06-29,51.5,51.23,
航太與國防,2630,亞航,航運業,53.6,0.4,,5.5,07-13 07-14,2026-07-01,50.8,46.72,
航太與國防,6753,龍德造船,航運業,139.5,0.4,,2.2,07-13,2026-07-03,160.0,136.0,
航太與國防,2645,長榮航太,航運業,208.0,-3.9,,2.1,07-13,2026-06-30,184.08,188.62,
第三代半導體,5483,中美晶,半導體業,227.5,-3.4,,2.3,07-14 07-15,2026-06-17,187.0,208.5,
第三代半導體,8150,南茂,半導體業,103.0,-6.8,,3.0,07-16,2026-07-16,116.0,98.6,
第三代半導體,6182,合晶,半導體業,135.0,-9.7,,2.2,07-09,2026-06-17,119.5,142.12,出場
工業電腦與邊緣運算,6414,樺漢,電腦及週邊設備業,405.0,2.5,,2.3,07-07,2026-07-07,404.0,343.4,
工業電腦與邊緣運算,2395,研華,電腦及週邊設備業,516.0,0.6,,3.1,07-08,2026-07-08,535.48,455.16,
工業電腦與邊緣運算,3005,神基,電腦及週邊設備業,109.5,-0.5,,2.1,07-09,2026-07-09,112.0,95.2,
半導體設備與特種氣體,3532,台勝科,半導體業,466.0,9.9,,4.9,07-14,2026-07-14,535.0,454.75,
半導體設備與特種氣體,3413,京鼎,半導體業,359.0,-3.2,,3.0,07-07 07-16,2026-07-07,348.5,296.22,
電子通路,3033,威健,電子通路業,47.9,-1.8,,5.4,07-15,2026-07-15,56.0,47.6,
電子通路,5434,崇越,電子通路業,544.0,-3.2,,2.2,07-16,2026-07-16,579.0,492.15,
自行車產業,9921,巨大,運動休閒,83.9,-3.1,,2.3,07-13,2026-07-13,79.2,67.32,
自行車產業,9914,美利達,運動休閒,79.8,-5.0,,6.9,07-16,2026-07-16,82.2,69.87,
機能性纖維與紡織,1409,新纖,紡織纖維,23.7,-2.5,,5.9,07-07,2026-07-03,34.1,28.98,出場
機能性纖維與紡織,1434,福懋,紡織纖維,18.55,-3.4,,2.5,07-15,2026-07-02,17.05,14.59,
IC 設計,8016,矽創,半導體業,274.0,-4.2,,2.7,07-07,2026-07-07,346.0,294.1,出場
IC 設計,5471,松翰,半導體業,53.3,-4.7,,2.6,07-09,2026-07-09,66.77,56.75,出場
半導體材料與製程,3402,漢科,其他電子業,140.0,-3.8,,2.3,07-15,2026-07-15,154.5,131.32,
半導體材料與製程,8383,千附,半導體業,80.2,-9.9,,5.5,07-13 07-14 07-15,2026-07-13,80.54,68.46,
光通訊與網路設備,6477,安集,光電業,41.0,7.6,,3.6,07-09,2026-07-03,37.17,31.65,
光通訊與網路設備,3704,合勤控,通信網路業,44.85,-1.9,,3.9,07-13,2026-07-13,50.3,42.75,
化學工業與橡膠,1709,和益,化學工業,26.2,0.6,,5.1,07-13 07-14,2026-07-01,22.65,21.04,
化學工業與橡膠,2103,台橡,橡膠工業,23.05,-1.9,,2.4,07-14,2026-07-03,25.5,21.68,
AI PC 與雲端運算,6811,宏碁資訊,數位雲端,230.5,-3.8,,8.1,07-17,2026-07-17,245.0,208.25,
高性能材料,1723,中碳,化學工業,86.6,-1.8,,3.3,07-16,2026-07-16,88.8,75.48,
其他,2527,宏璟,建材營造,50.4,4.8,是,2.1,07-13 07-16 07-20,2026-07-13,45.65,38.8,
其他,1810,和成,玻璃陶瓷,28.25,4.1,,5.9,07-13 07-14 07-15,2026-07-03,24.6,23.33,
其他,6538,倉和,電子零組件業,141.5,3.3,,3.2,07-14,2026-06-23,133.5,117.0,
其他,2332,友訊,通信網路業,20.65,0.7,,7.7,07-08 07-13,2026-07-08,24.05,20.44,
其他,3617,碩天,其他電子業,205.0,0.5,,4.0,07-08,2026-06-25,224.0,190.4,
其他,8039,台虹,電子零組件業,193.0,0.3,,6.3,07-14,2026-07-14,186.0,158.1,
其他,8096,擎亞,電子通路業,128.0,0.0,,2.1,07-08,2026-07-08,169.5,144.07,出場
其他,3685,元創精密,電機機械,37.65,-1.1,,5.9,07-14 07-15,2026-07-14,37.6,31.96,
其他,5306,桂盟,運動休閒,92.9,-3.1,,14.9,07-16,2026-07-16,96.8,82.28,
其他,6901,鑽石投資,其他,17.7,-3.5,,3.2,07-08,2026-07-08,22.2,18.87,出場
其他,6949,沛爾生醫-創,生技醫療業,991.0,-3.8,,2.9,07-15 07-16,2026-07-15,1020.0,867.0,
其他,1517,利奇,電機機械,11.6,-4.5,,11.4,07-16,2026-07-16,12.3,10.46,
其他,4541,晟田,其他,68.9,-5.1,,7.4,07-14,2026-07-01,55.3,54.68,
其他,1232,大統益,食品工業,159.5,-5.3,,9.1,07-13 07-16 07-17,2026-07-13,151.0,128.35,
其他,3026,禾伸堂,電子零組件業,621.0,-10.0,,2.9,07-09,2026-07-03,1015.0,862.75,出場
其他,4764,雙鍵,化學工業,266.5,-10.0,,2.9,07-15,2026-07-15,355.0,301.75,出場
