族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
光通訊與光電,3543,州巧,光電業,45.1,10.0,是,2.4,08-17 08-26,2026-08-17,42.05,35.74,
光通訊與光電,2426,鼎元,光電業,99.8,9.9,是,3.9,08-26,2026-08-26,明日開盤,84.83,
光通訊與光電,2491,吉祥全,光電業,46.65,9.6,是,6.8,08-26,2026-08-26,明日開盤,39.65,
光通訊與光電,6426,統新,通信網路業,268.0,5.1,是,2.6,08-26,2026-08-26,明日開盤,227.8,
光通訊與光電,3441,聯一光,光電業,125.0,9.6,,2.5,08-21,2026-08-21,113.5,96.47,
光通訊與光電,3234,光環,通信網路業,180.5,2.9,,2.8,08-24 08-25,2026-08-24,155.75,135.38,
光通訊與光電,3498,陽程,其他電子業,203.5,1.8,,3.0,08-18,2026-08-18,170.0,152.62,
光通訊與光電,3490,單井,光電業,53.6,-1.8,,3.4,08-18 08-19,2026-08-18,43.7,40.95,
生技醫療,6949,沛爾生醫-創,生技醫療業,1490.0,10.0,是,2.1,08-24 08-25 08-26,2026-08-24,1250.0,1117.5,
生技醫療,6617,共信-KY,生技醫療業,127.0,10.0,是,2.0,08-26,2026-08-26,明日開盤,107.95,
生技醫療,6547,高端疫苗,生技醫療業,61.9,9.9,是,2.8,08-21 08-26,2026-08-21,55.5,47.17,
生技醫療,6782,視陽,生技醫療業,246.0,7.0,是,5.0,08-25 08-26,2026-08-25,225.0,191.25,
生技醫療,6472,保瑞,生技醫療業,457.0,-2.8,,3.3,08-20 08-25,2026-08-20,438.5,372.72,
半導體材料與元件,3081,聯亞,通信網路業,3255.0,10.0,是,2.6,08-26,2026-08-26,明日開盤,2766.75,
半導體材料與元件,8103,瀚荃,電子零組件業,113.5,9.7,是,4.7,08-26,2026-08-26,明日開盤,96.47,
半導體材料與元件,6538,倉和,電子零組件業,212.0,3.2,,2.5,08-14,2026-08-05,152.5,159.0,
半導體材料與元件,6187,萬潤,半導體業,1300.0,2.4,,2.0,08-13,2026-08-13,1275.0,1083.75,
半導體封裝與載板,1815,富喬,電子零組件業,118.0,8.3,是,2.9,08-21 08-26,2026-08-21,113.0,96.05,
半導體封裝與載板,3037,欣興,電子零組件業,1160.0,5.9,,2.3,08-17,2026-08-17,1130.0,960.5,
半導體封裝與載板,3189,景碩,半導體業,881.0,5.5,,2.9,08-17,2026-08-17,917.0,779.45,
半導體封裝與載板,2059,川湖,電子零組件業,14510.0,1.6,,2.8,08-18,2026-08-18,13895.0,11810.75,
化學與塑化供應鏈,1709,和益,化學工業,37.1,9.9,是,2.4,08-13 08-17 08-21 08-24 08-26,2026-08-13,29.9,27.82,
化學與塑化供應鏈,4303,信立,塑膠工業,54.6,2.6,,4.7,08-24,2026-08-24,52.9,44.97,
化學與塑化供應鏈,2542,興富發,建材營造,48.0,1.1,,2.0,08-13,2026-08-13,46.2,39.27,
化學與塑化供應鏈,1402,遠東新,紡織纖維,28.55,-1.6,,2.2,08-20 08-21,2026-08-20,29.25,24.86,
航運物流,2617,台航,航運業,30.85,-3.1,,5.9,08-19,2026-08-19,30.95,26.31,
航運物流,2612,中航,航運業,61.5,-3.6,,10.3,08-19 08-25,2026-08-19,58.7,49.9,
航運物流,2637,慧洋-KY,航運業,91.2,-4.5,,5.6,08-21,2026-08-21,103.0,87.55,
