族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日
其他,2363,矽統,半導體業,70.6,-0.7,,5.2,06-25
其他,2458,義隆,半導體業,184.0,-0.8,,2.3,06-22 06-25 06-30
其他,3374,精材,半導體業,313.0,-0.9,,2.4,06-23 06-24
其他,6695,芯鼎,半導體業,58.1,-1.0,,4.5,06-24
其他,6538,倉和,電子零組件業,135.5,-1.1,,3.9,06-23 07-01
其他,2406,國碩,光電業,41.15,-1.4,,2.0,06-30
其他,2369,菱生,半導體業,39.3,-1.6,,3.0,06-23
其他,6133,金橋,電子零組件業,25.8,-1.7,,5.0,07-02
其他,7799,禾榮科,生技醫療業,391.0,-1.8,,2.1,06-23
其他,8105,凌巨,光電業,21.75,-1.8,,2.3,06-25
其他,8932,智通*,數位雲端,105.5,-1.9,,3.1,06-25
其他,5347,世界,半導體業,193.5,-2.3,,2.2,06-24 06-25
其他,5285,界霖,半導體業,96.9,-2.5,,2.4,06-22 06-24
其他,3588,通嘉,半導體業,70.3,-2.8,,3.8,06-23 06-24
其他,3060,銘異,電腦及週邊設備業,35.55,-2.9,,3.1,06-22
其他,6415,矽力*-KY,半導體業,605.0,-3.0,,2.5,06-22
其他,8464,億豐,居家生活,369.0,-3.0,,2.2,07-02
其他,6719,力智,半導體業,289.0,-3.7,,4.5,06-22 06-24
其他,6156,松上,電子零組件業,29.9,-6.6,,3.9,06-30
