代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,4月YoY%,4月MoM%,5月YoY%,5月MoM%
2464,盟立,上市,其他電子業,190.0,44.3,131.5,200.0,32.5,23.08,0.34,30.83,7.24
6870,騰雲,上櫃,數位雲端,289.5,27.0,37.9,332.0,27.3,81.45,5.11,56.14,3.08
4916,事欣科,上市,電腦及週邊設備業,112.5,32.0,76.4,127.5,25.1,50.22,5.37,104.34,6.05
5425,台半,上櫃,半導體業,121.5,41.5,93.7,143.0,24.5,2.6,2.34,11.8,7.64
3048,益登,上市,電子通路業,65.7,17.8,58.4,77.9,21.4,22.18,4.93,61.74,5.9
7610,聯友金屬-創,上市,綠能環保,2430.0,96.8,475.2,2545.0,20.4,345.32,20.89,462.17,9.87
6526,達發,上市,半導體業,703.0,11.2,32.5,737.0,18.9,14.31,11.73,12.89,1.14
3443,創意,上市,半導體業,5045.0,15.4,104.2,5330.0,18.3,156.85,11.23,132.13,8.84
6223,旺矽,上櫃,半導體業,6695.0,19.7,128.4,7250.0,17.9,52.59,7.01,57.81,28.35
2359,所羅門,上市,其他電子業,133.5,4.4,1.4,153.0,17.3,20.73,27.86,66.8,47.19
2399,映泰,上市,電腦及週邊設備業,49.7,11.1,76.6,57.5,17.2,21.89,34.67,48.24,7.66
6834,天二科技,上市,電子零組件業,127.0,99.1,233.5,131.0,16.8,32.24,8.18,58.66,5.89
6788,華景電,上櫃,半導體業,443.5,5.6,42.6,475.0,16.1,1.31,11.72,24.96,16.31
2345,智邦,上市,通信網路業,2660.0,13.9,88.5,2720.0,15.8,53.86,9.39,56.57,4.61
3264,欣銓,上櫃,半導體業,232.0,10.2,79.6,246.6,15.7,27.79,2.97,32.95,3.69
2383,台光電,上市,電子零組件業,5535.0,17.8,137.0,6045.0,13.6,93.61,15.92,114.62,12.17
6257,矽格,上市,半導體業,245.0,18.1,89.7,253.0,13.0,24.53,4.72,23.7,1.57
2363,矽統,上市,半導體業,73.5,23.1,35.3,76.1,12.9,87.15,36.06,88.8,1.22
