族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
半導體設備與零件,3141,晶宏,半導體業,99.5,9.9,是,12.0,09-01 09-02,2026-09-01,93.5,79.47,
半導體設備與零件,6640,均華,半導體業,1210.0,8.0,是,4.1,09-02,2026-09-02,明日開盤,1028.5,
半導體設備與零件,7788,松川精密,電子零組件業,316.0,-1.4,,2.0,08-27 08-28,2026-08-27,310.0,263.5,
AI 伺服器散熱,3324,雙鴻,其他電子業,1435.0,4.4,是,3.1,08-31 09-01 09-02,2026-08-31,1300.0,1105.0,
AI 伺服器散熱,2354,鴻準,其他電子業,66.3,0.6,,2.5,08-27,2026-08-27,65.3,55.51,
AI 伺服器散熱,2421,建準,電子零組件業,168.0,-5.1,,5.8,08-31,2026-08-31,182.0,154.7,
AI 伺服器管理與晶片,5274,信驊,半導體業,17725.0,3.5,是,3.2,09-02,2026-09-02,明日開盤,15066.25,
AI 伺服器管理與晶片,6533,晶心科,半導體業,263.5,0.4,,2.1,08-26,2026-08-26,268.5,228.22,
化合物半導體/光電元件,3234,光環,通信網路業,211.0,5.5,,2.8,08-24 08-25,2026-08-24,155.75,158.25,
化合物半導體/光電元件,8111,立碁,光電業,76.4,1.3,,4.5,09-01,2026-09-01,75.0,63.75,
化合物半導體/光電元件,3374,精材,半導體業,419.5,-0.5,,2.7,08-31,2026-08-31,422.5,359.12,
化合物半導體/光電元件,3081,聯亞,通信網路業,3395.0,-0.9,,2.1,08-26 08-27,2026-08-26,3385.0,2877.25,
化合物半導體/光電元件,8103,瀚荃,電子零組件業,122.0,-3.6,,4.8,08-26 09-01,2026-08-26,115.0,97.75,
航運,2605,新興,航運業,35.05,0.9,,3.5,08-21,2026-08-18,35.9,30.52,
航運,2637,慧洋-KY,航運業,96.3,0.7,,5.6,08-21,2026-08-21,103.0,87.55,
航運,2606,裕民,航運業,75.1,0.1,,10.4,08-25,2026-08-25,76.0,64.6,
航運,2609,陽明,航運業,57.5,-0.2,,5.6,08-21,2026-08-17,55.1,48.38,
航運,2615,萬海,航運業,112.0,-2.2,,4.2,08-20 08-21,2026-08-14,91.3,94.88,
CDMO/生技醫療,6472,保瑞,生技醫療業,422.5,0.6,,3.3,08-20 08-25,2026-08-20,438.5,372.72,
CDMO/生技醫療,6547,高端疫苗,生技醫療業,61.5,0.3,,2.8,08-21 08-26,2026-08-21,55.5,48.75,
CDMO/生技醫療,6491,晶碩,生技醫療業,394.0,-0.6,,2.8,08-31,2026-08-31,392.0,333.2,
CDMO/生技醫療,6617,共信-KY,生技醫療業,120.5,-1.2,,2.0,08-26,2026-08-26,128.0,108.8,
塑化原料供應鏈,1326,台化,塑膠工業,72.8,-2.0,,4.6,09-01,2026-09-01,74.5,63.32,
塑化原料供應鏈,1312,國喬,塑膠工業,15.25,-2.6,,7.2,08-31,2026-08-31,15.8,13.43,
塑化原料供應鏈,1709,和益,化學工業,35.0,-3.8,,2.7,08-21 08-24 08-26 08-28 09-01,2026-08-13,29.02,27.3,
半導體封裝與測試,2351,順德,半導體業,229.0,1.3,,4.9,08-27,2026-08-27,240.0,204.0,
半導體封裝與測試,3189,景碩,半導體業,847.0,-3.1,,2.1,08-27,2026-08-17,917.0,779.45,
光學鏡頭與模組,3406,玉晶光,光電業,1050.0,4.5,,2.5,08-27 08-28 08-31,2026-08-27,840.0,787.5,
光學鏡頭與模組,2426,鼎元,光電業,104.5,-2.8,,3.9,08-26,2026-08-26,101.5,86.27,
其他,4912,聯德控股-KY,電子零組件業,103.0,4.4,是,2.4,09-02,2026-09-02,明日開盤,87.55,
其他,7711,永擎,電腦及週邊設備業,610.0,6.1,,2.2,08-24,2026-08-10,445.5,457.5,
其他,2455,全新,通信網路業,542.0,3.4,,2.5,08-31 09-01,2026-08-31,490.0,416.5,
其他,3693,營邦,電腦及週邊設備業,642.0,2.9,,2.0,08-28,2026-08-28,580.0,493.0,
其他,1815,富喬,電子零組件業,131.0,1.6,,2.9,08-21 08-26 08-28,2026-08-21,113.0,98.25,
其他,4971,IET-KY,半導體業,669.0,1.4,,2.6,09-01,2026-09-01,654.0,555.9,
其他,2881,富邦金,金融保險業,143.5,-1.0,,2.4,08-21 08-25,2026-08-21,135.0,114.75,
其他,1101,台泥,水泥工業,24.8,-2.0,,2.2,09-01,2026-09-01,25.3,21.5,
其他,6805,富世達,電子零組件業,2110.0,-7.7,,2.2,08-27,2026-08-27,2265.0,1925.25,
