族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
AI PC/伺服器,6811,宏碁資訊,數位雲端,239.5,4.8,是,8.3,07-17,2026-07-17,明日開盤,203.57,
AI PC/伺服器,2352,佳世達,電腦及週邊設備業,30.4,-3.0,,3.1,07-06,2026-07-06,36.1,30.68,出場
AI PC/伺服器,3005,神基,電腦及週邊設備業,110.0,-3.1,,2.1,07-09,2026-07-09,112.0,95.2,
AI PC/伺服器,8050,廣積,電腦及週邊設備業,57.2,-6.4,,4.5,07-13,2026-07-13,65.0,55.25,
IC 設計/晶片開發,6243,迅杰,半導體業,51.6,7.6,是,9.0,07-16 07-17,2026-07-16,48.0,40.8,
IC 設計/晶片開發,8016,矽創,半導體業,286.0,-3.1,,2.7,07-07,2026-07-07,346.0,294.1,出場
IC 設計/晶片開發,5471,松翰,半導體業,55.9,-7.0,,2.6,07-09,2026-07-09,66.77,56.75,出場
矽晶圓/化合物半導體,5483,中美晶,半導體業,235.5,-9.1,,2.3,07-14 07-15,2026-06-17,187.0,208.5,
矽晶圓/化合物半導體,6488,環球晶,半導體業,1240.0,-9.5,,5.1,07-06,2026-07-06,1314.92,1131.87,
矽晶圓/化合物半導體,6182,合晶,半導體業,149.5,-9.9,,2.2,07-09,2026-06-17,119.5,142.12,
矽晶圓/化合物半導體,8131,福懋科,半導體業,69.0,-9.9,,3.2,07-06,2026-07-06,85.94,73.05,出場
矽晶圓/化合物半導體,3532,台勝科,半導體業,424.0,-10.0,,4.9,07-14,2026-07-14,535.0,454.75,出場
生技醫療,6712,長聖,生技醫療業,150.0,-2.9,,5.6,07-07,2026-06-24,152.5,137.25,
生技醫療,4743,合一,生技醫療業,48.6,-3.4,,6.3,07-06,2026-07-03,60.9,51.77,出場
生技醫療,7799,禾榮科,生技醫療業,415.5,-4.9,,5.0,07-07,2026-06-23,430.0,365.5,
生技醫療,6949,沛爾生醫-創,生技醫療業,1030.0,-6.8,,2.9,07-15 07-16,2026-07-15,1020.0,867.0,
生技醫療,4764,雙鍵,化學工業,296.0,-9.9,,2.9,07-15,2026-07-15,355.0,301.75,出場
台塑集團,6505,台塑化,油電燃氣業,81.3,1.6,,5.6,07-13 07-14 07-15 07-16,2026-07-02,57.9,60.98,
台塑集團,1326,台化,塑膠工業,66.1,-4.1,,2.2,07-15,2026-07-03,72.8,61.88,
台塑集團,1301,台塑,塑膠工業,62.8,-4.3,,2.1,07-14,2026-06-25,56.96,49.27,
台塑集團,1303,南亞,塑膠工業,199.0,-10.0,,2.1,07-14 07-15,2026-07-14,217.0,184.45,
軍工/航太,2634,漢翔,航運業,61.2,-5.1,,5.5,07-13 07-14,2026-06-29,51.5,51.23,
軍工/航太,2630,亞航,航運業,53.4,-6.2,,5.5,07-13 07-14,2026-07-01,50.8,46.72,
軍工/航太,2645,長榮航太,航運業,216.5,-6.5,,2.1,07-06 07-13,2026-06-30,184.08,188.62,
半導體設備與材料,6907,雅特力-KY,半導體業,236.0,-1.3,,2.2,07-06 07-14,2026-07-06,190.0,179.25,
半導體設備與材料,3402,漢科,其他電子業,145.5,-7.0,,2.3,07-15,2026-07-15,154.5,131.32,
半導體設備與材料,6732,昇佳電子,半導體業,193.5,-9.6,,9.2,07-06,2026-07-03,202.0,171.7,
高性能材料/特用化學品,1723,中碳,化學工業,88.2,-1.7,,3.3,07-16,2026-07-16,88.8,75.48,
高性能材料/特用化學品,1709,和益,化學工業,26.05,-4.2,,5.1,07-06 07-13 07-14,2026-07-01,22.65,21.04,
高性能材料/特用化學品,1717,長興,化學工業,64.5,-8.9,,6.8,07-06,2026-07-06,86.8,73.78,出場
運動休閒/機能服飾,1434,福懋,紡織纖維,19.2,-1.3,,2.5,07-15,2026-07-02,17.05,14.59,
運動休閒/機能服飾,9921,巨大,運動休閒,86.6,-1.6,,2.3,07-13,2026-07-13,79.2,67.32,
運動休閒/機能服飾,5306,桂盟,運動休閒,95.9,-3.3,,14.9,07-16,2026-07-16,96.8,82.28,
半導體特種氣體/化學品,8383,千附,半導體業,89.0,2.2,,5.5,07-13 07-14 07-15,2026-07-13,80.54,68.46,
半導體特種氣體/化學品,3413,京鼎,半導體業,371.0,-2.9,,3.0,07-07 07-16,2026-07-07,348.5,296.22,
電子通路,5434,崇越,電子通路業,562.0,-5.7,,2.2,07-16,2026-07-16,579.0,492.15,
電子通路,3033,威健,電子通路業,48.8,-10.0,,5.4,07-15,2026-07-15,56.0,47.6,
電纜/電力設備,1609,大亞,電器電纜,36.8,-4.7,,3.3,07-06,2026-07-06,43.9,37.32,出場
電纜/電力設備,2061,風青,電器電纜,56.7,-10.0,,2.9,07-08,2026-07-08,83.7,71.14,出場
其他,9914,美利達,運動休閒,84.0,-0.2,,6.9,07-16,2026-07-16,82.2,69.87,
其他,6414,樺漢,電腦及週邊設備業,395.0,-1.2,,2.3,07-07,2026-07-07,404.0,343.4,
其他,6957,裕慶-KY,其他,246.5,-1.2,,3.9,07-06 07-14 07-16,2026-07-06,214.0,187.12,
其他,4534,慶騰,電機機械,41.7,-1.5,,2.6,07-15 07-16,2026-07-15,38.6,32.81,
其他,3704,合勤控,通信網路業,45.7,-2.0,,3.9,07-13,2026-07-13,50.3,42.75,
其他,5488,松普,電子零組件業,16.05,-2.1,,6.2,07-09 07-13,2026-07-03,15.4,13.42,
其他,2348,海悅,其他,78.0,-2.4,,2.5,07-16,2026-07-16,79.9,67.92,
其他,2527,宏璟,建材營造,48.1,-2.9,,4.0,07-13 07-16,2026-07-13,45.65,38.8,
其他,8039,台虹,電子零組件業,192.5,-3.5,,6.3,07-14,2026-07-14,186.0,158.1,
其他,6416,瑞祺電通,通信網路業,91.3,-3.8,,17.2,07-08,2026-07-08,94.0,79.9,
其他,2103,台橡,橡膠工業,23.5,-4.3,,2.4,07-14,2026-07-03,25.5,21.68,
其他,3617,碩天,其他電子業,204.0,-4.4,,4.0,07-08,2026-06-25,224.0,190.4,
其他,6753,龍德造船,航運業,139.0,-4.8,,2.2,07-13,2026-07-03,160.0,136.0,
其他,3004,豐達科,鋼鐵工業,141.5,-5.0,,6.1,07-06,2026-07-03,157.0,133.45,
