族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
金融,5876,上海商銀,金融保險業,48.75,3.8,是,2.4,09-08,2026-09-08,明日開盤,41.44,
金融,2884,玉山金,金融保險業,45.55,4.6,,2.5,09-03,2026-09-03,43.25,36.76,
金融,2801,彰銀,金融保險業,27.25,2.8,,2.6,09-03,2026-09-03,26.6,22.61,
金融,2845,遠東銀,金融保險業,13.7,-0.4,,3.2,09-03,2026-09-03,13.7,11.64,
生技醫療,6620,漢達,生技醫療業,124.0,9.7,是,3.6,09-07 09-08,2026-09-07,121.5,103.27,
生技醫療,6547,高端疫苗,生技醫療業,64.0,0.9,,2.8,08-26,2026-08-21,55.5,48.75,
生技醫療,6617,共信-KY,生技醫療業,134.5,-0.4,,2.0,08-26,2026-08-26,128.0,108.8,
生技醫療,6949,沛爾生醫*-創,生技醫療業,60.4,-10.0,,2.0,08-26,2026-08-24,1250.0,1117.5,出場
AI 伺服器/邊緣運算,6218,豪勉,通信網路業,46.7,4.8,是,4.9,09-02 09-07 09-08,2026-08-25,40.25,35.03,
AI 伺服器/邊緣運算,6933,AMAX-KY,電腦及週邊設備業,317.5,1.4,,4.3,08-26 08-28 08-31 09-01,2026-08-26,236.5,248.25,
AI 伺服器/邊緣運算,8103,瀚荃,電子零組件業,119.5,-3.2,,4.8,08-26 09-01,2026-08-26,115.0,97.75,
AI 伺服器/邊緣運算,3219,倚強科,其他電子業,89.0,-4.6,,4.1,08-27 08-31,2026-08-27,84.5,71.83,
AI 伺服器零組件/機殼,1815,富喬,電子零組件業,135.0,3.8,,2.9,08-26 08-28,2026-08-21,113.0,101.25,
AI 伺服器零組件/機殼,2354,鴻準,其他電子業,64.5,-1.8,,2.5,08-27,2026-08-27,65.3,55.51,
AI 伺服器零組件/機殼,3693,營邦,電腦及週邊設備業,669.0,-1.9,,2.0,08-28,2026-08-28,580.0,511.5,
AI 伺服器零組件/機殼,6805,富世達,電子零組件業,2155.0,-4.9,,2.2,08-27,2026-08-27,2265.0,1925.25,
AI 伺服器零組件/機殼,7788,松川精密,電子零組件業,291.5,-7.9,,2.0,08-27 08-28,2026-08-27,310.0,263.5,
光通訊/光電元件,2455,全新,通信網路業,515.0,3.0,,2.5,08-31 09-01,2026-08-31,490.0,416.5,
光通訊/光電元件,3406,玉晶光,光電業,1010.0,2.3,,2.5,08-27 08-28 08-31,2026-08-27,840.0,791.25,
光通訊/光電元件,2426,鼎元,光電業,97.5,-1.6,,3.9,08-26,2026-08-26,101.5,86.27,
光通訊/光電元件,6588,東典光電,通信網路業,113.5,-3.8,,2.3,09-07,2026-09-07,118.5,100.72,
化合物半導體/第三代半導體,3374,精材,半導體業,475.0,1.2,,2.7,08-31,2026-08-31,422.5,359.12,
化合物半導體/第三代半導體,3141,晶宏,半導體業,95.4,-6.5,,11.9,09-01 09-02,2026-09-01,93.5,79.47,
化合物半導體/第三代半導體,3081,聯亞,通信網路業,2865.0,-6.7,,2.1,08-26 08-27,2026-08-26,3385.0,2877.25,出場
光電/光學元件,3504,揚明光,光電業,83.2,-1.5,,2.7,08-27 09-02,2026-08-27,92.5,78.62,
光電/光學元件,8111,立碁,光電業,69.5,-5.4,,4.5,09-01,2026-09-01,75.0,63.75,
光電/光學元件,2491,吉祥全,光電業,40.6,-5.6,,3.2,08-26 08-27 08-28,2026-08-26,45.75,42.3,出場
特用化學品/塑化,1312,國喬,塑膠工業,13.9,-1.4,,7.2,08-31,2026-08-31,15.8,13.43,
特用化學品/塑化,1709,和益,化學工業,33.6,-1.8,,2.7,08-26 08-28 09-01,2026-08-13,29.02,27.3,
特用化學品/塑化,4770,上品,化學工業,234.0,-2.1,,3.3,09-07,2026-09-07,239.0,203.15,
AI 伺服器散熱,2421,建準,電子零組件業,168.0,-2.0,,5.8,08-31,2026-08-31,182.0,154.7,
AI 伺服器散熱,3324,雙鴻,其他電子業,1340.0,-6.9,,3.0,08-31 09-01 09-02,2026-08-31,1300.0,1113.75,
半導體封裝與測試,3189,景碩,半導體業,800.0,-1.6,,2.1,08-27,2026-08-17,917.0,779.45,
半導體封裝與測試,2351,順德,半導體業,227.5,-2.6,,4.9,08-27,2026-08-27,240.0,204.0,
半導體 IP 與設計,6533,晶心科,半導體業,256.0,-0.4,,2.1,08-26,2026-08-26,268.5,228.22,
半導體 IP 與設計,6224,聚鼎,電子零組件業,84.6,-4.7,,3.2,09-07,2026-09-07,89.0,75.65,
其他,6179,亞通,其他,33.1,10.0,是,4.2,08-28 09-08,2026-08-28,30.4,25.84,
其他,3167,大量,電機機械,938.0,6.2,是,4.1,09-08,2026-09-08,明日開盤,797.3,
其他,6426,統新,通信網路業,307.0,3.7,是,3.9,08-26 09-08,2026-08-26,269.5,230.25,
其他,6538,倉和,電子零組件業,321.0,5.2,,3.8,09-04,2026-09-04,295.5,251.17,
其他,3605,宏致,電子零組件業,124.0,2.9,,2.9,08-31,2026-08-31,128.5,109.22,
其他,5274,信驊,半導體業,19220.0,0.0,,2.7,09-02,2026-09-02,17735.0,15074.75,
其他,1101,台泥,水泥工業,24.3,0.0,,2.2,09-01,2026-09-01,25.3,21.5,
其他,3003,健和興,電子零組件業,58.7,-0.5,,2.6,08-28,2026-08-28,72.1,61.28,出場
其他,4971,IET-KY,半導體業,605.0,-0.8,,2.6,09-01,2026-09-01,654.0,555.9,
其他,2221,大甲,其他,85.8,-1.0,,4.0,08-26 08-27 08-28 09-02 09-03,2026-08-24,64.0,68.62,
其他,2201,裕隆,汽車工業,30.45,-1.1,,6.4,08-31 09-01,2026-08-31,30.05,25.54,
其他,009802,富邦旗艦50,,20.4,-1.2,,37.0,09-01,2026-09-01,20.35,17.3,
其他,1326,台化,塑膠工業,70.6,-1.8,,4.6,09-01,2026-09-01,74.5,63.32,
其他,4939,亞電,電子零組件業,89.5,-4.4,,5.1,08-26 08-28,2026-08-26,82.1,70.2,
其他,4576,大銀微系統,電機機械,235.5,-4.7,,2.1,09-02 09-07,2026-09-02,250.0,212.5,
其他,6141,柏承,電子零組件業,49.4,-4.8,,2.3,08-26 08-27 08-28,2026-08-26,53.5,45.48,
其他,8431,匯鑽科,其他電子業,63.3,-5.9,,12.9,09-02 09-03 09-04,2026-09-02,59.1,51.6,
其他,6640,均華,半導體業,1215.0,-6.5,,2.6,09-02 09-04,2026-09-02,1230.0,1045.5,
其他,7744,崴寶,電子零組件業,523.0,-6.8,,2.1,09-02,2026-09-02,538.0,457.3,
其他,3094,聯傑,半導體業,41.25,-7.9,,5.8,09-04,2026-09-04,49.0,41.65,出場
