族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
工業電腦/邊緣運算,6414,樺漢,電腦及週邊設備業,490.0,10.0,是,2.9,07-21 07-22,2026-07-07,404.0,367.5,
工業電腦/邊緣運算,2395,研華,電腦及週邊設備業,596.0,5.1,是,3.2,07-22,2026-07-08,535.48,455.16,
工業電腦/邊緣運算,3005,神基,電腦及週邊設備業,114.5,-1.7,,2.1,07-09,2026-07-09,112.0,95.2,
化合物半導體,3374,精材,半導體業,418.0,10.0,是,2.0,07-22,2026-07-22,明日開盤,355.3,
化合物半導體,3532,台勝科,半導體業,468.0,8.0,,4.9,07-14,2026-07-14,535.0,454.75,
化合物半導體,5483,中美晶,半導體業,231.5,6.1,,2.3,07-14 07-15,2026-06-17,185.0,206.27,
化合物半導體,6182,合晶,半導體業,129.0,-0.8,,2.2,07-09,2026-06-17,119.5,142.12,出場
化合物半導體,8150,南茂,半導體業,100.0,-3.8,,3.0,07-16,2026-07-16,116.0,98.6,
電機機械/工業設備,4513,福裕,電機機械,22.8,6.3,是,2.6,07-13 07-14 07-15 07-22,2026-07-07,18.0,17.1,
電機機械/工業設備,4534,慶騰,電機機械,40.15,10.0,,2.6,07-15 07-16,2026-07-15,38.6,32.81,
電機機械/工業設備,5288,豐祥-KY,電機機械,194.0,-1.5,,4.0,07-21,2026-07-21,200.0,170.0,
電機機械/工業設備,4564,元翎,電機機械,18.7,-7.7,,5.2,07-13,2026-07-13,21.7,18.45,
通信網路設備,6416,瑞祺電通,通信網路業,106.0,6.6,是,3.6,07-22,2026-07-08,94.0,79.9,
通信網路設備,3704,合勤控,通信網路業,47.15,-0.4,,3.9,07-13,2026-07-13,50.3,42.75,
航太與造船,6753,龍德造船,航運業,144.5,-5.6,,2.2,07-13,2026-07-03,160.0,136.0,
航太與造船,2645,長榮航太,航運業,195.0,-9.3,,2.1,07-13,2026-06-30,184.08,188.62,
航太與造船,2630,亞航,航運業,53.2,-9.7,,5.5,07-13 07-14,2026-07-01,50.8,46.72,
航太與造船,2634,漢翔,航運業,64.4,-9.9,,2.2,07-13 07-14 07-21,2026-06-29,51.5,53.62,
台塑集團/塑化產業,1303,南亞,塑膠工業,208.0,6.4,,2.1,07-14 07-15,2026-07-14,217.0,184.45,
台塑集團/塑化產業,1326,台化,塑膠工業,70.6,2.9,,2.2,07-15,2026-07-03,72.8,61.88,
台塑集團/塑化產業,1301,台塑,塑膠工業,63.5,0.8,,2.1,07-14,2026-06-25,56.96,49.27,
台塑集團/塑化產業,6505,台塑化,油電燃氣業,85.1,-0.4,,5.6,07-13 07-14 07-15 07-16,2026-07-02,57.9,64.05,
自行車/運動休閒,9921,巨大,運動休閒,84.6,0.0,,2.3,07-13,2026-07-13,79.2,67.32,
自行車/運動休閒,9914,美利達,運動休閒,79.3,-1.4,,6.9,07-16,2026-07-16,82.2,69.87,
自行車/運動休閒,1736,喬山,運動休閒,136.5,-3.5,,2.4,07-20 07-21,2026-07-20,132.5,112.62,
半導體 IC 設計,5471,松翰,半導體業,57.5,2.0,,2.6,07-09,2026-07-09,66.77,56.75,
半導體 IC 設計,8383,千附,半導體業,83.7,-0.9,,5.5,07-13 07-14 07-15,2026-07-13,80.54,68.46,
