族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
光學與光電顯示,2491,吉祥全,光電業,51.3,10.0,是,4.6,08-26 08-27,2026-08-26,45.75,38.89,
光學與光電顯示,3406,玉晶光,光電業,834.0,9.9,是,2.5,08-27,2026-08-27,明日開盤,708.9,
光學與光電顯示,3504,揚明光,光電業,94.1,9.9,是,3.3,08-27,2026-08-27,明日開盤,79.98,
光學與光電顯示,3441,聯一光,光電業,137.5,10.0,,2.5,08-21,2026-08-21,113.5,103.12,
光學與光電顯示,3543,州巧,光電業,49.6,10.0,,2.4,08-17 08-26,2026-08-17,42.05,37.2,
光學與光電顯示,3490,單井,光電業,54.0,0.7,,3.4,08-18 08-19,2026-08-18,43.7,40.95,
光學與光電顯示,2426,鼎元,光電業,96.6,-3.2,,3.9,08-26,2026-08-26,101.5,86.27,
電子精密零件,3219,倚強科,其他電子業,84.5,9.9,是,4.3,08-27,2026-08-27,明日開盤,71.83,
電子精密零件,7788,松川精密,電子零組件業,298.0,9.0,是,3.0,08-27,2026-08-27,明日開盤,253.3,
電子精密零件,6141,柏承,電子零組件業,54.9,8.9,是,2.7,08-26 08-27,2026-08-26,53.5,45.48,
電子精密零件,2392,正崴,電子零組件業,46.65,3.3,,8.6,08-14,2026-08-14,43.25,36.76,
電子精密零件,3229,晟鈦,電子零組件業,55.1,-5.2,,2.5,08-20 08-21,2026-08-12,55.9,47.52,
鴻海集團供應鏈,6913,鴻呈,電子零組件業,158.0,9.7,是,2.6,08-27,2026-08-27,明日開盤,134.3,
鴻海集團供應鏈,2354,鴻準,其他電子業,64.4,4.7,是,2.5,08-27,2026-08-27,明日開盤,54.74,
AI伺服器與高效能運算,6840,東研信超,其他電子業,98.3,7.2,是,3.1,08-14 08-26 08-27,2026-08-13,82.8,73.73,
AI伺服器與高效能運算,6933,AMAX-KY,電腦及週邊設備業,236.5,10.0,,2.6,08-26,2026-08-26,236.5,201.03,
AI伺服器與高效能運算,7711,永擎,電腦及週邊設備業,493.0,0.0,,2.2,08-24,2026-08-10,445.5,386.25,
AI伺服器與高效能運算,3005,神基,電腦及週邊設備業,116.0,0.0,,3.6,08-17,2026-08-17,122.0,103.7,
AI伺服器與高效能運算,2357,華碩,電腦及週邊設備業,968.0,-0.3,,3.6,08-14,2026-08-14,985.0,837.25,
AI伺服器與高效能運算,1815,富喬,電子零組件業,116.5,-1.3,,2.8,08-21 08-26,2026-08-21,113.0,96.05,
半導體封裝/載板,3189,景碩,半導體業,914.0,3.7,是,2.2,08-17 08-27,2026-08-17,917.0,779.45,
半導體封裝/載板,3037,欣興,電子零組件業,1180.0,1.7,,2.3,08-17,2026-08-17,1130.0,960.5,
半導體設計/IP,2351,順德,半導體業,240.0,9.6,是,4.9,08-27,2026-08-27,明日開盤,204.0,
半導體設計/IP,6533,晶心科,半導體業,268.5,-0.2,,2.1,08-26,2026-08-26,268.5,228.22,
航運,2637,慧洋-KY,航運業,94.6,3.7,,5.6,08-21,2026-08-21,103.0,87.55,
航運,2606,裕民,航運業,74.3,3.2,,10.4,08-25,2026-08-25,76.0,64.6,
航運,2617,台航,航運業,31.3,1.5,,5.9,08-19,2026-08-19,30.95,26.31,
航運,2612,中航,航運業,62.0,0.8,,10.3,08-19 08-25,2026-08-19,58.7,49.9,
航運,2603,長榮,航運業,232.5,0.6,,4.3,08-17,2026-08-17,232.0,197.2,
航運,2609,陽明,航運業,57.9,0.5,,5.6,08-17 08-19 08-21,2026-08-17,55.1,48.38,
航運,5608,四維航,航運業,16.9,-0.9,,9.9,08-18 08-19 08-21,2026-08-18,16.2,14.06,
航運,2615,萬海,航運業,113.5,-1.3,,4.2,08-14 08-17 08-18 08-20 08-21,2026-08-14,91.3,94.88,
航運,2605,新興,航運業,34.4,-1.3,,3.5,08-18 08-19 08-21,2026-08-18,35.9,30.52,
生技醫療/藥品,6547,高端疫苗,生技醫療業,63.1,1.9,,2.8,08-21 08-26,2026-08-21,55.5,47.32,
生技醫療/藥品,6782,視陽,生技醫療業,243.5,-1.0,,4.9,08-25 08-26,2026-08-25,225.0,191.25,
生技醫療/藥品,6472,保瑞,生技醫療業,439.5,-3.8,,3.3,08-20 08-25,2026-08-20,438.5,372.72,
潤泰集團,9945,潤泰新,其他,28.6,-1.0,,6.0,08-14,2026-08-14,30.1,25.59,
潤泰集團,2915,潤泰全,貿易百貨,58.6,-1.2,,5.7,08-14,2026-08-14,59.5,50.57,
其他,4303,信立,塑膠工業,42.1,10.8,是,2.2,08-24 08-27,2026-08-24,36.82,31.57,
其他,6805,富世達,電子零組件業,2225.0,9.9,是,2.3,08-27,2026-08-27,明日開盤,1891.25,
其他,2221,大甲,其他,74.6,4.5,是,3.1,08-24 08-25 08-26 08-27,2026-08-24,64.0,55.95,
其他,3081,聯亞,通信網路業,3370.0,3.5,是,2.2,08-26 08-27,2026-08-26,3385.0,2877.25,
其他,4939,亞電,電子零組件業,86.6,9.9,,2.2,08-26,2026-08-26,82.1,69.78,
其他,6538,倉和,電子零組件業,222.0,4.7,,2.5,08-14,2026-08-05,152.5,166.5,
其他,2881,富邦金,金融保險業,141.5,2.2,,2.4,08-21 08-25,2026-08-21,135.0,114.75,
其他,6617,共信-KY,生技醫療業,128.5,1.2,,2.0,08-26,2026-08-26,128.0,108.8,
其他,8103,瀚荃,電子零組件業,114.0,0.4,,4.6,08-26,2026-08-26,115.0,97.75,
其他,3234,光環,通信網路業,180.0,-0.3,,2.8,08-24 08-25,2026-08-24,155.75,135.38,
其他,1402,遠東新,紡織纖維,28.4,-0.5,,2.2,08-20 08-21,2026-08-20,29.25,24.86,
其他,2851,中再保,金融保險業,45.7,-0.7,,10.8,08-20 08-21,2026-08-20,48.5,41.23,
其他,2059,川湖,電子零組件業,14340.0,-0.8,,2.8,08-18,2026-08-18,13846.16,11769.24,
其他,00708L,期元大S&P黃金正2,,89.75,-1.2,,2.1,08-24,2026-08-24,92.2,78.37,
其他,3617,碩天,其他電子業,248.5,-1.2,,3.6,08-14 08-17,2026-08-14,250.0,212.5,
其他,6426,統新,通信網路業,259.5,-3.2,,2.6,08-26,2026-08-26,270.0,229.5,
其他,2723,美食-KY,觀光餐旅,77.2,-3.4,,4.7,08-21 08-24,2026-08-21,73.0,62.05,
其他,1709,和益,化學工業,34.15,-8.0,,2.3,08-17 08-21 08-24 08-26,2026-08-13,29.9,27.82,
