代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,7月YoY%,7月MoM%,8月YoY%,8月MoM%
2489,瑞軒,上市,光電業,39.3,8.4,34.0,45.0,19.6,32.24,7.21,23.58,1.29
8358,金居,上櫃,電子零組件業,518.0,12.6,48.9,564.0,16.8,54.86,4.81,59.7,4.71
2603,長榮,上市,航運業,237.0,11.6,25.0,256.5,12.1,43.07,22.83,48.63,1.88
2455,全新,上市,通信網路業,535.0,39.1,101.8,555.0,11.5,45.11,29.48,71.15,11.56
2436,偉詮電,上市,半導體業,67.9,4.1,16.3,73.0,10.1,42.92,8.46,32.14,6.27
3034,聯詠,上市,半導體業,556.0,7.0,30.9,567.0,8.5,26.79,2.73,26.33,0.3
2303,聯電,上市,半導體業,142.5,4.1,69.4,145.5,7.2,18.98,3.1,30.71,5.03
