族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
半導體製程設備與材料,3653,健策,電子零組件業,4145.0,9.9,是,2.2,08-04,2026-08-04,明日開盤,3523.25,
半導體製程設備與材料,6243,迅杰,半導體業,50.5,5.0,,2.9,07-24,2026-07-16,48.0,40.8,
半導體製程設備與材料,3374,精材,半導體業,309.5,1.6,,2.0,07-22,2026-07-22,411.0,349.35,出場
AI PC/伺服器周邊,2301,光寶科,電腦及週邊設備業,252.0,9.8,是,3.6,08-04,2026-08-04,明日開盤,214.2,
AI PC/伺服器周邊,8039,台虹,電子零組件業,200.0,5.0,,2.7,07-23,2026-07-14,186.0,192.0,
AI PC/伺服器周邊,2377,微星,電腦及週邊設備業,149.5,4.5,,2.5,07-22,2026-07-22,157.5,133.88,
邊緣運算力/工業電腦,6166,凌華,電腦及週邊設備業,126.5,2.0,,9.3,07-23 07-24,2026-07-23,160.5,136.42,出場
邊緣運算力/工業電腦,3088,艾訊,電腦及週邊設備業,123.5,0.8,,4.8,07-23,2026-07-23,149.0,126.65,出場
邊緣運算力/工業電腦,6579,研揚,電腦及週邊設備業,163.5,0.3,,3.1,07-23,2026-07-23,181.5,154.28,
邊緣運算力/工業電腦,2395,研華,電腦及週邊設備業,576.0,0.0,,3.2,07-22,2026-07-08,535.48,455.16,
邊緣運算力/工業電腦,6414,樺漢,電腦及週邊設備業,436.5,-0.2,,2.9,07-22,2026-07-07,404.0,377.25,
台塑集團,1301,台塑,塑膠工業,55.3,2.8,,2.1,07-23,2026-06-25,56.96,49.65,
台塑集團,6505,台塑化,油電燃氣業,68.2,0.7,,2.3,07-23,2026-07-02,57.9,69.9,出場
鋼鐵工業,2006,東和鋼鐵,鋼鐵工業,82.5,2.6,,2.8,08-03,2026-08-03,78.8,66.98,
鋼鐵工業,2027,大成鋼,鋼鐵工業,44.25,-0.4,,3.7,07-22,2026-07-22,44.7,38.0,
其他,6206,飛捷,電腦及週邊設備業,140.0,4.9,是,2.9,08-04,2026-08-04,明日開盤,119.0,
其他,2425,承啟,電腦及週邊設備業,50.2,3.9,是,3.8,08-04,2026-08-04,明日開盤,42.67,
其他,6944,兆聯實業,綠能環保,786.0,8.3,,2.3,07-23,2026-07-23,809.0,687.65,
其他,1476,儒鴻,紡織纖維,354.5,2.3,,2.7,07-30,2026-07-30,347.5,295.38,
其他,3577,泓格,電腦及週邊設備業,131.5,2.3,,3.3,07-23,2026-07-23,157.0,133.45,出場
其他,2207,和泰車,汽車工業,517.0,-1.0,,4.2,07-29 07-30,2026-07-29,523.0,444.55,
其他,2480,敦陽科,資訊服務業,151.0,-1.0,,6.6,07-31,2026-07-31,163.0,138.55,
其他,5490,同亨,電腦及週邊設備業,33.45,-5.5,,3.2,07-22 08-03,2026-07-22,34.55,29.37,
其他,2540,愛山林,建材營造,55.8,-7.0,,4.7,07-31,2026-07-31,60.9,51.77,
其他,4442,竣邦-KY,紡織纖維,58.9,-9.9,,10.6,07-23 07-24 07-28 07-30 07-31,2026-07-23,56.1,54.45,
