代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,6月YoY%,6月MoM%,7月YoY%,7月MoM%
6187,萬潤,上櫃,半導體業,1270.0,18.0,80.7,1400.0,17.9,87.06,38.9,73.44,4.17
2464,盟立,上市,其他電子業,193.0,17.3,95.1,208.0,17.3,43.05,15.8,62.1,6.19
6805,富世達,上市,電子零組件業,1845.0,12.3,19.0,1981.15,16.0,32.66,2.19,17.06,12.74
2455,全新,上市,通信網路業,419.5,17.4,71.3,437.5,14.4,23.55,1.62,45.11,29.48
1590,亞德客-KY,上市,電機機械,1460.0,6.7,32.5,1615.0,14.2,44.88,0.07,50.77,2.08
3081,聯亞,上櫃,通信網路業,2960.0,42.1,125.9,3065.0,14.0,128.13,3.74,176.53,19.19
6213,聯茂,上市,電子零組件業,530.0,52.3,168.6,555.0,13.9,47.94,10.8,96.87,12.7
6426,統新,上市,通信網路業,255.0,28.5,74.3,260.5,13.2,103.04,5.23,52.7,10.68
3034,聯詠,上市,半導體業,555.0,10.0,33.0,572.0,12.8,18.95,6.48,26.79,2.73
3693,營邦,上櫃,電腦及週邊設備業,553.0,9.5,31.4,573.0,12.7,74.98,74.81,148.92,5.56
6669,緯穎,上市,電腦及週邊設備業,6440.0,20.0,49.7,6740.0,9.1,29.79,32.5,39.22,5.66
