族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
AI 伺服器與邊緣運算,6811,宏碁資訊,數位雲端,248.0,10.0,是,10.3,09-14,2026-09-14,明日開盤,210.8,
AI 伺服器與邊緣運算,6245,立端,通信網路業,85.5,5.2,是,5.8,09-14,2026-09-14,明日開盤,72.67,
AI 伺服器與邊緣運算,6933,AMAX-KY,電腦及週邊設備業,305.5,-4.5,,4.3,09-01,2026-08-26,236.5,253.5,
數位轉型與資訊服務,2468,華經,資訊服務業,39.35,9.9,是,5.5,09-14,2026-09-14,明日開盤,33.45,
數位轉型與資訊服務,6690,安碁資訊,數位雲端,188.0,9.9,是,11.8,09-11 09-14,2026-09-11,181.0,153.85,
數位轉型與資訊服務,7825,和亞智慧,其他電子業,92.4,-14.0,,5.9,09-10,2026-09-10,101.0,85.85,
半導體設備與材料,2351,順德,半導體業,257.0,9.8,是,2.2,09-14,2026-09-14,明日開盤,218.45,
半導體設備與材料,8227,巨有科技,半導體業,241.0,0.8,,4.1,09-10 09-11,2026-09-10,235.0,199.75,
半導體設備與材料,3680,家登,半導體業,507.0,-0.6,,5.7,09-09,2026-09-09,567.0,481.95,
半導體設備與材料,6640,均華,半導體業,1130.0,-3.4,,2.6,09-02 09-04,2026-09-02,1230.0,1045.5,
半導體設備與材料,4971,IET-KY,半導體業,531.0,-3.5,,2.6,09-01,2026-09-01,654.0,555.9,出場
半導體 IC 設計與元件,4961,天鈺,半導體業,178.0,4.7,是,2.2,09-08 09-14,2026-09-08,178.0,151.3,
半導體 IC 設計與元件,3141,晶宏,半導體業,89.0,-2.0,,11.9,09-01 09-02,2026-09-01,93.14,79.17,
金融,5876,上海商銀,金融保險業,49.9,2.6,,2.4,09-08,2026-09-08,48.25,41.01,
金融,2801,彰銀,金融保險業,28.55,2.3,,2.6,09-03,2026-09-03,26.6,22.61,
金融,2845,遠東銀,金融保險業,13.75,0.4,,3.2,09-03,2026-09-03,13.7,11.64,
金融,00642U,期元大S&P石油,,33.62,0.4,,3.6,09-11,2026-09-11,33.75,28.69,
金融,2884,玉山金,金融保險業,46.35,0.1,,2.5,09-03,2026-09-03,43.25,36.76,
金融,009802,富邦旗艦50,,19.81,-0.6,,37.0,09-01,2026-09-01,20.35,17.3,
光通訊/光纖元件,2455,全新,通信網路業,535.0,3.9,,2.5,09-01,2026-08-31,490.0,416.5,
光通訊/光纖元件,6426,統新,通信網路業,312.0,3.3,,2.3,09-08 09-09,2026-08-26,269.5,241.5,
光通訊/光纖元件,6416,瑞祺電通,通信網路業,119.0,3.0,,3.6,09-08 09-10 09-11,2026-09-08,105.5,89.67,
電子零組件/被動元件,8103,瀚荃,電子零組件業,113.0,0.0,,4.8,09-01,2026-08-26,115.0,97.75,
電子零組件/被動元件,3229,晟鈦,電子零組件業,66.9,-0.9,,2.9,09-11,2026-09-11,68.6,58.31,
電子零組件/被動元件,6224,聚鼎,電子零組件業,85.0,-2.9,,3.2,09-07,2026-09-07,89.0,75.65,
化學/塑化產業,1709,和益,化學工業,36.05,-0.4,,2.7,09-01,2026-08-13,29.02,27.3,
化學/塑化產業,1326,台化,塑膠工業,67.6,-3.7,,4.6,09-01,2026-09-01,74.5,63.32,
光電與顯示技術,6588,東典光電,通信網路業,107.0,-0.5,,2.3,09-07,2026-09-07,118.5,100.72,
光電與顯示技術,3504,揚明光,光電業,78.0,-3.3,,2.7,09-02,2026-08-27,92.5,78.62,出場
AI 伺服器散熱,3324,雙鴻,其他電子業,1305.0,-4.0,,3.0,09-01 09-02,2026-08-31,1300.0,1113.75,
AI 伺服器管理晶片/介面,5274,信驊,半導體業,17980.0,0.5,,2.7,09-02,2026-09-02,17735.0,15074.75,
其他,2305,全友,電腦及週邊設備業,45.15,10.0,是,3.3,09-14,2026-09-14,明日開盤,38.38,
其他,8431,匯鑽科,其他電子業,62.5,9.8,,12.9,09-02 09-03 09-04,2026-09-02,59.1,51.6,
其他,6620,漢達,生技醫療業,127.0,2.4,,3.6,09-07 09-08,2026-09-07,121.5,103.27,
其他,6538,倉和,電子零組件業,372.5,1.2,,3.8,09-04,2026-09-04,295.5,279.38,
其他,00715L,期街口布蘭特正2,,70.5,-0.2,,2.5,09-11,2026-09-11,71.35,60.65,
其他,6227,茂綸,電子通路業,127.0,-0.4,,7.9,09-11,2026-09-11,130.0,110.5,
其他,8111,立碁,光電業,70.7,-1.4,,4.5,09-01,2026-09-01,75.0,63.75,
其他,3167,大量,電機機械,810.0,-2.2,,4.0,09-08,2026-09-08,939.0,798.15,
其他,1101,台泥,水泥工業,23.9,-2.4,,2.2,09-01,2026-09-01,25.3,21.5,
其他,4770,上品,化學工業,224.5,-2.8,,2.9,09-07 09-09,2026-09-07,239.0,203.15,
其他,6179,亞通,其他,34.4,-3.8,,9.0,09-08 09-09 09-10,2026-08-28,30.4,28.65,
其他,1560,中砂,電機機械,753.0,-4.7,,3.6,09-11,2026-09-11,775.0,658.75,
其他,4576,大銀微系統,電機機械,228.0,-5.8,,2.1,09-02 09-07,2026-09-02,250.0,212.5,
其他,2221,大甲,其他,89.9,-5.8,,2.4,09-02 09-03 09-10,2026-08-24,64.0,72.38,
其他,6739,竹陞科技,其他電子業,1145.0,-9.8,,2.1,09-10,2026-09-10,1320.0,1122.0,
其他,5314,世紀*,其他,37.95,-10.0,,4.7,09-09 09-10,2026-09-09,45.35,38.55,出場
