代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,4月YoY%,4月MoM%,5月YoY%,5月MoM%
3189,景碩,上市,半導體業,795.0,27.1,175.3,937.4,26.7,26.75,3.37,33.02,3.13
7788,松川精密,上市,電子零組件業,250.5,18.7,58.4,305.5,25.4,16.37,5.46,43.08,4.57
5351,鈺創,上櫃,半導體業,98.2,19.6,79.8,103.0,24.7,417.06,20.91,605.48,24.75
2408,南亞科,上市,半導體業,435.5,30.2,120.8,503.38,23.5,717.33,40.29,730.13,8.54
6265,方土昶,上櫃,電子通路業,52.7,6.9,76.3,62.2,21.5,885.82,26.67,1076.35,8.07
3060,銘異,上市,電腦及週邊設備業,37.15,18.4,32.4,42.2,20.9,11.73,5.35,27.79,6.69
2428,興勤,上市,電子零組件業,325.0,30.5,73.8,363.5,19.4,19.34,8.01,29.74,0.61
6223,旺矽,上櫃,半導體業,7080.0,21.6,130.9,7673.78,19.0,52.59,7.01,57.81,28.35
6834,天二科技,上市,電子零組件業,130.0,77.8,220.9,140.0,17.5,32.24,8.18,58.66,5.89
6944,兆聯實業,上市,綠能環保,998.0,5.1,41.6,1115.0,15.7,32.08,0.28,48.22,10.15
2441,超豐,上市,半導體業,144.5,24.0,68.4,156.0,15.4,13.19,0.94,20.91,4.78
3711,日月光投控,上市,半導體業,677.0,20.0,112.9,722.4,13.8,19.22,1.08,28.56,1.26
