代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,7月YoY%,7月MoM%,8月YoY%,8月MoM%
4979,華星光,上櫃,通信網路業,556.0,12.6,38.5,658.0,23.9,31.01,11.79,37.44,7.28
2615,萬海,上市,航運業,120.5,26.8,49.6,134.5,20.8,50.12,15.3,65.59,3.0
2489,瑞軒,上市,光電業,43.2,20.1,45.6,45.0,19.6,32.24,7.21,23.58,1.29
1727,中華化,上市,化學工業,105.0,22.1,68.5,106.0,18.7,32.45,4.82,62.67,9.09
2609,陽明,上市,航運業,62.0,15.4,19.5,67.3,17.1,34.56,25.58,56.17,3.72
1303,南亞,上市,塑膠工業,236.0,19.8,126.8,250.0,12.8,44.53,12.67,46.74,0.09
3264,欣銓,上櫃,半導體業,244.5,11.9,50.3,251.5,12.5,52.26,13.82,46.57,1.57
6491,晶碩,上市,生技醫療業,401.0,11.5,30.0,409.5,12.3,17.41,2.98,18.87,0.64
2603,長榮,上市,航運業,242.5,12.8,27.3,256.5,12.1,43.07,22.83,48.63,1.88
6505,台塑化,上市,油電燃氣業,86.2,19.4,55.4,90.6,11.7,32.34,17.48,50.28,9.46
2376,技嘉,上市,電腦及週邊設備業,355.0,4.4,26.5,371.0,8.1,59.67,3.07,98.42,7.21
