族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
光通訊/光電元件,6426,統新,通信網路業,321.0,4.6,是,2.4,09-08 09-09,2026-08-26,269.5,240.75,
光通訊/光電元件,3406,玉晶光,光電業,1110.0,9.9,,2.5,08-27 08-28 08-31,2026-08-27,840.0,832.5,
光通訊/光電元件,8111,立碁,光電業,72.0,3.6,,4.5,09-01,2026-09-01,75.0,63.75,
光通訊/光電元件,2455,全新,通信網路業,533.0,3.5,,2.5,08-31 09-01,2026-08-31,490.0,416.5,
光通訊/光電元件,3504,揚明光,光電業,86.0,3.4,,2.7,08-27 09-02,2026-08-27,92.5,78.62,
光通訊/光電元件,6588,東典光電,通信網路業,115.0,1.3,,2.3,09-07,2026-09-07,118.5,100.72,
光通訊/光電元件,8103,瀚荃,電子零組件業,113.0,-5.4,,4.8,09-01,2026-08-26,115.0,97.75,
半導體封裝測試/材料,3680,家登,半導體業,566.0,8.6,是,6.0,09-09,2026-09-09,明日開盤,481.1,
半導體封裝測試/材料,2351,順德,半導體業,237.5,4.4,,4.9,08-27,2026-08-27,240.0,204.0,
半導體封裝測試/材料,3189,景碩,半導體業,812.0,1.5,,2.1,08-27,2026-08-17,917.0,779.45,
塑化/工業化學品,4770,上品,化學工業,249.5,6.6,是,3.0,09-07 09-09,2026-09-07,239.0,203.15,
塑化/工業化學品,1709,和益,化學工業,35.6,6.0,,2.7,08-28 09-01,2026-08-13,29.02,27.3,
塑化/工業化學品,1312,國喬,塑膠工業,14.65,5.4,,7.2,08-31,2026-08-31,15.8,13.43,
金融,2845,遠東銀,金融保險業,13.55,-1.1,,3.2,09-03,2026-09-03,13.7,11.64,
金融,009802,富邦旗艦50,,20.41,-1.2,,37.0,09-01,2026-09-01,20.35,17.3,
金融,2801,彰銀,金融保險業,26.85,-1.5,,2.6,09-03,2026-09-03,26.6,22.61,
金融,5876,上海商銀,金融保險業,47.5,-2.6,,2.4,09-08,2026-09-08,48.25,41.01,
金融,2884,玉山金,金融保險業,44.25,-2.9,,2.5,09-03,2026-09-03,43.25,36.76,
被動元件,6538,倉和,電子零組件業,349.0,8.7,,3.8,09-04,2026-09-04,295.5,261.75,
被動元件,6141,柏承,電子零組件業,50.5,2.2,,2.3,08-27 08-28,2026-08-26,53.5,45.48,
被動元件,4939,亞電,電子零組件業,90.7,1.3,,5.1,08-28,2026-08-26,82.1,70.2,
被動元件,7744,崴寶,電子零組件業,529.0,1.1,,2.1,09-02,2026-09-02,538.0,457.3,
