族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
AI 伺服器組裝與周邊,2425,承啟,電腦及週邊設備業,52.9,9.9,是,2.5,08-04 08-07,2026-08-04,51.0,43.35,
AI 伺服器組裝與周邊,8050,廣積,電腦及週邊設備業,69.0,9.4,是,4.0,08-07,2026-08-07,明日開盤,58.65,
AI 伺服器組裝與周邊,3594,磐儀,電腦及週邊設備業,60.0,3.6,是,3.8,08-07,2026-08-07,明日開盤,51.0,
AI 伺服器組裝與周邊,3605,宏致,電子零組件業,107.5,-0.5,,2.5,08-05 08-06,2026-08-05,102.5,87.12,
AI 伺服器組裝與周邊,2362,藍天,電腦及週邊設備業,50.5,-1.2,,12.7,08-06,2026-08-06,50.7,43.1,
AI 伺服器組裝與周邊,5490,同亨,電腦及週邊設備業,30.7,-7.9,,3.2,08-03,2026-07-22,34.55,29.37,
生技醫療,4163,鐿鈦,生技醫療業,144.0,7.1,是,11.8,08-07,2026-08-07,明日開盤,122.4,
生技醫療,6782,視陽,生技醫療業,218.0,5.8,是,4.4,08-06 08-07,2026-08-06,205.0,174.25,
生技醫療,6547,高端疫苗,生技醫療業,51.6,5.5,,4.3,08-05,2026-08-05,52.2,44.37,
鋼鐵工業,2031,新光鋼,鋼鐵工業,45.0,9.9,是,12.0,08-07,2026-08-07,明日開盤,38.25,
鋼鐵工業,2006,東和鋼鐵,鋼鐵工業,88.5,2.7,,3.2,08-03 08-06,2026-08-03,78.8,66.98,
鋼鐵工業,2027,大成鋼,鋼鐵工業,46.6,1.1,,2.2,08-06,2026-08-06,45.95,39.06,
資訊服務與系統整合,3022,威強電,電腦及週邊設備業,103.0,2.5,,2.6,08-05,2026-08-05,98.1,83.38,
資訊服務與系統整合,6214,精誠,資訊服務業,146.5,0.7,,5.5,07-31,2026-07-31,151.0,128.35,
資訊服務與系統整合,6206,飛捷,電腦及週邊設備業,144.0,-0.3,,3.2,08-04 08-05,2026-08-04,142.5,121.12,
AI 伺服器散熱,3653,健策,電子零組件業,4380.0,-1.6,,2.2,08-05,2026-08-05,4295.0,3650.75,
AI 伺服器散熱,3017,奇鋐,電腦及週邊設備業,2785.0,-5.3,,2.2,08-06,2026-08-06,2935.0,2494.75,
儒鴻集團,9939,宏全,其他,144.5,1.4,,3.2,08-06,2026-08-06,142.5,121.12,
儒鴻集團,1476,儒鴻,紡織纖維,347.0,-4.8,,2.7,07-30,2026-07-30,347.5,295.38,
其他,6533,晶心科,半導體業,256.0,9.9,是,3.2,08-07,2026-08-07,明日開盤,217.6,
其他,6279,胡連,電子零組件業,126.5,5.0,是,8.7,08-07,2026-08-07,明日開盤,107.52,
其他,2540,愛山林,建材營造,54.9,0.4,,4.7,07-31,2026-07-31,60.9,51.77,
其他,2207,和泰車,汽車工業,516.0,0.0,,4.2,07-29 07-30,2026-07-29,523.0,444.55,
其他,2301,光寶科,電腦及週邊設備業,247.0,-2.2,,3.5,08-04,2026-08-04,260.0,221.0,
其他,6538,倉和,電子零組件業,145.0,-3.3,,3.5,08-05,2026-08-05,152.5,129.62,
其他,1736,喬山,運動休閒,137.0,-3.9,,3.8,08-06,2026-08-06,140.5,119.42,
