代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,6月YoY%,6月MoM%,7月YoY%,7月MoM%
3229,晟鈦,上市,電子零組件業,60.7,30.1,100.5,62.5,22.6,99.08,8.02,76.76,5.29
2615,萬海,上市,航運業,116.0,27.0,45.7,134.5,19.3,32.69,17.11,50.12,15.3
7788,松川精密,上市,電子零組件業,320.5,25.5,79.9,347.0,17.9,65.65,13.35,99.38,19.09
2049,上銀,上市,電機機械,370.5,8.7,37.3,404.5,17.8,31.62,2.97,33.93,4.99
2609,陽明,上市,航運業,58.5,11.0,13.1,67.3,17.1,20.17,9.84,34.56,25.58
2637,慧洋-KY,上市,航運業,100.5,18.2,42.1,108.0,16.7,57.91,3.33,56.21,11.71
6805,富世達,上市,電子零組件業,2295.0,34.7,43.1,2435.0,16.6,32.66,2.19,17.06,12.74
8996,高力,上市,電機機械,1345.0,11.5,54.1,1410.0,14.5,37.55,14.73,57.63,27.3
2603,長榮,上市,航運業,234.0,11.3,23.9,256.5,12.1,30.0,12.94,43.07,22.83
2351,順德,上市,半導體業,237.5,24.1,85.7,247.0,11.7,51.71,4.97,54.0,9.41
3105,穩懋,上櫃,半導體業,464.0,16.0,51.0,492.0,10.9,29.55,0.69,31.17,7.03
1709,和益,上市,化學工業,35.6,31.6,82.4,36.75,10.7,70.13,14.17,83.29,9.65
3653,健策,上市,電子零組件業,5760.0,36.7,70.1,6095.0,10.1,57.64,14.54,90.95,21.25
1101,台泥,上市,水泥工業,24.75,3.3,6.4,26.1,7.3,32.39,6.11,1.53,2.7
