族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
化學工業/特化,1709,和益,化學工業,42.95,10.0,是,2.4,09-17,2026-09-17,明日開盤,36.51,
化學工業/特化,1727,中華化,化學工業,105.0,9.8,是,3.0,09-17,2026-09-17,明日開盤,89.25,
光通訊/光電元件,7717,萊德光電-KY,通信網路業,579.0,9.9,是,5.5,09-17,2026-09-17,明日開盤,492.15,
光通訊/光電元件,6226,光鼎,光電業,43.85,9.9,,3.6,09-15,2026-09-15,39.85,33.87,
光通訊/光電元件,3441,聯一光,光電業,192.5,3.5,,2.0,09-15,2026-09-15,170.0,144.5,
AI伺服器/邊緣運算,6933,AMAX-KY,電腦及週邊設備業,345.5,9.9,是,2.7,09-17,2026-09-17,明日開盤,293.68,
AI伺服器/邊緣運算,2305,全友,電腦及週邊設備業,54.3,9.9,,3.3,09-14,2026-09-14,45.6,40.72,
生技醫療設備,7799,禾榮科,生技醫療業,502.0,9.8,是,5.4,09-17,2026-09-17,明日開盤,426.7,
生技醫療設備,6620,漢達,生技醫療業,147.0,9.7,,3.6,09-07 09-08,2026-09-07,121.5,110.25,
通信網路設備,6588,東典光電,通信網路業,118.5,7.7,是,2.4,09-07 09-17,2026-09-07,118.5,100.72,
通信網路設備,6416,瑞祺電通,通信網路業,119.0,0.8,,3.6,09-08 09-10 09-11,2026-09-08,105.5,89.67,
重電與電網基礎設施,2371,大同,電機機械,29.7,5.1,是,3.6,09-17,2026-09-17,明日開盤,25.25,
半導體設備與材料,3094,聯傑,半導體業,47.0,5.5,,5.8,09-04,2026-09-04,49.0,41.65,
半導體設備與材料,3680,家登,半導體業,527.0,3.1,,5.7,09-09,2026-09-09,567.0,481.95,
半導體設備與材料,3467,台灣精材,半導體業,73.5,2.7,,8.1,09-15,2026-09-15,71.2,60.52,
半導體設備與材料,2351,順德,半導體業,238.0,0.8,,2.1,09-14,2026-09-14,252.5,214.62,
半導體設備與材料,6640,均華,半導體業,1120.0,0.4,,2.6,09-04,2026-09-02,1230.0,1045.5,
半導體設備與材料,8227,巨有科技,半導體業,258.0,-5.1,,4.1,09-10 09-11,2026-09-10,235.0,204.0,
雲端服務與資安,6870,騰雲,數位雲端,322.0,1.9,,4.4,09-07 09-11 09-15,2026-09-07,305.0,259.25,
雲端服務與資安,6811,宏碁資訊,數位雲端,249.5,1.4,,10.0,09-14,2026-09-14,255.5,217.17,
雲端服務與資安,6690,安碁資訊,數位雲端,178.0,-1.7,,11.3,09-11 09-14,2026-09-11,181.0,153.85,
雲端服務與資安,6689,伊雲谷,數位雲端,65.5,-2.2,,27.0,09-14,2026-09-14,71.0,60.35,
雲端服務與資安,7765,中華資安,數位雲端,231.0,-3.7,,12.3,09-14,2026-09-14,255.0,216.75,
資訊服務/系統整合,6148,驊宏資,資訊服務業,36.25,-1.1,,20.4,09-14 09-15,2026-09-14,37.5,31.88,
資訊服務/系統整合,6112,邁達特,資訊服務業,48.75,-1.9,,30.4,09-14,2026-09-14,51.6,43.86,
資訊服務/系統整合,2468,華經,資訊服務業,41.7,-4.5,,14.7,09-14 09-15,2026-09-14,40.95,34.81,
電子零組件/被動元件,2413,環科,電子零組件業,53.1,0.2,,2.1,09-16,2026-09-16,54.2,46.07,
電子零組件/被動元件,3229,晟鈦,電子零組件業,58.6,-4.1,,2.9,09-11,2026-09-11,68.6,58.31,
其他,6168,宏齊,光電業,35.35,10.0,是,4.6,09-17,2026-09-17,明日開盤,30.05,
其他,1560,中砂,電機機械,815.0,10.0,是,2.8,09-11 09-17,2026-09-11,775.0,658.75,
其他,6617,共信-KY,生技醫療業,143.0,3.6,是,2.5,09-17,2026-09-17,明日開盤,121.55,
其他,6218,豪勉,通信網路業,56.0,3.5,是,8.4,09-07 09-08 09-16 09-17,2026-08-25,40.25,42.0,
其他,6426,統新,通信網路業,363.0,10.0,,2.3,09-08 09-09,2026-08-26,269.5,272.25,
其他,2221,大甲,其他,116.0,10.0,,2.2,09-10 09-16,2026-08-24,64.0,87.0,
其他,6179,亞通,其他,41.45,9.9,,9.0,09-08 09-09 09-10,2026-08-28,30.4,31.09,
其他,6227,茂綸,電子通路業,137.5,3.4,,2.8,09-11 09-15,2026-09-11,130.0,110.5,
其他,6739,竹陞科技,其他電子業,1080.0,2.9,,2.1,09-10,2026-09-10,1320.0,1122.0,出場
其他,5876,上海商銀,金融保險業,49.95,0.4,,2.4,09-08,2026-09-08,48.25,41.01,
其他,4961,天鈺,半導體業,181.0,0.0,,2.1,09-08 09-14,2026-09-08,178.0,151.3,
其他,8431,匯鑽科,其他電子業,64.8,-0.3,,12.9,09-04,2026-09-02,59.1,51.6,
其他,4576,大銀微系統,電機機械,231.5,-0.6,,2.1,09-07,2026-09-02,250.0,212.5,
其他,3167,大量,電機機械,817.0,-0.8,,4.0,09-08,2026-09-08,939.0,798.15,
其他,6221,晉泰,資訊服務業,28.65,-1.5,,9.1,09-11 09-14 09-15,2026-09-11,25.6,21.83,
其他,00715L,期街口布蘭特正2,,69.0,-3.4,,2.5,09-11,2026-09-11,71.35,60.65,
其他,6538,倉和,電子零組件業,353.0,-7.2,,3.8,09-04,2026-09-04,295.5,285.38,
其他,5314,世紀*,其他,27.75,-9.9,,4.7,09-09 09-10,2026-09-09,45.35,38.55,出場
