族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
AI 伺服器與 PC 品牌,2465,麗臺,電腦及週邊設備業,105.0,9.9,是,5.4,08-10 08-12 08-13,2026-08-10,94.6,80.41,
AI 伺服器與 PC 品牌,7711,永擎,電腦及週邊設備業,491.5,9.8,是,3.9,08-10 08-12 08-13,2026-08-10,445.5,378.68,
AI 伺服器與 PC 品牌,2376,技嘉,電腦及週邊設備業,393.5,4.8,是,2.4,08-13,2026-08-13,明日開盤,334.47,
AI 伺服器與 PC 品牌,4938,和碩,電腦及週邊設備業,94.8,3.7,是,5.2,08-13,2026-08-13,明日開盤,80.58,
AI 伺服器與 PC 品牌,6933,AMAX-KY,電腦及週邊設備業,197.5,1.8,,2.7,08-11,2026-08-11,189.5,161.07,
AI 伺服器與 PC 品牌,2377,微星,電腦及週邊設備業,168.0,-0.6,,3.1,08-12,2026-08-12,171.0,145.35,
鋼鐵與建材,2027,大成鋼,鋼鐵工業,50.4,7.6,是,3.0,08-06 08-13,2026-08-06,45.95,39.06,
鋼鐵與建材,2542,興富發,建材營造,46.4,3.6,是,2.1,08-13,2026-08-13,明日開盤,39.44,
鋼鐵與建材,2006,東和鋼鐵,鋼鐵工業,85.4,1.9,,3.2,08-03 08-06,2026-08-03,78.8,66.98,
鋼鐵與建材,2540,愛山林,建材營造,44.8,0.7,,4.7,07-31,2026-07-31,54.24,46.11,出場
半導體材料與元件,6187,萬潤,半導體業,1270.0,10.0,是,2.2,08-13,2026-08-13,明日開盤,1079.5,
半導體材料與元件,6716,應廣,半導體業,117.5,7.8,是,5.2,08-13,2026-08-13,明日開盤,99.88,
半導體材料與元件,3653,健策,電子零組件業,4635.0,3.7,,2.2,08-05,2026-08-05,4295.0,3650.75,
AI 伺服器週邊與散熱,3017,奇鋐,電腦及週邊設備業,3200.0,10.0,是,2.4,08-06 08-13,2026-08-06,2935.0,2494.75,
AI 伺服器週邊與散熱,8050,廣積,電腦及週邊設備業,58.6,-0.3,,4.0,08-07,2026-08-07,67.3,57.21,
AI 伺服器週邊與散熱,2362,藍天,電腦及週邊設備業,47.9,-2.0,,12.7,08-06,2026-08-06,50.7,43.1,
工業自動化/精密機械,6603,富強鑫,電機機械,28.85,4.2,是,2.5,08-13,2026-08-13,明日開盤,24.52,
工業自動化/精密機械,4566,時碩工業,電機機械,75.5,4.3,,3.5,08-07,2026-08-07,79.9,67.92,
電子通路與分銷,8112,至上,電子通路業,97.8,0.9,,4.6,08-11,2026-08-11,100.0,85.0,
電子通路與分銷,3022,威強電,電腦及週邊設備業,98.1,-7.0,,2.6,08-05 08-10,2026-08-05,98.1,84.75,
電子零組件/連接器,6279,胡連,電子零組件業,129.5,-0.8,,8.5,08-07,2026-08-07,127.5,108.38,
電子零組件/連接器,3229,晟鈦,電子零組件業,53.0,-5.2,,3.2,08-12,2026-08-12,55.9,47.52,
運動休閒/單車,9921,巨大,運動休閒,105.0,-3.7,,2.7,08-10 08-11,2026-08-10,99.9,84.92,
運動休閒/單車,9914,美利達,運動休閒,85.5,-8.4,,2.6,08-11,2026-08-11,94.6,80.41,
半導體 IP/設計,6533,晶心科,半導體業,249.5,-2.0,,3.1,08-07,2026-08-07,254.0,215.9,
資訊服務/系統整合,6214,精誠,資訊服務業,156.5,9.8,,5.5,07-31,2026-07-31,151.0,128.35,
生技醫療,6547,高端疫苗,生技醫療業,52.2,3.2,,4.3,08-05,2026-08-05,52.2,44.37,
其他,6419,京晨科,光電業,167.5,9.5,是,3.7,08-13,2026-08-13,明日開盤,142.38,
其他,1709,和益,化學工業,30.65,9.5,是,5.3,08-13,2026-08-13,明日開盤,26.05,
其他,3605,宏致,電子零組件業,132.0,10.0,,2.5,08-05 08-06,2026-08-05,101.05,99.0,
其他,6538,倉和,電子零組件業,177.5,9.9,,3.5,08-05,2026-08-05,152.5,133.12,
其他,2359,所羅門,其他電子業,157.0,9.8,,2.2,08-10,2026-08-10,150.0,127.5,
其他,6206,飛捷,電腦及週邊設備業,156.5,7.2,,2.4,08-04 08-05 08-10,2026-08-04,142.5,121.12,
其他,2301,光寶科,電腦及週邊設備業,269.5,3.9,,3.5,08-04,2026-08-04,260.0,221.0,
其他,2103,台橡,橡膠工業,28.1,2.7,,5.0,08-10 08-11,2026-08-10,27.8,23.63,
其他,1736,喬山,運動休閒,140.5,1.1,,3.8,08-06,2026-08-06,140.5,119.42,
其他,2030,彰源,鋼鐵工業,21.75,0.9,,11.6,08-10,2026-08-10,21.4,18.19,
其他,9939,宏全,其他,135.0,0.7,,3.2,08-06,2026-08-06,142.5,121.12,
其他,2425,承啟,電腦及週邊設備業,41.95,0.1,,2.5,08-04 08-07,2026-08-04,51.0,43.35,出場
其他,5904,寶雅*,居家生活,81.8,-0.8,,4.9,08-11,2026-07-29,72.0,65.32,
其他,3704,合勤控,通信網路業,41.85,-1.8,,2.4,08-10,2026-08-10,47.2,40.12,
其他,1904,正隆,造紙工業,24.65,-2.0,,3.8,08-10,2026-08-10,24.2,20.57,
其他,1608,華榮,電器電纜,36.8,-3.0,,3.9,08-12,2026-08-12,37.95,32.26,
其他,7740,熙特爾-創,綠能環保,143.0,-3.4,,4.2,08-10,2026-08-10,166.0,141.1,
