代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,5月YoY%,5月MoM%,6月YoY%,6月MoM%
2493,揚博,上市,電子零組件業,238.5,21.5,81.3,332.01,37.0,24.9,23.77,32.05,9.27
6213,聯茂,上市,電子零組件業,354.5,20.0,111.5,424.5,26.7,29.3,8.23,47.94,10.8
4916,事欣科,上市,電腦及週邊設備業,107.0,11.1,57.7,119.5,19.2,104.34,6.05,80.52,11.33
3479,安勤,上櫃,電腦及週邊設備業,148.5,21.7,45.2,151.0,16.2,10.81,1.36,27.84,13.26
2610,華航,上市,航運業,21.45,9.9,10.1,23.81,15.6,27.73,1.79,28.81,2.5
6944,兆聯實業,上市,綠能環保,1005.0,4.8,38.9,1110.0,15.3,48.22,10.15,29.97,13.16
2618,長榮航,上市,航運業,42.3,14.5,19.1,43.5,10.9,22.1,1.63,26.58,5.12
3706,神達,上市,電腦及週邊設備業,91.3,4.9,7.0,94.2,9.3,49.3,17.23,80.93,14.98
6214,精誠,上市,資訊服務業,141.5,8.8,20.2,147.0,8.8,45.79,6.27,76.89,51.08
