族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
AI伺服器/雲端基礎設施,6669,緯穎,電腦及週邊設備業,5925.0,9.9,是,2.1,08-03,2026-08-03,明日開盤,5036.25,
AI伺服器/雲端基礎設施,3577,泓格,電腦及週邊設備業,128.5,9.8,,3.3,07-23,2026-07-23,157.0,133.45,出場
AI伺服器/雲端基礎設施,3088,艾訊,電腦及週邊設備業,122.5,3.8,,4.8,07-23,2026-07-23,149.0,126.65,出場
鋼鐵工業,2006,東和鋼鐵,鋼鐵工業,80.4,7.8,是,2.8,08-03,2026-08-03,明日開盤,68.34,
鋼鐵工業,2027,大成鋼,鋼鐵工業,44.45,2.9,,3.7,07-22,2026-07-22,44.7,38.0,
邊緣運算/工業電腦,6166,凌華,電腦及週邊設備業,124.0,9.7,,9.3,07-23 07-24,2026-07-23,160.5,136.42,出場
邊緣運算/工業電腦,6414,樺漢,電腦及週邊設備業,437.5,8.0,,2.9,07-21 07-22,2026-07-07,404.0,377.25,
邊緣運算/工業電腦,6579,研揚,電腦及週邊設備業,163.0,5.8,,3.1,07-23,2026-07-23,181.5,154.28,
邊緣運算/工業電腦,2395,研華,電腦及週邊設備業,576.0,2.3,,3.2,07-22,2026-07-08,535.48,455.16,
台塑集團,1301,台塑,塑膠工業,53.8,-2.2,,2.1,07-23,2026-06-25,56.96,49.65,
台塑集團,6505,台塑化,油電燃氣業,67.7,-4.4,,2.3,07-23,2026-07-02,57.9,69.9,出場
航運/國防,2615,萬海,航運業,86.1,1.7,,3.2,07-21,2026-07-21,85.2,72.42,
航運/國防,2634,漢翔,航運業,60.7,-1.9,,2.2,07-21,2026-06-29,51.5,53.62,
半導體元件/材料,3374,精材,半導體業,304.5,9.9,,2.0,07-22,2026-07-22,411.0,349.35,出場
半導體元件/材料,6243,迅杰,半導體業,48.1,-5.1,,2.9,07-24,2026-07-16,48.0,40.8,
其他,5490,同亨,電腦及週邊設備業,35.4,7.1,是,3.2,07-22 08-03,2026-07-22,34.55,29.37,
其他,8039,台虹,電子零組件業,190.5,9.8,,2.7,07-23,2026-07-14,186.0,192.0,出場
其他,4939,亞電,電子零組件業,55.8,9.8,,4.0,07-21,2026-07-21,76.9,65.37,出場
其他,1736,喬山,運動休閒,130.0,5.7,,2.4,07-21,2026-07-20,132.5,112.62,
其他,2850,新產,金融保險業,165.0,2.5,,5.4,07-27,2026-07-27,157.0,133.45,
其他,2377,微星,電腦及週邊設備業,143.0,0.7,,2.5,07-22,2026-07-22,157.5,133.88,
其他,6944,兆聯實業,綠能環保,726.0,0.7,,2.3,07-23,2026-07-23,809.0,687.65,
其他,6863,永道-KY,通信網路業,134.0,0.4,,3.5,07-24 07-27 07-31,2026-07-24,117.5,100.5,
其他,1476,儒鴻,紡織纖維,346.5,0.1,,2.7,07-30,2026-07-30,347.5,295.38,
其他,2540,愛山林,建材營造,60.0,-1.6,,4.7,07-31,2026-07-31,60.9,51.77,
其他,6214,精誠,資訊服務業,148.5,-3.6,,5.5,07-31,2026-07-31,151.0,128.35,
其他,2207,和泰車,汽車工業,522.0,-6.5,,4.2,07-29 07-30,2026-07-29,523.0,444.55,
其他,2480,敦陽科,資訊服務業,152.5,-8.1,,6.6,07-31,2026-07-31,163.0,138.55,
