代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,6月YoY%,6月MoM%,7月YoY%,7月MoM%
6505,台塑化,上市,油電燃氣業,75.8,18.4,44.9,97.9,33.2,18.46,10.22,32.34,17.48
6265,方土昶,上櫃,電子通路業,59.5,11.2,68.5,68.7,20.7,1209.5,15.06,712.42,2.4
4979,華星光,上櫃,通信網路業,577.0,19.1,55.3,615.0,19.5,27.68,8.03,31.01,11.79
3665,貿聯-KY,上市,其他電子業,2275.0,9.5,32.4,2555.0,19.0,63.78,15.85,59.59,13.05
6617,共信-KY,上櫃,生技醫療業,107.5,25.4,29.7,116.0,18.5,70.0,1.78,63.52,1.82
3006,晶豪科,上市,半導體業,256.5,12.3,67.4,285.5,17.3,328.35,8.48,491.06,40.02
3081,聯亞,上櫃,通信網路業,2920.0,41.3,126.4,3065.0,14.0,128.13,3.74,176.53,19.19
2408,南亞科,上市,半導體業,528.0,23.4,112.0,553.0,13.2,621.33,6.21,719.61,49.26
1709,和益,上市,化學工業,33.3,35.4,74.5,33.85,11.1,70.13,14.17,83.29,9.65
7795,長廣,上市,電子零組件業,565.0,21.6,67.5,594.0,10.9,62.55,29.27,61.0,4.55
